Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_gain_roll_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,
0,1.44772,0.000466201,1.71562,0.00384077,13.9168,23.8501,0.00329142,0.170091,3.77651,
1,1.44736,0.000462141,1.71897,0.00477437,13.9174,23.8498,0.00109024,0.168116,3.77681,
2,1.44868,0.000464612,1.71892,0.00547858,13.917,23.8499,0.000688253,0.167948,3.77615,
3,1.44853,0.000594403,1.71856,0.00426105,13.9167,23.8501,0.00216979,0.168378,3.77607,
4,1.44873,0.000465267,1.71927,0.00524592,13.9167,23.85,0.00102228,0.168408,3.77572,
5,1.44603,0.00070277,1.71985,0.00494507,13.9179,23.8496,0.000884234,0.168601,3.77725,
6,1.44729,0.000499576,1.71917,0.0049127,13.9173,23.8497,0.00107042,0.169074,3.77673,
7,1.44751,0.000603421,1.71818,0.0061838,13.9175,23.8499,0.00114969,0.168127,3.77684,
8,1.4486,0.000640619,1.71878,0.00423447,13.9169,23.8502,0.0025612,0.167992,3.7762,
9,1.44784,0.000461664,1.71971,0.00505154,13.917,23.8501,0.00091745,0.168676,3.77643,
10,1.44841,0.000473655,1.72,0.00493431,13.9167,23.85,0.00160039,0.167967,3.77619,
11,1.44645,0.000721814,1.71966,0.00526985,13.9174,23.8501,0.000795556,0.168834,3.77712,
12,1.44776,0.000479051,1.71994,0.00547766,13.9172,23.8501,0.000700265,0.168319,3.77659,
13,1.44708,0.000577352,1.72052,0.00457703,13.9176,23.8498,0.00133059,0.16809,3.77695,
14,1.44727,0.00048166,1.71829,0.00379794,13.9176,23.8496,0.00403944,0.168522,3.77699,
15,1.44638,0.000490351,1.71965,0.00531551,13.9176,23.8498,0.000845655,0.16935,3.77721,
16,1.44667,0.00104899,1.71858,0.00604553,13.9176,23.8496,0.000977707,0.16926,3.77711,
17,1.44823,0.000554355,1.71877,0.00434521,13.9169,23.8499,0.00198506,0.169979,3.77628,
18,1.44801,0.000671336,1.71948,0.00397995,13.9166,23.8505,0.00281935,0.168588,3.77628,
19,1.44668,0.000474588,1.7206,0.00421864,13.9176,23.8497,0.00204438,0.168636,3.77708,
20,1.44848,0.000606079,1.72073,0.00492171,13.9168,23.8501,0.00114246,0.168084,3.77618,
21,1.44798,0.000468819,1.72031,0.00426169,13.917,23.85,0.00216916,0.16856,3.77633,
22,1.44767,0.000488724,1.72045,0.00516756,13.9174,23.8494,0.00095069,0.169146,3.7765,
23,1.44629,0.000717697,1.72098,0.00432998,13.9179,23.8496,0.0017397,0.168246,3.77741,
24,1.44691,0.000565928,1.71999,0.00514255,13.9175,23.8497,0.000942079,0.169101,3.7773,
25,1.44833,0.000481942,1.72022,0.00613947,13.917,23.8499,0.00101766,0.16794,3.77621,
26,1.44637,0.000489516,1.72019,0.00614724,13.9178,23.8497,0.00102051,0.167992,3.77758,
27,1.44899,0.000502896,1.72035,0.00428259,13.9167,23.8504,0.00236276,0.167646,3.77605,
28,1.44752,0.000554854,1.72119,0.00463111,13.9175,23.8496,0.00147702,0.168263,3.77659,
29,1.44793,0.000484554,1.72091,0.00431239,13.9171,23.85,0.0018743,0.168317,3.77646,
30,1.44799,0.000517449,1.72146,0.00451831,13.9172,23.8499,0.00162094,0.167811,3.7765,
31,1.44629,0.000652178,1.72104,0.00474351,13.9176,23.8499,0.00121451,0.168814,3.77727,
32,1.44759,0.000462586,1.72144,0.00469166,13.9175,23.8497,0.00134547,0.168004,3.77687,
33,1.44794,0.000514163,1.72107,0.00501264,13.917,23.8499,0.00103447,0.168633,3.77637,
34,1.44733,0.000532837,1.7192,0.00663324,13.9171,23.8501,0.00142996,0.168819,3.7765,
35,1.4478,0.000559015,1.72076,0.00530165,13.9171,23.8497,0.000711167,0.169226,3.77644,
36,1.44734,0.000660536,1.7195,0.00578152,13.9172,23.8498,0.000757183,0.17,3.77667,
37,1.44637,0.000490385,1.72175,0.00544879,13.9178,23.8497,0.000646905,0.1685,3.77703,
38,1.44683,0.000535472,1.72123,0.0053663,13.9175,23.8497,0.00063503,0.169131,3.7769,
39,1.44823,0.000491988,1.72133,0.00527303,13.9169,23.85,0.000887635,0.168401,3.77627,
40,1.44729,0.00122361,1.72045,0.00603161,13.917,23.8501,0.000954742,0.168025,3.77678,
41,1.44772,0.000468249,1.72153,0.00442692,13.9172,23.85,0.00169407,0.168153,3.77665,
42,1.44787,0.000531717,1.72129,0.00500663,13.917,23.85,0.00131047,0.16849,3.7764,
43,1.44616,0.000500385,1.72133,0.00522962,13.9178,23.8495,0.000685566,0.169342,3.77738,
44,1.44791,0.000803184,1.71928,0.00387151,13.9173,23.8498,0.00455812,0.168214,3.77625,
45,1.4473,0.00048977,1.72153,0.00504383,13.9173,23.8497,0.000865543,0.168937,3.77671,
46,1.44752,0.000539485,1.72019,0.00430154,13.917,23.8502,0.0017814,0.169868,3.77649,
47,1.447,0.000461405,1.72178,0.00468722,13.9174,23.8499,0.00133458,0.168487,3.77696,
48,1.44777,0.000464143,1.72098,0.00488182,13.9172,23.8498,0.000992462,0.16955,3.7764,
