Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.camber_angle_gain_roll_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.camber_angle_gain_roll_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.camber_angle_gain_roll_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,54.7615,197.188,91.0252,0.277711,34.5337,59.3608,3.88802,34.6574,1.65758,24.3373,17.5716,17.5556,3.62623,36.4365,71.2518,4.59082,41.8095,4.33508,24.4923,15.3979,21.2639,4.26006,7.86293,2.94686,0.0452846,2.98484,0.34028,1.47665,0.742379,0.316375,0.480986,
1,54.7615,270.07,244.509,0.202768,31.1293,33.8671,3.03985,20.1177,1.55033,15.0955,80.6436,80.6982,3.92852,14.8923,35.0187,2.57455,20.5204,3.73029,14.2959,139.58,139.731,2.32469,3.8442,2.94686,0.0132292,2.98484,0.360678,0.866109,0.742379,0.316375,0.719309,
2,54.7615,217.719,174.852,0.251523,33.2401,32.6979,2.8918,24.1457,0.972819,14.1716,52.7094,52.7508,4.13897,14.5019,26.6319,2.2218,13.8929,1.36094,11.8946,91.3799,95.3012,2.38139,8.57049,2.09197,0.0452846,2.98484,0.360678,0.560201,0.742379,0.316375,0.712591,
3,54.7615,344.351,387.133,0.159028,30.9873,24.3715,2.99006,23.9707,0.868102,11.9114,122.425,122.505,4.32256,12.3561,21.3686,2.84953,13.548,1.05196,10.1471,196.754,205.516,2.22293,8.57049,2.09197,0.0324231,2.98484,0.363785,0.157127,0.742379,0.316375,0.719309,
4,54.7615,265.85,238.751,0.205987,30.5098,21.7833,2.87984,21.0489,0.857954,13.5477,85.746,85.8233,3.65299,10.6538,19.3098,2.14591,12.9469,0.984431,9.85156,131.293,137.014,2.02143,8.57049,2.09197,0.0324231,2.98484,0.363785,0.697051,0.742379,0.316375,0.719309,
5,54.7615,304.722,334.462,0.17971,29.9358,26.8493,2.59247,23.092,0.829692,16.2806,100.819,100.88,3.44366,14.6234,24.3931,2.05866,13.6841,0.991405,11.6129,161.48,160.422,1.99372,5.63225,1.76032,0.0324231,2.98484,0.363785,1.25802,0.742379,0.316375,0.679116,
6,54.7615,387.048,566.759,0.141485,32.3888,29.5775,4.02313,21.9914,0.863898,13.1307,140.916,140.27,3.88678,11.9342,26.5594,3.26521,15.769,0.992185,9.90149,281.674,273.806,2.04495,8.57049,2.94686,0.0324231,2.98484,0.276504,0.2673,0.742379,0.316375,0.719309,
7,54.7615,273.921,270.009,0.199917,27.8859,25.7943,3.32295,19.8413,0.883425,12.8079,89.6715,89.7307,3.98337,11.1176,17.7219,2.49911,13.4039,0.98345,10.5056,151.961,145.22,2.31171,5.18167,2.50784,0.0324231,2.66732,0.362276,0.191356,0.742379,0.316375,0.662662,
8,54.7615,369.009,570.595,0.148401,30.3303,29.6588,3.31827,19.1272,1.17412,14.8095,133.409,132.732,4.45008,11.2765,21.473,2.51054,13.4737,1.33998,11.8815,283.733,281.207,2.43023,8.57049,2.94686,0.0324231,2.71299,0.289344,1.44576,0.742379,0.316375,0.719309,
9,54.7615,303.73,311.16,0.180296,29.538,27.3717,3.10204,22.2308,0.814625,14.0622,101.216,101.296,4.09954,10.4539,23.7839,2.28671,13.466,1.03423,10.4519,162.72,158.802,2.17677,8.57049,1.83039,0.0324231,2.71299,0.363785,1.44576,0.742379,0.316375,0.719309,
