Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,
0,84.051,257.621,130.428,0.326259,36.4195,60.3778,3.966,56.8358,25.8127,18.022,17.9882,3.89319,34.3055,25.5777,73.0299,4.65319,109.882,31.9945,21.6135,21.982,4.22316,39.9305,3.996,2.20862,0.150799,12.4186,1.60387,0.83002,0.318521,0.810704,3.48463,
1,84.051,318.838,283.663,0.263617,29.8782,36.2413,3.52807,23.1764,18.1639,87.8278,87.8823,3.84502,28.2948,15.8472,36.2232,2.28551,35.1187,16.0479,144.418,164.082,2.20125,20.2694,3.996,1.92148,0.150799,12.4186,0.107787,0.99577,0.318521,0.837506,2.74134,
2,84.051,437.895,436.907,0.191943,33.6444,39.7582,4.00874,22.3841,17.7466,143.596,143.68,3.58329,29.494,16.5241,26.9116,2.6455,12.1275,14.7167,209.104,220.941,2.30043,16.7869,5.1704,2.20862,0.150799,9.31596,0.398345,0.99577,0.318521,0.699753,3.36129,
3,84.051,348.121,346.549,0.241442,29.9438,32.1217,3.72229,21.5371,17.952,104.071,104.146,4.00651,30.6198,14.6566,25.8134,2.47255,11.2,13.3437,183.801,182.225,2.26414,17.3597,5.1704,0.640188,0.150799,11.5588,1.2649,0.99577,0.318521,0.837506,3.48463,
4,84.051,399.741,502.61,0.210264,31.6556,36.2367,3.79204,22.1353,15.4773,129.402,129.294,3.74977,27.9986,16.0209,23.3074,2.68143,11.118,14.9964,246.648,246.126,2.79536,15.7782,5.1704,2.20862,0.150799,6.86673,0.72139,0.99577,0.318521,0.763189,3.48463,
5,84.051,281.359,224.441,0.298732,27.2307,27.8358,3.77127,21.8741,21.4905,73.0512,73.1179,4.213,28.7746,11.4469,22.3724,2.08542,10.8065,19.049,134.895,126.048,2.25139,14.0233,5.1704,0.908991,0.150799,12.8379,0.72139,0.99577,0.318521,0.78029,3.48463,
6,84.051,276.102,287.687,0.30442,31.0584,30.685,4.32285,21.5938,20.0492,68.5713,68.5434,3.52074,27.7572,13.6857,24.0046,2.53143,8.28042,14.9037,134.642,134.029,2.36651,15.3373,5.1704,2.20862,0.140129,12.245,0.72139,0.99577,0.318521,0.78029,2.97245,
7,84.051,270.696,258.175,0.3105,28.1235,22.73,3.45767,21.8153,18.1005,73.3839,73.4196,3.84896,25.8163,11.7362,16.7322,2.19295,8.13209,13.601,126.892,127.39,2.19115,12.0786,12.4991,2.20862,0.0458351,13.1464,0.72139,0.99577,0.318521,0.78029,2.97245,
8,84.051,171.919,71.0612,0.488899,30.198,22.2048,4.2725,21.8446,19.1663,22.5503,22.4558,4.06819,25.1585,14.31,22.6736,2.78708,5.40623,13.2659,49.1574,58.1777,2.29459,12.7931,4.31003,2.20862,0.0458351,12.3873,0.72139,0.99577,0.318521,0.748072,2.97245,
9,84.051,198.945,132.36,0.422484,30.4579,21.6913,3.24867,22.996,16.2046,39.279,39.2457,4.20878,21.6126,13.0402,17.2228,2.10367,6.04715,9.70405,62.5967,63.6099,2.04162,9.61362,7.21368,2.20862,0.0458351,13.7518,0.27246,0.99577,0.318521,0.698258,2.97245,
10,84.051,206.344,139.104,0.407334,27.8189,21.363,3.05193,23.4767,15.5582,45.733,45.7159,3.43278,20.1937,11.4057,15.739,2.14651,5.35517,11.0378,68.7327,68.918,1.95068,9.00661,7.21368,2.14945,0.0458351,13.7518,0.701878,0.99577,0.318521,0.700582,2.97245,
11,84.051,203.113,231.24,0.413814,26.5676,22.9928,3.45243,22.2319,14.5532,43.6234,43.5623,3.4101,22.7192,12.79,17.0997,2.56408,5.58954,8.45089,111.842,111.539,1.88801,9.88934,7.21368,2.20862,0.0458351,11.2466,0.72139,0.99577,0.318521,0.721065,2.97245,
