Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Roll.front.roll_center.y.avg,Steering.front.ackerman_angle.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.ackerman_angle.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Roll.front.roll_center.y.best,Steering.front.ackerman_angle.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,
0,107.419,375.405,172.993,0.286143,33.2656,63.7283,3.93173,40.5327,52.6729,65.7618,3.41541,47.3979,64.6984,17.7066,77.8258,3.60241,57.761,69.1119,83.8784,3.90973,58.4181,83.6558,5.59379,2.23525,0.0751137,11.8056,0.437742,1.34722,0.327356,4.3565,0.585356,
1,83.143,410.886,337.252,0.20235,37.4576,36.3481,3.37175,39.9162,33.9632,114.681,3.62335,27.8426,113.683,15.2978,40.5071,3.00982,33.357,31.4364,154.036,2.0496,23.7162,144.045,5.59379,2.15601,0.0751137,11.5195,0.437742,0.961729,0.80338,3.36195,0.292092,
2,83.143,453.344,545.8,0.183399,34.1457,29.2313,3.05357,40.0302,28.9608,144.95,3.59962,26.4016,142.971,12.8738,28.2702,2.67532,30.6345,19.6435,275.297,2.37333,21.147,271.841,5.59379,1.92859,0.0751137,8.35224,0.437742,0.658308,0.80338,3.67088,0.292092,
3,83.143,1246.98,6154.83,0.0666753,34.436,26.2106,2.47229,905.466,29.6714,107.29,3.63843,31.2589,106.54,15.7257,26.801,2.24614,6029.35,20.9404,148.897,1.93537,33.2818,152.641,5.59379,1.29229,0.0751137,12.5299,0.437742,0.658308,0.854492,3.57528,0.292092,
4,83.143,339.34,337.304,0.245014,35.0766,30.4771,2.58193,33.6761,32.1434,91.6947,3.71869,19.1393,90.8326,13.8696,39.7592,2.04603,863.455,20.6888,160.007,1.96191,21.0594,156.834,5.59379,0.829893,0.0751137,9.53643,0.437742,0.658308,0.871903,3.17325,0.292092,
5,83.143,354.286,603.552,0.234678,35.9269,19.695,1.91658,34.1242,32.1846,106.404,3.09366,16.4118,104.529,13.7141,24.2616,1.73486,15.5456,14.3835,297.048,1.62318,15.6812,289.361,5.59379,1.92859,0.0751137,13.5196,0.437742,0.658308,0.595081,3.30065,0.292092,
6,83.143,302.947,322.115,0.274448,33.2908,23.0385,2.17638,30.5292,29.8243,81.9275,3.05917,17.9908,81.11,15.2069,33.332,2.24241,10.1347,16.9326,147.607,1.31021,21.0673,149.694,7.55204,0.841995,0.0665827,11.426,1.08114,0.658308,0.595081,3.40708,0.292092,
7,83.143,474.368,574.866,0.175271,34.5578,20.1865,2.22176,38.1606,29.6296,163.411,2.76592,21.0455,162.39,15.9009,22.1347,2.18925,67.3748,19.0454,272.974,1.4129,18.5049,288.798,3.55909,1.92859,0.0761568,5.74856,1.08114,0.658308,0.595081,3.40708,0.292092,
8,83.143,181.802,108.821,0.457327,33.2854,12.5857,1.84517,37.8177,29.9967,26.904,2.81804,10.4635,26.0857,14.6451,20.15,1.78676,15.2424,19.983,88.6026,1.45458,14.7986,132.401,8.1863,1.92859,0.13504,13.7343,1.08114,0.658308,0.595081,3.40708,0.292092,
9,79.0276,133.815,36.9971,0.590571,29.2952,8.41245,1.46372,34.9598,19.3161,14.7857,2.65369,9.025,13.9039,11.7421,8.5231,1.47204,5.48804,17.0974,16.1811,0.959602,9.60996,19.9131,8.1863,1.88396,0.0501927,13.7343,1.08114,0.658308,0.881763,3.67088,0.292092,
