Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.front.motion_ratio_heave_l.avg,Heave.front.toe_angle_l.avg,Heave.front.tie_rod_angle_top_view_l.avg,Heave.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Heave.front.motion_ratio_heave_l.std_dev,Heave.front.toe_angle_l.std_dev,Heave.front.tie_rod_angle_top_view_l.std_dev,Heave.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Heave.front.motion_ratio_heave_l.best,Heave.front.toe_angle_l.best,Heave.front.tie_rod_angle_top_view_l.best,Heave.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.tie_rod_angle_front_view_l.best,
0,103.567,306.207,129.894,0.338224,64.7692,63.2409,5.54341,18.7588,46.7749,41.8977,42.9371,18.7628,3.52203,67.0649,77.8757,6.44881,23.1116,61.0912,83.4667,51.1621,22.139,4.02571,7.16188,1.16981,0.0129525,0.338509,0.656021,12.3952,3.22883,0.320122,0.427201,
1,96.5606,302.506,169.169,0.319202,63.1015,50.6688,5.63367,37.0294,36.9241,29.9284,38.4685,37.0619,3.69013,30.8661,38.6976,3.38072,73.8732,32.7822,35.64,26.9806,78.0239,2.67246,7.16188,1.16981,0.0129525,0.338509,0.378133,11.9807,3.22883,0.320122,0.562241,
2,96.5606,280.992,125.417,0.343641,61.1935,46.111,5.39,33.4604,33.1035,28.9018,35.7593,33.4896,3.58335,29.9999,34.2775,3.35953,56.3347,27.9959,29.0751,25.402,56.5845,2.49074,7.16188,1.16981,0.0129525,0.338509,0.378133,12.3952,3.22883,0.320122,0.562241,
3,96.5606,316.148,235.162,0.305429,58.4853,41.2997,5.7862,56.6805,31.143,29.2574,33.2492,56.7244,3.52171,29.435,30.7723,3.42782,120.455,25.7667,28.9906,24.2908,124.305,2.4063,7.16188,1.16981,0.0129525,0.338509,0.378133,12.3952,3.22883,0.320122,0.562241,
4,96.5606,313.595,266.163,0.307915,60.7225,38.6254,5.66021,56.2387,29.3001,29.1379,33.7929,56.2752,3.84163,33.5034,28.9311,3.41007,127.693,23.7879,29.052,23.5561,127.691,2.60675,9.79528,1.16981,0.0129525,0.338509,0.378133,11.5329,3.22883,0.320122,0.562241,
5,96.5606,342.085,355.297,0.282271,59.6641,40.5821,5.69038,71.7206,28.3551,27.2009,33.4088,71.6993,3.76345,29.2606,30.2292,3.45622,174.111,22.8935,23.7389,24.2273,174.589,2.53011,5.98741,1.16981,0.0129525,0.338509,0.321585,7.92668,3.22883,0.320122,0.562241,
6,96.5606,310.859,260.63,0.310624,60.7743,39.4139,5.61248,56.3235,28.6442,28.1761,31.8749,56.3439,3.6962,28.5371,28.8458,3.46917,128.568,25.8495,23.7794,23.9075,128.602,2.51583,10.6109,1.16981,0.0129525,0.338509,0.378133,10.2294,3.22883,0.320122,0.562241,
7,96.5606,289.661,194.059,0.333357,59.0358,37.8203,5.50984,48.4956,28.0746,29.3632,29.0526,48.5238,3.78548,28.8801,26.9632,3.36997,97.3665,23.331,23.7569,22.0002,96.8663,2.56197,10.9849,1.16981,0.0129525,0.338509,0.378133,12.3952,3.22883,0.320122,0.562241,
8,96.5606,274.873,160.346,0.351292,57.4077,38.5756,5.81985,41.2866,28.7613,28.138,30.0021,41.3155,3.56627,27.7427,26.8331,3.4652,79.1112,24.2073,23.5144,21.2573,79.6157,2.54421,10.9849,1.16981,0.0129525,0.338509,0.378133,12.3952,3.22883,0.320122,0.562241,
9,96.5606,285.741,245.837,0.33793,57.6582,36.5916,5.71231,48.1304,28.0582,30.0355,27.7756,48.0933,3.68622,28.1111,24.6522,3.6187,120.987,23.3726,24.7417,21.4008,120.56,2.44178,10.9849,1.16981,0.0129525,0.338509,0.378133,3.1161,3.22883,0.320122,0.562241,
