Individual,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.motion_ratio_heave_l,Heave.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,Roll.rear.roll_center.y,Roll.rear.side_view_swing_arm_angle_l,
0,48.5631,3.83278,52.5453,4.37154,5.23338,43.1208,17.9452,1.84945,
1,48.6245,3.87356,52.2061,5.3242,4.66067,42.7601,18.049,2.0695,
2,48.2291,3.91446,52.6162,4.23411,5.29869,43.1916,17.9178,2.22471,
3,49.3925,3.88095,51.843,5.20854,5.32306,42.3784,18.1553,1.63166,
4,51.3327,3.381,52.1664,3.25934,5.15973,42.7075,18.1333,1.87256,
5,48.8927,3.98817,52.2535,5.49711,5.07491,42.8111,18.0361,1.51055,
6,49.5105,3.90848,52.2601,3.98735,5.45635,42.8111,18.0561,2.36532,
7,49.9611,3.82613,51.2471,6.8,5.0136,41.7516,18.3237,1.70754,
8,49.054,3.9884,52.7953,4.46003,5.32771,43.3779,17.8976,1.81069,
9,49.7898,4.14236,52.1518,3.19395,5.74215,42.691,18.1089,2.98317,
10,50.0047,4.3067,51.3609,4.93814,5.39546,41.8743,18.2936,2.68901,
11,46.9366,3.88657,52.5169,5.31365,6.01109,43.0995,17.9068,3.1966,
12,49.5008,3.9343,52.5153,3.85532,5.56711,43.0781,17.9879,2.5788,
13,48.2481,4.06296,52.413,5.1838,5.66555,42.9867,17.9724,3.0739,
14,49.202,3.82791,52.0408,6.00445,5.35125,42.5915,18.0991,2.69091,
15,49.9168,3.89407,51.7177,5.59554,6.01944,42.2262,18.2562,2.67282,
16,51.1877,3.95221,51.3521,5.97857,5.719,41.8377,18.4025,1.98913,
17,49.4849,4.74779,51.3576,3.83868,6.86742,41.8746,18.2745,4.30032,
18,48.6487,4.14249,52.5099,4.86251,5.75523,43.0737,17.9733,3.89679,
19,49.7821,4.01339,51.9532,5.84515,5.67011,42.4914,18.163,2.95908,
20,49.2003,4.01787,52.4448,7.70904,5.00482,43.0074,18.0109,1.57218,
21,49.9006,4.2181,51.5156,4.43312,6.49929,42.0406,18.2477,4.31469,
22,52.0764,3.79029,51.9485,5.2992,5.8962,42.4516,18.3068,1.805,
23,49.6785,4.05675,52.2825,6.63753,5.53392,42.8301,18.0972,2.51599,
24,50.2774,5.82009,51.7633,6.25214,5.61578,42.2908,18.1958,1.67911,
25,50.6509,4.13214,51.94,5.33395,6.1287,42.4667,18.1746,3.10707,
26,50.9183,3.90923,51.8903,4.97173,6.42501,42.401,18.282,3.15172,
27,51.6636,3.88556,52.2482,4.01819,6.23905,42.7744,18.1689,3.21623,
28,49.0646,3.88111,52.1368,4.51664,6.97511,42.6961,18.067,4.91462,
29,51.2806,4.33597,51.7211,5.7443,5.65722,42.2356,18.252,3.18121,
30,147.664,3.85314,80.3111,61.4482,1105.92,72.2263,15.628,1107.33,
31,256.258,4.09022,84.4874,152.057,1313.95,75.096,25.4897,1314.27,
32,50.9148,4.02798,51.6584,7.08838,6.06382,42.1728,18.2475,3.80811,
33,54.1908,4.80208,52.3586,5.222,15.216,42.8657,18.2134,14.774,
34,157.137,2.53528,57.5639,132.607,572.454,32.6642,451.168,571.128,
35,152.029,3.60736,33.6136,214.584,1210.31,22.8181,24.6344,1211.46,
36,342.49,3.93348,138.3,118.248,845.424,114.855,31.0951,832.009,
37,25.8736,7.73789,130.397,66.4048,19.5124,114.501,11.9379,19.3288,
38,198.826,9.45082,35.9912,46.363,1304.89,23.4318,32.496,1305.76,
39,213.419,8.41135,42.5137,34.7073,1297.32,29.0603,32.5312,1294.19,
40,48.4523,3.92622,51.5815,3.48958,8.05421,42.1295,18.1509,6.33111,
41,169.769,3.71746,50.7695,119.81,723.304,25.1454,165.665,717.521,
42,501.132,7.10625,80.3626,167.616,418.293,17.5781,116.983,332.09,
43,49.8083,4.0009,51.4677,7.27294,6.36387,41.9649,18.3469,3.1208,
44,49.3083,3.88311,51.5674,8.2499,8.19323,42.1026,18.2094,6.42776,
45,46.1871,3.89026,51.1877,5.20605,32.2071,41.7709,18.172,31.7382,
46,50.6382,3.79547,51.6278,4.17101,9.38009,42.1644,18.2315,8.01348,
47,140.912,2.15018,71.6929,182.281,352.726,48.9226,236.763,350.919,
48,47.7388,3.15947,52.0489,3.80457,9.14065,42.6156,18.0605,8.08595,
49,49.3885,3.46044,51.8177,5.55331,8.80918,42.3736,18.1328,7.61761,
