Individual,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.motion_ratio_heave_l,Heave.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,
0,3.44655,3.62006,1.01096,1.42029,113.659,0.429555,
1,3.44706,3.61999,1.0128,1.41947,113.659,0.428674,
2,3.44815,3.61917,1.01126,1.4215,113.66,0.427608,
3,3.44835,3.6189,1.01329,1.42068,113.66,0.426502,
4,3.4502,3.61748,1.01143,1.42147,113.66,0.427498,
5,3.44892,3.61997,1.0114,1.42074,113.66,0.427545,
6,3.44794,3.61973,1.0157,1.41924,113.659,0.427343,
7,3.44784,3.6202,1.01384,1.42045,113.66,0.426481,
8,3.45152,3.61759,1.01288,1.42118,113.66,0.426308,
9,3.44434,3.62043,1.01459,1.42132,113.66,0.428748,
10,3.44514,3.61954,1.01467,1.42121,113.66,0.428751,
11,3.45266,3.61928,1.01328,1.42086,113.659,0.424412,
12,3.44793,3.62165,1.01292,1.42013,113.66,0.427734,
13,3.45157,3.61858,1.01252,1.42147,113.66,0.426608,
14,3.44823,3.61834,1.01459,1.42218,113.66,0.42689,
15,3.44653,3.62022,1.01365,1.41974,113.659,0.431918,
16,3.44848,3.61969,1.01566,1.41995,113.66,0.427332,
17,3.44964,3.61879,1.01675,1.42039,113.661,0.425141,
18,3.45042,3.6208,1.0128,1.4206,113.659,0.427701,
19,3.45387,3.61829,1.01193,1.42184,113.66,0.425605,
20,3.45109,3.62201,1.01362,1.41967,113.659,0.426635,
21,3.45011,3.61892,1.01224,1.4228,113.661,0.42671,
22,3.45355,3.61995,1.01168,1.4214,113.659,0.426351,
23,3.45369,3.61851,1.01231,1.42184,113.66,0.425663,
24,3.44644,3.62122,1.01433,1.42107,113.66,0.429017,
25,3.45367,3.61907,1.01224,1.42191,113.66,0.425574,
26,3.45232,3.61973,1.01201,1.42062,113.66,0.428281,
27,3.45112,3.62049,1.0142,1.42044,113.659,0.42733,
28,3.45027,3.61933,1.0142,1.42077,113.66,0.429135,
29,3.44727,3.6203,1.01256,1.42191,113.662,0.42972,
30,324.291,8.60721,195.444,1133.2,49.9571,1129.43,
31,413.685,6.63217,190.784,1022.2,115.245,986.145,
32,279.409,5.06402,150.282,1388.71,73.6027,1388.64,
33,210.627,2.54347,85.9273,448.913,101.906,448.42,
34,408.058,7.12041,103.388,976.542,114.976,969.509,
35,386.499,11.3162,173.957,992.435,49.2777,848.415,
36,246.659,8.97515,12.5354,608.773,47.4198,602.224,
37,421.86,9.88937,84.6193,1644.32,77.5258,1637.5,
38,421.265,9.93193,301.789,1526.07,54.0417,1517.2,
39,3.18115,11.6729,544.549,5.46689,113.803,4.8105,
40,151.871,3.90298,24.9651,1205.66,22.3103,1206.77,
41,6.68015,4.44282,113.427,67.3309,108.676,67.3532,
42,3.44474,3.62175,1.01557,1.41983,113.658,0.427551,
43,285.45,5.59286,495.966,1402.97,74.1014,1402.66,
44,517.454,10.3925,351.768,1293.1,115.857,1160.26,
45,288.57,7.7827,173.928,707.1,49.1409,700.312,
46,239.769,4.71574,49.5508,307.522,18.7513,304.757,
47,3.44832,3.61861,1.01131,1.42029,113.659,0.42839,
48,3.44958,3.62216,1.01345,1.41963,113.659,0.427207,
49,3.45191,3.62009,1.01227,1.42183,113.66,0.426952,
