Individual,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.motion_ratio_heave_l,Heave.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,
0,13.8928,3.40474,1202.46,1.18794,0.230239,6.79776,0.320991,
1,13.8933,3.40467,1202.46,1.18771,0.230282,6.79773,0.321048,
2,13.8925,3.40465,1202.46,1.18758,0.230851,6.79769,0.322108,
3,13.894,3.40372,1202.46,1.18831,0.230619,6.79764,0.321655,
4,13.8927,3.40525,1202.46,1.18734,0.230902,6.79767,0.322198,
5,13.8904,3.40468,1202.46,1.18826,0.231339,6.79772,0.32303,
6,13.8931,3.40507,1202.46,1.18734,0.230654,6.7977,0.321758,
7,13.8948,3.40641,1202.46,1.18704,0.22987,6.79769,0.320253,
8,13.8917,3.4048,1202.46,1.18715,0.231207,6.79772,0.322811,
9,13.8956,3.40641,1202.46,1.18727,0.229818,6.79765,0.320158,
10,13.8942,3.4054,1202.46,1.18798,0.229842,6.79775,0.320208,
11,13.8916,3.40467,1202.46,1.18805,0.230516,6.79776,0.32144,
12,13.8906,3.40481,1202.46,1.18838,0.23126,6.79775,0.322926,
13,13.8897,3.40473,1202.46,1.18848,0.231576,6.79777,0.323447,
14,13.8892,3.40483,1202.46,1.18724,0.231948,6.7977,0.324192,
15,13.8897,3.40496,1202.46,1.18774,0.231943,6.79772,0.324179,
16,13.8931,3.40513,1202.46,1.18811,0.229516,6.79781,0.319487,
17,13.8912,3.40502,1202.46,1.18807,0.231627,6.79767,0.323602,
18,13.8935,3.40486,1202.46,1.18736,0.230883,6.79769,0.322149,
19,13.8951,3.40442,1202.46,1.18817,0.228822,6.79782,0.318128,
20,13.8924,3.40471,1202.46,1.18846,0.230441,6.79775,0.32134,
21,13.8895,3.40465,1202.46,1.18799,0.232338,6.7977,0.324833,
22,13.8925,3.40451,1202.46,1.18821,0.230287,6.79777,0.321031,
23,13.8895,3.40473,1202.46,1.1884,0.232129,6.79772,0.32448,
24,13.8857,3.40407,1202.46,1.18802,0.233775,6.79774,0.327522,
25,13.8894,3.40472,1202.46,1.18779,0.23261,6.79769,0.325389,
26,13.8896,3.40479,1202.46,1.1882,0.231451,6.79778,0.323244,
27,13.8947,3.40506,1202.46,1.18812,0.230161,6.7977,0.320754,
28,13.8928,3.40422,1202.46,1.1882,0.22957,6.79784,0.319621,
29,13.8946,3.40584,1202.46,1.18833,0.229726,6.79771,0.319965,
30,6.7559,2.37765,3499.98,519.797,796.79,71.465,796.676,
31,5.46705,2.92182,4105.74,306.092,555.204,84.9278,555.729,
32,4.51165,4.15279,5397.62,351.577,0.994399,114.027,0.351657,
33,811.773,3.67712,1967.17,178.9,564.125,27.264,542.508,
34,2091.87,11.7379,3416.13,282.655,145.295,29.8656,574.687,
35,1857.69,11.5671,7021.35,252.237,1422.64,116.521,1389.44,
36,521.701,7.76242,1682.97,24.9578,1250.64,23.5155,1250.45,
37,30.4988,7.24642,3890.63,51.5424,474.747,79.6157,475.4,
38,13.8924,3.40476,1202.46,1.18753,0.230768,6.79774,0.321968,
39,883.748,11.0488,2986.42,80.4322,1245.57,54.775,1219.43,
40,13.8936,3.40485,1202.46,1.18758,0.23045,6.7977,0.321323,
41,449.369,4.42653,2881.94,79.3134,931.576,53.3081,933.081,
42,1079.78,7.63663,3728.98,150.381,1535.74,75.0005,1532.9,
43,13.8929,3.40467,1202.46,1.18719,0.230635,6.7977,0.321744,
44,13.8923,3.4048,1202.46,1.18758,0.230696,6.79772,0.32181,
45,12.9334,9.06674,3508.8,300.668,798.065,71.6797,798.017,
46,1060.35,4.88241,5569.74,139.752,855.417,115.281,851.625,
47,13.8925,3.40452,1202.46,1.18703,0.230994,6.7977,0.322404,
48,13.8925,3.40496,1202.46,1.18738,0.230964,6.7977,0.322333,
49,13.8917,3.4048,1202.46,1.1879,0.231252,6.79768,0.322891,
