Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.motion_ratio_heave_l,Heave.rear.p_rod_length_l,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,
0,0.523591,85.7628,0.476727,5.46634,1204.34,22.9824,0,5.88163,0.138212,
1,0.516039,85.8742,0.482599,5.46414,1204.33,22.8755,0,5.88257,0.143505,
2,0.539588,85.8249,0.464674,5.47253,1204.33,22.9138,0,5.88294,0.144237,
3,0.525441,85.8203,0.476753,5.46741,1204.34,22.9273,0,5.88133,0.136685,
4,0.520842,85.7464,0.479466,5.47174,1204.33,22.9996,0,5.88264,0.143457,
5,0.523574,85.6391,0.474454,5.46798,1204.34,23.1136,0,5.88176,0.141878,
6,0.516182,85.5892,0.480004,5.46435,1204.34,23.1633,0,5.88213,0.147503,
7,0.516441,85.7859,0.479697,5.46585,1204.33,22.9731,0,5.88354,0.147667,
8,0.520124,85.5733,0.48114,5.46691,1204.34,23.1769,0,5.88263,0.143022,
9,0.533859,85.7686,0.477516,5.46909,1204.34,22.9711,0,5.88266,0.135138,
10,0.52207,85.9344,0.479649,5.47657,1204.34,22.8127,0,5.88318,0.135015,
11,0.520846,85.775,0.481378,5.46742,1204.34,22.9715,0,5.88275,0.143638,
12,0.524373,85.8331,0.474755,5.46508,1204.34,22.9254,0,5.88218,0.139161,
13,0.51265,85.6203,0.482336,5.47418,1204.33,23.1375,0,5.88155,0.14136,
14,0.523128,85.6691,0.477619,5.47137,1204.34,23.0815,0,5.88191,0.139549,
15,0.512261,85.5961,0.48707,5.46824,1204.33,23.1584,0,5.88291,0.146548,
16,0.521497,85.8258,0.479937,5.46898,1204.33,22.9295,0,5.88276,0.143084,
17,0.520704,85.6422,0.496184,5.46741,1204.33,23.0998,0,5.88731,0.142904,
18,0.538129,85.7859,0.474824,5.46495,1204.33,22.964,0,5.88414,0.140138,
19,0.523944,85.5662,0.483807,5.47489,1204.33,23.18,0,5.8839,0.139723,
20,0.506778,85.7943,0.49492,5.46744,1204.32,22.9527,0,5.88702,0.164146,
21,0.515616,85.6812,0.482512,5.47078,1204.33,23.0752,0,5.88421,0.151662,
22,0.516123,85.7675,0.480604,5.46595,1204.34,22.9956,0,5.88216,0.139819,
23,0.52266,85.7978,0.480208,5.46822,1204.34,22.9459,0,5.88544,0.154818,
24,0.513298,85.6742,0.486742,5.46507,1204.33,23.0852,0,5.88433,0.154214,
25,0.540922,85.6917,0.470963,5.46405,1204.33,23.056,0,5.88491,0.14982,
26,0.540879,85.9108,0.477779,5.46678,1204.32,22.8419,0,5.8872,0.142761,
27,0.517252,85.7499,0.492106,5.46973,1204.33,22.9939,0,5.8861,0.15232,
28,0.522246,85.6161,0.481937,5.47592,1204.33,23.1337,0,5.88364,0.144782,
29,0.512193,85.6165,0.488392,5.47362,1204.33,23.136,0,5.88495,0.153488,
30,928.41,1806.4,1152.96,7.50625,5607.52,195.005,0,115.218,924.003,
31,858.065,905.921,1039.69,10.6486,2758.21,164.811,0,49.5154,840.118,
32,0.520688,85.7169,0.478534,5.47137,1204.34,23.0394,0,5.88166,0.139508,
33,792.455,2729.67,5.84312,0.939189,3457.85,170.395,0,70.4338,792.331,
34,1.19748,1784.71,2.05408,3.67033,5393.77,50.0682,0,113.94,0.566013,
35,968.842,800.499,125.719,2.12197,1575.83,122.712,0,21.0719,968.955,
36,1071.23,1657.14,257.576,0.909843,1588.61,135.308,0,21.2964,1071.79,
37,5.554,1982.45,3.65196,5.52534,5394.26,207.073,0,113.957,5.35548,
38,0.512092,85.6741,0.493559,5.46966,1204.33,23.0794,0,5.88621,0.165657,
39,1064.53,1605.14,1301.74,7.41513,3758.51,175.697,0,49.2647,972.212,
40,518.803,2685.35,624.106,1.09971,2440.79,296.378,0,49.0092,512.254,
41,0.510851,85.6483,0.489037,5.46248,1204.33,23.1033,0,5.88507,0.160036,
42,13.7971,817.413,17.5014,12.0962,5407.45,72.4728,0,114.266,13.401,
43,0.525885,85.8475,0.475894,5.47173,1204.33,22.9065,0,5.88176,0.138134,
44,0.54012,85.6639,0.468355,5.47257,1204.33,23.0826,0,5.8823,0.143938,
45,367.997,1814.45,437.268,8.31045,2297.35,155.567,0,48.8096,366.209,
46,263.182,1062.5,317.517,3.68874,2251.64,174.886,0,48.6765,260.715,
47,0.52384,85.6626,0.472144,5.47108,1204.34,23.0869,0,5.8822,0.144305,
48,0.535669,85.656,0.465762,5.46496,1204.33,23.087,0,5.88162,0.139309,
49,0.534081,85.7515,0.471488,5.46732,1204.34,22.9999,0,5.88348,0.144651,
