Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.p_rod_length_l,Heave.rear.motion_ratio_heave_l,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,
0,2.32293,108.441,16.7775,2.27497,1200.93,0,23.9336,28.6128,1.17633,
1,2.34099,108.742,16.7322,2.27781,1200.92,0,23.635,28.6123,1.21436,
2,2.30382,108.363,16.7917,2.2751,1200.93,0,24.0557,28.6138,1.15403,
3,2.32096,108.613,16.7628,2.27328,1200.93,0,23.7996,28.6137,1.18067,
4,2.32873,108.301,16.7213,2.2727,1200.94,0,24.1408,28.6147,1.19032,
5,2.32965,108.156,16.7225,2.27369,1200.94,0,24.2832,28.6147,1.19273,
6,2.33807,109.245,16.7508,2.27214,1200.93,0,23.1635,28.6119,1.20649,
7,2.31358,108.734,16.7914,2.27443,1200.93,0,23.6963,28.6124,1.16859,
8,2.33422,109.772,16.7356,2.27201,1200.93,0,22.6635,28.6139,1.19885,
9,2.32441,109.311,16.7496,2.27299,1200.94,0,23.1319,28.6138,1.1835,
10,2.31701,108.149,16.7762,2.27494,1200.94,0,24.293,28.6138,1.16857,
11,2.33505,109.481,16.7129,2.27434,1200.94,0,22.9727,28.6149,1.20049,
12,2.33601,109.27,16.7523,2.27189,1200.93,0,23.1646,28.6131,1.1997,
13,2.31974,108.176,16.7769,2.27505,1200.93,0,24.2684,28.6127,1.17713,
14,2.32762,109.163,16.7527,2.27211,1200.93,0,23.2916,28.6133,1.1871,
15,2.33406,108.478,16.7437,2.27416,1200.94,0,23.9597,28.6144,1.20106,
16,2.3279,109.513,16.7463,2.27253,1200.93,0,22.9488,28.6134,1.19287,
17,2.31532,109.002,16.7742,2.27422,1200.93,0,23.4641,28.6132,1.17067,
18,2.32064,109.571,16.7479,2.27216,1200.94,0,22.9082,28.6145,1.17487,
19,2.33637,109.87,16.7296,2.27207,1200.93,0,22.5948,28.6132,1.20363,
20,2.32616,109.167,16.7597,2.27407,1200.94,0,23.2955,28.614,1.17901,
21,2.33842,109.326,16.7598,2.27271,1200.92,0,23.1213,28.612,1.20143,
22,2.34862,108.929,16.7392,2.27162,1200.93,0,23.5064,28.6128,1.22111,
23,2.32941,109.242,16.7434,2.27198,1200.93,0,23.2331,28.6135,1.19011,
24,2.33826,109.149,16.743,2.2686,1200.94,0,23.3069,28.6135,1.20126,
25,2.33993,109.453,16.7221,2.2722,1200.93,0,23.0144,28.6132,1.20939,
26,2.34693,109.255,16.7324,2.27204,1200.93,0,23.1937,28.6129,1.2184,
27,2.33494,108.989,16.7558,2.27213,1200.92,0,23.4648,28.6126,1.20519,
28,2.31718,108.858,16.7527,2.26722,1200.94,0,23.6351,28.6142,1.17577,
29,2.34101,108.61,16.7295,2.27198,1200.93,0,23.8595,28.6135,1.20873,
30,2.34976,109.443,16.7225,2.27673,1200.92,0,22.9656,28.6119,1.22846,
31,16.5449,1251.27,10.8874,4.39306,4185.05,0,595.742,114.467,16.4318,
32,2.32879,108.074,16.7709,2.27423,1200.93,0,24.3179,28.6123,1.19164,
33,2.34441,108.495,16.7196,2.27643,1200.93,0,23.8697,28.6126,1.22064,
34,378.949,1257.77,456.517,0.454148,3414.96,0,218.786,48.8424,376.213,
35,2.30887,109,16.7787,2.27522,1200.93,0,23.4016,28.6135,1.1613,
36,286.335,1996.53,341.41,7.13331,3345.99,0,575.303,48.5745,283.933,
37,274.507,3229.59,1422.97,11.0122,2694.51,0,617.747,16.6211,258.69,
38,2.3309,108.722,16.7533,2.27759,1200.93,0,23.7088,28.6129,1.19387,
39,409.779,2001.25,773.267,5.37475,3804.43,0,262.586,97.8317,353.308,
40,1350.2,2000.14,762.187,4.66314,2631.91,0,253.612,72.5036,1334.31,
41,2.35828,108.27,16.6858,2.27442,1200.93,0,24.1366,28.6133,1.24023,
42,348.034,3153.13,4.71978,0.900494,3363.02,0,377.768,95.5228,348.47,
43,1.16984,911.2,6.61902,0.184036,4173.37,0,141.166,114.164,0.799696,
44,1286.1,1919.72,1675.88,10.9338,4980.15,0,44.5615,115.859,1257.69,
45,1128.86,3230.91,346.082,5.26377,1072.14,0,368.152,21.628,1130.29,
46,2.34253,108.73,16.7369,2.27698,1200.93,0,23.7689,28.6122,1.21319,
47,2.34216,108.77,16.7286,2.27525,1200.93,0,23.6526,28.6128,1.21426,
48,2.33256,108.665,16.7376,2.27424,1200.93,0,23.7952,28.6134,1.19795,
49,2.31704,108.704,16.7903,2.27505,1200.92,0,23.6736,28.612,1.17274,
