Individual,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.p_rod_length_l,Heave.rear.coil_over_length_l,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.motion_ratio_heave_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
0,0.974508,3.83964,1194.52,0,128.466,1.02691,11.8116,0.340099,5.01465,
1,0.958237,3.83986,1194.58,0,124.698,1.02403,16.1532,0.332589,5.01051,
2,0.969428,3.84095,1194.54,0,134.091,1.0285,12.1055,0.332845,5.01153,
3,0.960447,3.84233,1194.54,0,134.182,1.02942,12.0187,0.336784,5.01157,
4,0.962428,3.84361,1194.54,0,134.179,1.02883,12.0203,0.334222,5.01175,
5,0.954112,3.83957,1194.56,0,134.229,1.02831,11.9692,0.33883,5.01127,
6,0.964083,3.8401,1194.55,0,134.181,1.02616,12.0186,0.334961,5.01143,
7,0.965357,3.84041,1194.53,0,134.239,1.02768,11.9639,0.346513,5.01265,
8,0.968519,3.84034,1194.56,0,134.184,1.02804,12.0146,0.324214,5.01132,
9,0.971771,3.84118,1194.54,0,134.181,1.0258,12.0182,0.342915,5.01336,
10,0.968443,3.84081,1194.53,0,134.194,1.0263,12.015,0.342288,5.01352,
11,0.959143,3.84053,1194.56,0,134.181,1.0252,12.0185,0.335946,5.0111,
12,0.965606,3.83975,1194.57,0,134.216,1.02436,11.9788,0.326642,5.01058,
13,0.960866,3.84097,1194.56,0,134.182,1.02818,12.0233,0.330315,5.01116,
14,0.967347,3.84122,1194.54,0,134.197,1.02616,12.0106,0.343505,5.01256,
15,0.971678,3.84127,1194.53,0,134.161,1.02734,12.0512,0.341132,5.01374,
16,0.965721,3.84061,1194.56,0,134.082,1.03032,12.1173,0.332845,5.00979,
17,0.966389,3.8382,1194.55,0,134.05,1.02762,12.16,0.339081,5.01092,
18,0.969888,3.83984,1194.54,0,134.205,1.02472,12.0025,0.345125,5.0132,
19,0.967071,3.84193,1194.56,0,134.282,1.02756,11.922,0.334031,5.01085,
20,0.972011,3.83988,1194.53,0,134.18,1.02444,12.0173,0.361114,5.01481,
21,0.969661,3.84324,1194.57,0,134.179,1.02377,12.0184,0.327458,5.01132,
22,0.963484,3.84001,1194.53,0,134.239,1.02772,11.9758,0.358045,5.01406,
23,0.969441,3.83927,1194.56,0,134.193,1.02356,12.012,0.333943,5.01162,
24,0.957781,3.84045,1194.57,0,134.191,1.02559,12.0116,0.335373,5.01032,
25,0.967747,3.83903,1194.54,0,134.161,1.02627,12.0484,0.35259,5.01202,
26,0.9703,3.84133,1194.55,0,134.085,1.02851,12.1331,0.33034,5.01134,
27,0.967137,3.84312,1194.56,0,134.185,1.02561,12.019,0.33481,5.01118,
28,0.965579,3.84177,1194.56,0,134.205,1.02528,12.0024,0.334828,5.01181,
29,0.972026,3.84031,1194.55,0,134.061,1.02392,12.152,0.339009,5.0134,
30,239.607,10.3088,4871.12,0,1889.04,203.052,393.306,203.139,113.949,
31,521.494,1.997,1930.16,0,1248.6,728.767,752.548,727.658,24.7499,
32,0.961834,3.83905,1194.53,0,134.182,1.02686,12.0181,0.356718,5.01362,
33,470.426,0.776001,2132.59,0,918.89,614.58,303.987,610.024,30.1043,
34,514.665,1.34855,2768.49,0,3385.2,431.298,34.871,429.225,48.777,
35,7.97178,2.08571,2956.92,0,2183.2,789.147,82.8995,789.088,70.8099,
36,913.256,6.60917,3926.57,0,2470.45,1169.54,636.781,1168.59,90.3362,
37,0.968199,3.84237,1194.57,0,134.162,1.02674,12.0458,0.326855,5.01053,
38,178.748,2.4872,1914.7,0,1247.4,469.732,341.729,469.856,42.6942,
39,0.969787,3.83938,1194.54,0,134.259,1.02862,11.9493,0.331921,5.01208,
40,1444.83,12.7912,5212.11,0,3388.75,1138.4,42.3871,1109.95,114.982,
41,1221.52,13.2344,2259.95,0,902.739,133.652,211.963,103.269,18.0112,
42,0.973529,3.84517,1194.54,0,134.305,1.02265,11.8972,0.359255,5.01439,
43,0.967033,3.83986,1194.54,0,134.184,1.02729,12.0156,0.350353,5.01249,
44,0.970942,3.83797,1194.53,0,134.173,1.02177,12.0254,0.370556,5.01557,
45,0.966653,3.84164,1194.57,0,134.235,1.02701,11.961,0.322798,5.01055,
46,0.961648,3.84192,1194.52,0,134.22,1.02687,11.9824,0.378247,5.01505,
47,0.967182,3.8412,1194.57,0,134.17,1.02342,12.0265,0.332433,5.01133,
48,0.968555,3.84093,1194.55,0,134.236,1.02871,11.9679,0.328347,5.0116,
49,0.97041,3.83956,1194.54,0,134.156,1.0276,12.0392,0.343748,5.01236,
