Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.toe_angle_l,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.roll_center_gnd.z,Heave.rear.p_rod_length_l,Heave.rear.motion_ratio_heave_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
0,1.16906,121.398,1.40626,1.28822,1183.33,0,8.33505,0.339018,14.8793,
1,1.1754,121.366,1.42725,1.27829,1183.3,0,8.36193,0.340951,14.894,
2,1.17012,121.385,1.41881,1.2848,1183.34,0,8.34334,0.342283,14.8684,
3,1.1773,121.368,1.43018,1.27338,1183.3,0,8.36199,0.342112,14.8977,
4,1.16015,121.415,1.41919,1.28423,1183.32,0,8.3173,0.34481,14.8945,
5,1.1602,121.578,1.41247,1.27882,1183.31,0,8.14496,0.367333,14.8962,
6,1.17054,121.533,1.41308,1.28354,1183.3,0,8.19266,0.363643,14.8948,
7,1.16787,121.412,1.42727,1.28256,1183.31,0,8.31838,0.345516,14.8937,
8,1.16839,121.344,1.42195,1.28219,1183.31,0,8.38441,0.350385,14.8922,
9,1.16195,121.236,1.40545,1.27597,1183.32,0,8.50113,0.364258,14.8966,
10,1.17307,121.463,1.4096,1.30153,1183.29,0,8.2639,0.360418,14.8959,
11,1.17257,121.364,1.41349,1.3089,1183.29,0,8.36735,0.34759,14.8982,
12,1.16867,121.399,1.43096,1.28055,1183.31,0,8.33434,0.343693,14.8981,
13,1.16232,121.493,1.4094,1.2929,1183.32,0,8.23356,0.362461,14.8929,
14,1.17063,121.438,1.41859,1.29705,1183.32,0,8.28925,0.340979,14.891,
15,1.16346,121.376,1.40467,1.27235,1183.31,0,8.35118,0.389781,14.8954,
16,1.16808,121.345,1.41942,1.28442,1183.32,0,8.38427,0.34968,14.8927,
17,1.17283,121.381,1.41802,1.29851,1183.3,0,8.3516,0.343263,14.8982,
18,1.16612,121.538,1.40772,1.27597,1183.31,0,8.19392,0.382392,14.8957,
19,1.16409,121.372,1.41109,1.28472,1183.31,0,8.35676,0.3741,14.8952,
20,1.17244,121.476,1.41962,1.2849,1183.32,0,8.26048,0.341646,14.8892,
21,1.17434,121.457,1.42468,1.29376,1183.31,0,8.2667,0.347972,14.8963,
22,1.17989,121.376,1.43325,1.28481,1183.3,0,8.3515,0.341216,14.904,
23,1.16987,121.489,1.4061,1.31284,1183.29,0,8.23686,0.355634,14.9039,
24,1.17288,121.505,1.42376,1.29079,1183.3,0,8.22127,0.357617,14.8985,
25,1.18758,121.418,1.4182,1.28464,1183.31,0,8.31607,0.344066,14.8864,
26,1.19108,121.354,1.42542,1.27546,1183.31,0,8.37392,0.354312,14.8863,
27,1.16348,121.419,1.42017,1.2851,1183.32,0,8.31496,0.350791,14.8937,
28,1.17579,121.263,1.43026,1.27593,1183.32,0,8.47656,0.340444,14.8894,
29,1.16414,121.482,1.41711,1.29741,1183.31,0,8.24422,0.359585,14.8989,
30,1225.15,3606.05,603.197,1.1674,2729.17,0,295.138,1225.85,72.5487,
31,717.717,2135.77,870.614,2.415,4669.69,0,652.62,716.506,114.912,
32,905.228,2142.63,736.852,1.69913,3546.02,0,973.858,899.946,87.6485,
33,1480.25,3608.49,848.697,9.03447,1665.85,0,170.302,1471.74,26.6155,
34,1.166,121.427,1.43439,1.30127,1183.33,0,8.30276,0.339306,14.8949,
35,1.16391,121.409,1.41124,1.28837,1183.34,0,8.33372,0.414387,14.879,
36,207.23,2322.13,835.812,1.72364,1566.45,0,928.631,203.452,19.3419,
37,1.19928,121.365,1.45691,1.2727,1183.29,0,8.37665,0.37095,14.9025,
38,623.941,2135.05,9.0398,0.891778,3086.96,0,371.915,624.429,81.4825,
39,842.2,2135.23,1046.39,7.18179,4730.85,0,386.122,839.035,114.758,
40,1.16927,121.401,1.40685,1.29918,1183.28,0,8.32589,0.355058,14.8997,
41,1.1649,121.494,1.398,1.27971,1183.34,0,8.25175,0.450773,14.8747,
42,1.16559,121.455,1.4045,1.27518,1183.29,0,8.27389,0.372017,14.9014,
43,1.17157,121.362,1.41938,1.30889,1183.31,0,8.36397,0.340627,14.8967,
44,1.18604,121.355,1.42664,1.27899,1183.29,0,8.38015,0.34388,14.8928,
45,1.17236,121.434,1.40696,1.28766,1183.31,0,8.29325,0.421431,14.9042,
46,1.17021,121.372,1.41308,1.2898,1183.3,0,8.35858,0.352315,14.8977,
47,1.16609,121.45,1.40705,1.27682,1183.32,0,8.28041,0.36612,14.895,
48,1.17102,121.371,1.41921,1.28187,1183.27,0,8.35609,0.354389,14.8996,
49,1.17006,121.442,1.4142,1.2742,1183.32,0,8.28608,0.339863,14.895,
