Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.roll_center.y.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.roll_center.y.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.roll_center.y.best,Roll.rear.side_view_swing_arm_angle_l.best,
0,229.152,1182.39,903.253,0.193805,7.01889,136.512,50.6753,69.1549,114.188,329.165,153.258,322.413,2.01388,105.972,59.4114,29.2418,98.4369,410.302,509.039,363.657,3.03746,26.1828,3.82824,31.0972,12.8428,17.7433,11.923,17.6717,
1,229.152,816.077,373.901,0.280797,6.52097,77.2789,75.0954,87.735,112.78,220.184,16.2847,220.199,1.71201,72.1207,36.9093,28.3414,59.0408,215.014,135.655,211.953,3.03746,25.8729,3.82824,31.0972,29.8402,9.63667,11.4161,8.58883,
2,229.152,745.901,388.356,0.307215,6.13961,53.4283,85.3862,98.6826,110.529,188.704,14.228,188.804,1.34374,35.3149,28.5852,27.0324,62.0458,208.255,5.17715,202.872,2.96694,24.8175,3.82824,29.957,13.9421,5.75974,10.8118,4.93938,
3,229.152,723.024,643.176,0.316936,6.25234,67.8467,93.4382,108.207,106.175,163.211,15.4143,162.48,1.13336,74.121,27.7694,27.0015,53.663,289.942,8.16101,284.823,3.16449,24.8175,3.82824,31.0972,35.3373,5.75974,11.8196,4.93938,
4,229.152,647.146,385.671,0.354097,5.9795,55.9118,94.2448,108.757,104.006,132.053,14.3002,131.895,1.11414,49.4927,25.3551,25.2209,52.3523,187.167,6.48202,192.723,3.16449,24.8175,3.82824,31.0972,25.4223,5.75974,11.8196,3.50238,
5,229.152,699.275,443.729,0.3277,6.14173,52.2753,87.8141,102.098,95.7124,169.886,15.5277,169.82,1.28745,37.4933,31.4665,29.5756,50.9239,220.838,10.0893,226.075,2.3168,24.8175,3.82824,31.0972,41.1091,5.75974,11.3169,3.50238,
6,229.152,642.596,611.721,0.356604,5.89219,50.3702,98.3165,113.039,92.8712,134.349,14.0613,133.697,1.30038,61.5496,25.5394,25.3761,41.1591,300.12,6.169,296.623,2.3168,24.6952,3.82824,31.0972,7.72438,3.03227,10.9804,1.32042,
7,229.152,838.444,704.411,0.273306,5.96685,54.9593,92.9935,107.563,99.6013,228.293,21.3545,227.713,1.38318,56.014,28.9168,28.1615,73.9147,311.297,52.0109,341.167,2.3168,24.6952,3.82824,31.0972,7.72438,3.03227,10.8366,1.32042,
8,229.152,764.56,683.185,0.299718,6.09994,56.7157,91.3957,106.428,94.6633,193.326,23.6226,192.309,1.54793,69.1316,30.2366,29.5475,72.996,335.069,60.38,331.762,2.3168,24.6952,3.82824,31.0972,7.72438,2.52969,11.2002,1.32042,
9,229.152,635.705,557.189,0.360469,5.85361,57.5871,99.3566,114.823,81.5707,129.644,18.6242,128.246,1.58406,66.0354,25.2247,24.7814,41.9069,265.188,32.0801,270.022,1.85691,24.6952,3.82824,31.0972,7.72438,2.52969,11.8257,1.32042,
10,229.152,720.151,757.782,0.3182,6.0096,55.866,95.9777,110.465,80.2457,178.644,14.6058,178.337,1.66153,70.3785,24.1669,24.3268,54.1434,336.615,8.55546,344.734,2.01638,24.6952,3.82824,31.0972,24.8167,1.94156,11.802,1.32042,
11,229.152,678.43,802.394,0.337768,6.31633,57.1883,102.748,118.124,83.0978,149.051,14.6955,147.209,1.95415,91.9869,19.2832,18.9246,49.5739,363.904,8.47633,351.656,2.01638,24.6952,3.82824,31.0972,24.8167,1.94156,10.9677,1.32042,
12,229.152,649.865,597.515,0.352615,5.96234,49.4897,96.4551,111.845,81.2776,135.883,34.4281,134.524,2.03959,56.2208,26.4357,24.403,69.6482,253.165,91.2102,250.036,2.01638,24.7482,3.82824,31.0972,18.4078,1.94156,11.8221,1.32042,
13,229.152,561.831,411.861,0.407867,5.66437,51.7474,98.4207,114.68,67.6498,105.252,15.8717,102.545,2.20337,89.5833,25.0266,22.7648,32.9265,196.928,23.8284,193.676,2.01638,22.9443,3.82824,31.0972,24.7484,1.94156,11.8221,1.32042,
14,229.152,399.101,122.199,0.574171,5.55078,32.7665,103.553,119.117,60.2073,32.4885,13.326,32.0917,2.03134,28.2491,22.3333,19.8932,26.899,71.1217,6.81564,92.4826,2.01638,24.6521,3.31255,31.0972,18.6702,1.63666,11.8221,0.819624,
15,229.152,579.15,643.869,0.39567,5.50156,55.3694,98.481,114.414,63.7143,111.377,20.2245,110.068,2.14051,85.1543,28.6021,26.4444,43.0642,286.665,36.2262,271.166,2.01638,24.6521,3.31255,31.0972,18.271,1.63666,10.8206,0.819624,
16,229.152,383.379,178.505,0.597718,6.14131,32.111,102.367,118.207,50.6938,30.2195,13.8631,29.7763,2.05408,33.3433,26.1092,22.9446,35.037,105.251,10.0638,116.138,2.82004,24.7115,3.31255,31.0972,2.68739,1.63666,11.8221,0.819624,
17,229.152,641.857,755.878,0.357014,5.80409,69.7215,92.581,109.624,42.6257,150.663,23.6132,147.225,1.93722,112.47,33.7902,29.8347,31.3481,353.544,37.6224,361.71,2.16096,24.7115,3.31255,31.0972,9.06505,1.63666,11.8223,0.819624,
18,229.152,662.48,596.519,0.345901,5.82599,56.3775,87.8923,103.749,46.2845,173.014,17.6094,171.727,2.1933,67.0757,34.8596,31.4092,46.3536,287.579,16.7479,293.048,2.82004,24.7115,3.31255,29.8779,8.15811,1.63666,10.7719,0.819624,
19,229.152,441.076,503.533,0.51953,5.00315,41.5923,103.444,119.19,49.6146,54.4466,14.094,53.6911,1.65326,63.417,26.8939,21.9617,58.6593,235.042,8.15962,205.044,2.24079,24.6347,3.31255,31.0972,13.8933,1.63666,11.8223,0.819624,
20,229.152,680.398,745.917,0.336791,5.66754,68.6129,93.748,110.197,53.6656,162.27,25.0612,161.176,2.12978,109.354,34.1651,30.4395,69.2141,322.404,53.7178,328.028,2.24079,24.6347,3.31255,31.0972,12.0503,1.63666,10.9544,0.819624,
