Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
0,160.117,1042.28,573.594,0.153623,7.32447,139.307,147.693,350.942,53.3531,343.655,2.22844,172.901,167.043,318.758,60.6253,337.257,3.0471,6.13828,28.2601,12.7963,3.82824,12.7372,
1,160.117,685.499,325.822,0.233577,6.19872,78.7083,138.074,197.326,70.7191,194.472,1.84179,94.6122,82.2746,205.525,30.1373,206.198,2.64844,6.13828,11.8781,12.7963,3.82824,12.7372,
2,160.117,595.403,433.766,0.268922,5.57279,44.5687,131.876,168.326,76.7477,168.312,1.79468,33.0157,75.8242,207.464,27.9527,203.764,2.64844,3.18312,31.1783,2.92726,3.82824,2.68458,
3,160.117,562.275,545.67,0.284766,5.27595,46.9631,121.961,151.09,86.4418,150.544,1.60846,78.7202,59.5944,248.403,23.5781,244.928,2.64844,0.966485,31.1783,0.923763,3.82824,0.301729,
4,153.372,472.848,409.503,0.324358,5.18794,40.1893,128.929,105.781,87.2962,105.465,1.69482,61.1168,84.5566,184.636,20.8245,190.952,2.59792,1.25431,26.8964,0.923763,3.82824,0.301729,
5,153.372,384.713,189.423,0.398665,5.04173,26.0369,102.932,79.2359,92.4212,79.0454,1.31604,33.8756,56.3963,97.3285,19.07,94.6558,2.43785,1.70497,12.916,0.923763,3.82824,0.301729,
6,153.372,507.739,481.555,0.302068,4.73624,36.9542,105.604,135.129,90.6026,134.713,1.24968,63.1825,79.0286,220.844,23.8608,232.147,2.44178,1.25411,9.98119,0.923763,3.82824,0.301729,
7,153.372,442.809,407.922,0.346362,4.98443,35.3335,108.725,102.515,92.6229,98.6275,1.86085,64.818,71.9032,177.55,26.3774,168.521,1.93979,0.386599,12.916,0.923763,3.82824,0.301729,
8,153.372,502.149,550.191,0.305431,5.09393,36.8956,101.958,132.725,93.4935,131.983,1.52457,65.3857,60.8382,247.17,25.5875,246.985,2.74027,0.386599,6.06968,0.923763,3.82824,0.301729,
9,153.372,404.361,312.255,0.379295,5.64108,31.7922,77.2776,96.7322,96.5331,96.3849,1.77452,66.402,49.6329,144.84,20.6323,140.924,2.83611,0.386599,4.05753,0.980227,3.82824,0.529395,
