Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
0,1409.5,4468.91,1102.79,0.315402,7.03335,386.756,55.8074,3094.15,282.203,324.712,318.249,7.23406,492.503,62.5882,3236.31,847.294,413.937,401.968,3.0471,18.4148,3.82824,1224.72,14.1843,12.7963,12.7372,
1,1409.5,3623.85,852.171,0.388952,6.39662,394.243,36.1727,2326.52,177.344,342.92,340.251,1.93743,230.329,27.5892,803.351,134.787,187.4,184.023,3.0471,36.9963,3.82824,1224.72,14.1843,31.3867,31.377,
2,1409.5,3224.36,765.744,0.437142,5.77391,317.696,31.4182,2107.51,174.8,293.864,293.298,1.45272,172.49,17.3601,605.351,103.385,159.339,157.691,2.90276,36.9963,3.08983,1224.72,22.9382,12.432,11.8408,
3,1409.5,2723.37,837.614,0.517559,5.59253,226.754,21.8071,1761.7,167.743,270.035,269.736,1.42217,188.323,16.7871,544.964,115.828,246.591,243.8,2.59423,20.7776,3.08983,1224.72,15.5825,12.432,11.8408,
4,1409.5,2562.55,1303,0.550038,5.96752,228.042,18.949,1714.75,151.194,223.065,220.589,1.55004,250.798,19.2105,782.77,147.87,276.952,266.694,2.59423,9.77255,3.08983,1211.73,15.5825,5.95053,2.73806,
5,1409.5,2191.68,980.492,0.643115,5.5348,167.901,15.452,1563.28,111.629,164.175,163.714,1.39851,155.508,18.3421,670.85,96.1129,208.347,208.459,2.59423,11.8783,2.80351,1211.73,9.27914,0.796246,0.445826,
6,1409.5,2116.9,923.208,0.665832,5.86295,159.596,14.864,1520.77,91.6093,162.455,161.746,1.58571,127.244,19.6953,716.712,65.1519,174.458,174.635,3.01996,8.43714,2.80351,1210.18,13.2417,0.796246,0.445826,
7,1398.87,2710.03,2109.89,0.516182,6.28631,271.865,20.0337,1782.56,108.702,263.195,257.384,2.02208,372.69,29.5332,1175.82,96.2759,338.188,354.146,3.02579,6.22215,2.80351,1190.14,7.22277,0.796246,0.445826,
8,1398.87,2315.97,1537.07,0.60401,6.12465,236.174,16.1796,1617.25,97.3874,173.14,169.714,1.61767,296.612,24.2201,976.216,69.1908,264.574,259.159,3.02579,7.53614,3.08983,1190.14,9.60368,0.796246,0.445826,
9,1398.87,2721.25,2421.98,0.514053,6.24819,298.496,21.351,1812.29,106.319,240.371,236.176,1.67652,513.178,31.2087,1381.13,95.8506,364.15,371.414,2.80672,2.62511,3.273,1203.15,9.60368,0.796246,0.445826,
