Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,
0,1470.21,5168.39,1134.07,0.284461,315.806,0,817.613,7.26223,378.028,54.974,3089.57,193.684,311.456,386.955,0,773.28,3.20994,475.723,62.4385,1157.49,105.631,389.393,16.6578,0,38.3688,0.50406,20.1864,3.82824,1224.72,20.2968,16.617,
1,1470.21,4438.11,1130.85,0.331269,334.378,0,710.95,7.29559,364.359,39.0686,2444.2,205.254,332.603,214.779,0,550.282,2.42292,213.906,28.358,832.729,99.4433,215.544,9.24493,0,38.3688,0.50406,36.9963,3.82824,1177.18,43.255,3.89156,
2,1470.21,3610.98,803.888,0.407149,279.494,0,516.746,7.05116,282.326,28.446,2000.22,217.753,278.943,168.917,0,399.146,1.95046,152.514,20.3425,690.58,94.1364,168.436,9.24493,0,38.3688,0.50406,36.9963,3.63325,1177.18,43.255,3.89156,
3,1470.21,3385.11,1196.01,0.434316,267.58,0,510.64,7.1319,273.085,22.0889,1804.64,233.645,266.301,175.532,0,491.284,2.02613,251.133,16.0867,600.164,97.7648,174.029,9.24493,0,38.3688,0.50406,21.9416,3.63325,1177.18,66.068,3.89156,
4,1470.21,3048.71,982.656,0.482239,261.071,0,495.001,6.93037,233.679,15.4409,1553.55,222.778,260.265,239.66,0,400.804,2.21881,197.81,11.4349,347.908,88.6466,239.299,5.59289,0,38.4156,1.60801,21.9416,3.63325,1192.52,74.2156,3.89156,
5,1470.21,3299.68,1859.43,0.44556,287.461,0,542.996,6.99369,252.098,19.0868,1688.66,217.257,285.133,311.507,0,531.885,2.30701,293.953,18.8082,756.821,96.7372,310.56,5.59289,0,38.4156,1.83532,5.39065,3.63325,1182.84,33.3051,3.66685,
6,1470.21,2798.59,1054.86,0.525338,203.346,0,417.465,7.90785,219.849,14.3117,1512.35,220.992,202.367,221.799,0,409.818,2.00818,246.908,10.3663,388.817,88.7468,219.433,5.59289,0,40.7682,2.21606,5.39065,3.11392,1192.52,26.2097,3.89156,
7,1470.21,2666.27,1030.62,0.55141,191.767,0,390.202,7.66762,149.641,14.4493,1473.47,248.3,190.777,224.892,0,278.768,2.25546,175.532,11.4588,374.831,97.7805,225.879,5.59289,0,57.0566,2.21606,5.39065,3.27447,1192.52,74.2156,1.99886,
8,1470.21,2386.98,803.149,0.615929,151.275,0,368.977,8.3558,120.042,10.511,1355.57,221.511,150.736,196.283,0,353.845,2.38816,100.514,8.73932,198.189,72.7091,196.107,5.59289,0,47.5427,0.904401,8.93948,3.27447,1192.52,74.2156,1.99886,
9,1470.21,2819.52,1919.76,0.52144,180.322,0,506.755,8.71495,125.23,16.3195,1576.23,226.32,179.621,271.43,0,642.206,2.3804,197.045,22.9114,795.745,93.0401,265.676,5.59289,0,47.5427,2.51783,5.87469,3.63325,1192.52,45.2168,1.99886,
