Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.coil_over_length_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
0,1565.5,5428.55,1530.85,0.288383,6.8447,367.677,2949.64,1183.65,0,309.133,250.709,301.236,59.6654,4.09587,328.143,1053.12,1211.84,2.69589e-05,264.637,162.877,353.319,67.9072,0.311224,20.1864,1240.09,75.6938,0,16.6578,60.1894,16.617,3.82824,
1,1565.5,4243.93,1022.07,0.368881,7.0642,377.672,2353.28,563.809,0,310.113,275.747,309.102,47.1407,2.63818,217.809,943.541,664.647,0,216.139,160.962,215.519,26.4079,0.311224,36.9963,1232.58,39.8378,0,16.078,73.3697,13.0681,3.14883,
2,1565.5,3627.44,776.812,0.431573,5.9664,317.756,2065.01,407.848,0,232.585,325.204,232.184,40.8776,2.41872,142.007,596.121,365.072,0,156.604,194.477,162.217,19.3058,0.311224,22.7823,1232.58,39.8378,0,16.078,93.0156,13.0681,3.14883,
3,1565.5,3212.55,754.736,0.487308,6.17014,280.324,1800.33,370.645,0,193.302,337.397,192.892,31.4888,1.81637,138.587,626.836,287.229,0,153.243,158.076,150.286,22.034,2.52157,7.13658,1232.58,39.8378,0,3.68687,88.0937,3.4649,3.14883,
4,1565.5,3036.13,1199.43,0.515624,6.04856,223.632,1687.02,425.333,0,167.722,332.44,167.214,26.7253,2.1101,164.712,717.537,415.149,0,220.273,187.213,219.111,22.3528,1.21918,2.86665,1198.47,39.8378,0,2.7426,46.0862,2.50873,3.14883,
5,1565.5,3079.94,1698.4,0.50829,6.54332,204.114,1580.12,600.413,0,165.661,337.413,165.227,20.4472,2.12316,175.321,882.696,649.199,0,139.561,212.391,139.029,25.9552,1.10747,13.597,1198.47,39.8378,0,6.64491,65.8421,5.20423,3.14883,
6,1565.5,2807.87,1382.1,0.557542,5.99674,200.313,1515.3,459.633,0,155.7,298.484,155.073,17.3669,1.84874,179.391,716.791,587.349,0,109.466,186.31,109.479,21.9317,1.4862,16.4683,1198.47,39.8378,0,6.64491,65.8421,5.20423,3.14883,
7,1565.5,3092.91,1899.21,0.506158,5.54081,252.59,1568.45,563.853,0,212.893,261.089,210.524,17.9754,2.42013,333.835,717.926,677.343,0,256.324,145.847,269.172,20.3563,0.684976,12.3375,1173.92,39.8378,0,6.64491,15.9057,2.96182,3.82824,
8,1565.5,3010.68,2471.07,0.519983,5.83261,197.064,1648.44,511.616,0,180.534,269.329,176.591,21.2791,2.18523,362.357,931.157,774.193,0,326.564,161.392,319.218,24.0323,1.87312,5.43447,1191.16,39.8378,0,3.10476,61.3156,2.38585,3.82824,
9,1471.32,3003.31,2155.29,0.489898,6.04264,156.935,1635.51,512.569,0,204.147,269.598,198.048,20.456,2.33851,227.553,922.917,721.045,0,313.389,172.41,304.222,25.4548,0.617813,3.16673,1177.61,39.8378,0,3.04967,39.9055,2.4454,3.42891,
