Individual,Roll.front.camber_angle_gain_roll_l,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,2in Heave.front.toe_angle_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,2in Heave.front.coil_over_length_l,2in Heave.front.p_rod_length_l,
0,2.13248,0.201351,32.2103,0.258898,0.88064,1.20177,8.18453,0.479377,592.742,2.99618,43.9919,0,
1,2.13243,0.201389,32.2101,0.258794,0.880503,1.20161,8.18471,0.479427,592.742,3.00237,43.9857,0,
2,2.13246,0.201339,32.2103,0.258945,0.880592,1.20173,8.18452,0.47933,592.742,2.99978,43.9883,0,
3,2.13247,0.201335,32.2103,0.258897,0.880617,1.20175,8.18455,0.479328,592.742,3.00016,43.988,0,
4,2.13245,0.201384,32.2102,0.258945,0.880565,1.20169,8.18449,0.479432,592.742,3.00485,43.9833,0,
5,2.13245,0.201334,32.2102,0.258949,0.880555,1.20168,8.18452,0.479304,592.742,2.99879,43.9893,0,
6,2.13244,0.201373,32.2102,0.258964,0.880537,1.20166,8.18449,0.4794,592.742,2.99506,43.993,0,
7,2.13242,0.201372,32.2101,0.258787,0.880486,1.20159,8.18471,0.479388,592.742,2.99796,43.9901,0,
8,2.13244,0.201332,32.2102,0.258763,0.880531,1.20164,8.18475,0.479296,592.742,3.0004,43.9877,0,
9,2.13247,0.201362,32.2103,0.258863,0.880604,1.20174,8.18461,0.479392,592.742,2.99657,43.9915,0,
10,2.13249,0.201313,32.2104,0.258814,0.880673,1.2018,8.18463,0.479287,592.742,3.00212,43.986,0,
11,2.13244,0.201382,32.2102,0.25889,0.880537,1.20165,8.18457,0.47942,592.742,3.00676,43.9814,0,
12,2.13248,0.201363,32.2103,0.258908,0.88064,1.20177,8.18452,0.479397,592.742,2.99676,43.9914,0,
13,2.13247,0.201337,32.2103,0.258747,0.880621,1.20175,8.18476,0.47933,592.742,2.9986,43.9895,0,
14,2.13243,0.201392,32.2101,0.258753,0.880517,1.20163,8.18477,0.479441,592.742,2.99729,43.9908,0,
15,2.13245,0.201368,32.2102,0.258912,0.880569,1.20169,8.18456,0.479393,592.742,2.9928,43.9953,0,
16,2.13248,0.201316,32.2103,0.258751,0.880635,1.20176,8.18472,0.479287,592.742,3.00447,43.9837,0,
17,2.13248,0.2013,32.2103,0.258847,0.880647,1.20178,8.18459,0.47925,592.742,3.00518,43.983,0,
18,2.13247,0.20137,32.2103,0.258853,0.880601,1.20173,8.18463,0.479406,592.742,3.00085,43.9872,0,
19,2.13248,0.201366,32.2103,0.258802,0.880651,1.20178,8.18468,0.479414,592.742,3.0048,43.9833,0,
20,2.13248,0.201309,32.2103,0.258829,0.880634,1.20176,8.18463,0.479266,592.742,3.0073,43.9808,0,
21,2.13247,0.201356,32.2103,0.258762,0.880614,1.20174,8.18474,0.479376,592.742,2.99035,43.9978,0,
22,2.13248,0.201315,32.2103,0.258706,0.880646,1.20177,8.1848,0.479281,592.742,3.0056,43.9825,0,
23,2.13247,0.201365,32.2103,0.258689,0.880613,1.20174,8.18483,0.479397,592.742,3.00694,43.9812,0,
24,2.13248,0.201327,32.2103,0.258611,0.880639,1.20176,8.18492,0.479314,592.742,3.00392,43.9842,0,
25,2.13248,0.201396,32.2103,0.258716,0.880644,1.20177,8.18479,0.479481,592.742,2.99844,43.9897,0,
26,2.13245,0.201333,32.2102,0.258666,0.880569,1.20168,8.18488,0.479314,592.742,2.99527,43.9929,0,
27,2.13248,0.201336,32.2103,0.258665,0.880653,1.20178,8.18486,0.479337,592.742,3.00127,43.9868,0,
28,2.13246,0.201343,32.2103,0.258917,0.880581,1.20171,8.18454,0.479336,592.742,3.00353,43.9846,0,
29,2.13247,0.201299,32.2103,0.258826,0.880629,1.20176,8.18466,0.479243,592.742,3.00473,43.9834,0,
30,2.13248,0.201347,32.2103,0.258789,0.880652,1.20178,8.18468,0.479361,592.742,3.0018,43.9863,0,
31,2.13245,0.201378,32.2102,0.258892,0.880552,1.20168,8.18461,0.479415,592.742,2.99379,43.9943,0,
32,2.13244,0.201327,32.2102,0.258687,0.880535,1.20165,8.18488,0.479289,592.742,2.99805,43.99,0,
33,2.13246,0.201384,32.2102,0.25876,0.880574,1.2017,8.18475,0.479435,592.742,3.00257,43.9856,0,
34,2.13247,0.201382,32.2103,0.258676,0.880635,1.20177,8.18486,0.479454,592.742,3.00408,43.984,0,
35,2.13245,0.201372,32.2102,0.258864,0.880568,1.20169,8.18461,0.479402,592.742,3.00298,43.9851,0,
36,2.13248,0.201318,32.2103,0.258799,0.880628,1.20176,8.18468,0.479289,592.742,2.99717,43.991,0,
37,2.13247,0.201377,32.2103,0.258934,0.880609,1.20174,8.18453,0.479425,592.742,3.00065,43.9875,0,
38,2.13246,0.201324,32.2103,0.258649,0.880591,1.20172,8.18492,0.47929,592.742,2.99732,43.9907,0,
39,2.13249,0.201376,32.2103,0.258769,0.880659,1.20179,8.18472,0.479435,592.742,3.00015,43.988,0,
40,2.13248,0.201302,32.2103,0.258801,0.880634,1.20176,8.18468,0.479251,592.742,3.00067,43.9875,0,
41,2.13246,0.201356,32.2103,0.258838,0.880597,1.20173,8.18465,0.479378,592.742,2.99985,43.9883,0,
42,2.13245,0.201361,32.2102,0.258708,0.880561,1.20169,8.18485,0.479373,592.742,2.99811,43.99,0,
43,2.13248,0.201368,32.2103,0.258793,0.880643,1.20178,8.18469,0.479411,592.742,3.00558,43.9825,0,
44,2.13246,0.201374,32.2102,0.258687,0.880575,1.2017,8.18486,0.479409,592.742,2.99977,43.9883,0,
45,2.13248,0.201316,32.2103,0.258698,0.88063,1.20176,8.18483,0.479283,592.742,3.00332,43.9848,0,
46,2.13247,0.201354,32.2103,0.258869,0.8806,1.20173,8.18461,0.479361,592.742,2.99996,43.9882,0,
47,2.13247,0.201358,32.2103,0.258791,0.880609,1.20174,8.18471,0.47938,592.742,3.00028,43.9878,0,
48,2.13248,0.201396,32.2103,0.258653,0.880631,1.20176,8.18491,0.479476,592.742,2.99324,43.9949,0,
49,2.1325,0.201326,32.2104,0.258728,0.880703,1.20185,8.18479,0.479326,592.742,3.00118,43.9869,0,
50,2.13247,0.201308,32.2103,0.258809,0.880624,1.20176,8.18468,0.479259,592.742,3.00683,43.9813,0,
51,2.13247,0.201321,32.2103,0.25863,0.880622,1.20175,8.18492,0.479297,592.742,2.99827,43.9898,0,
52,2.13247,0.201301,32.2103,0.258647,0.880617,1.20174,8.18491,0.479243,592.742,2.99929,43.9888,0,
53,2.13246,0.201387,32.2102,0.258887,0.880587,1.20172,8.18459,0.479446,592.742,3.00077,43.9874,0,
54,2.13246,0.201361,32.2102,0.258642,0.88058,1.2017,8.18492,0.47938,592.742,2.9963,43.9918,0,
55,2.13245,0.201336,32.2102,0.258683,0.880573,1.20169,8.18489,0.479319,592.742,3.0003,43.9878,0,
56,2.13245,0.201382,32.2102,0.258653,0.880563,1.20168,8.18491,0.479428,592.742,3.00344,43.9847,0,
57,2.13249,0.20134,32.2103,0.258767,0.880673,1.20182,8.18473,0.479358,592.742,3.00318,43.9849,0,
58,2.13246,0.201368,32.2102,0.258631,0.880592,1.20172,8.18495,0.47941,592.742,3.00344,43.9846,0,
59,2.13246,0.201377,32.2102,0.258645,0.880588,1.20171,8.18494,0.47942,592.742,2.99753,43.9906,0,
60,2.13248,0.201365,32.2103,0.258702,0.880655,1.20179,8.18481,0.479404,592.742,3.00156,43.9866,0,
61,2.13249,0.201343,32.2103,0.258757,0.880659,1.2018,8.18476,0.47935,592.742,2.99826,43.9899,0,
62,2.13246,0.201346,32.2102,0.258725,0.880572,1.2017,8.18482,0.479338,592.742,2.99963,43.9885,0,
63,2.13245,0.201383,32.2102,0.258822,0.880548,1.20168,8.18471,0.479428,592.742,2.99607,43.992,0,
64,2.13247,0.201378,32.2103,0.258657,0.880599,1.20173,8.18492,0.479422,592.742,2.99792,43.9902,0,
65,2.13245,0.20133,32.2102,0.258677,0.880552,1.20167,8.18488,0.479301,592.742,2.99881,43.9893,0,
66,2.13247,0.201361,32.2103,0.2588,0.880601,1.20174,8.18471,0.479388,592.742,3.00005,43.9881,0,
67,2.13249,0.201281,32.2104,0.258662,0.88065,1.20179,8.18491,0.479194,592.742,2.99776,43.9903,0,
68,2.13245,0.201361,32.2102,0.258665,0.880562,1.20168,8.18491,0.479376,592.742,2.99475,43.9934,0,
69,2.13247,0.201324,32.2103,0.25873,0.880622,1.20176,8.1848,0.4793,592.742,2.99893,43.9892,0,
70,2.13248,0.20136,32.2103,0.258619,0.880649,1.20178,8.18495,0.479392,592.742,3.00107,43.987,0,
71,2.13247,0.201304,32.2103,0.258633,0.880615,1.20174,8.18493,0.479247,592.742,2.99258,43.9955,0,
72,2.13248,0.201349,32.2103,0.25869,0.880645,1.20178,8.18484,0.479371,592.742,2.9953,43.9928,0,
73,2.13245,0.201359,32.2102,0.258717,0.88056,1.20168,8.18484,0.479377,592.742,3.00073,43.9874,0,
74,2.13248,0.20137,32.2103,0.258636,0.880656,1.20179,8.18491,0.479419,592.742,3.00222,43.9859,0,
75,2.13247,0.20136,32.2103,0.258692,0.880605,1.20174,8.18486,0.479385,592.742,3.00003,43.9881,0,
76,2.13247,0.201396,32.2103,0.258633,0.880624,1.20176,8.18492,0.479476,592.742,3.0009,43.9872,0,
77,2.13245,0.201416,32.2102,0.258887,0.880547,1.20168,8.18462,0.479507,592.742,3.0021,43.986,0,
78,2.13247,0.201366,32.2103,0.258653,0.880601,1.20173,8.18491,0.479397,592.742,2.99891,43.9892,0,
79,2.13246,0.20135,32.2102,0.258756,0.880581,1.20171,8.1848,0.479356,592.742,2.99416,43.994,0,
80,16.0244,42.9502,79.7288,0.88542,12.4358,108.612,11.1183,43.0205,1676.65,49.7449,31.8074,0,
81,3.88168,96.0277,57.6665,73.5728,19.3375,237.245,7.13385,95.7858,694.007,33.9253,719.949,0,
82,2.13247,0.201324,32.2103,0.258823,0.88061,1.20174,8.18466,0.479295,592.742,3.00342,43.9847,0,
83,2.13245,0.2013,32.2102,0.258784,0.880558,1.20167,8.18471,0.479226,592.742,2.99967,43.9884,0,
84,2.13245,0.201331,32.2102,0.258671,0.880568,1.20168,8.18488,0.4793,592.742,3.00057,43.9876,0,
85,2.13246,0.201379,32.2102,0.258675,0.880577,1.20171,8.1849,0.479422,592.742,3.00251,43.9856,0,
86,2.13246,0.201311,32.2103,0.258796,0.880597,1.20173,8.18471,0.479267,592.742,3.00024,43.9879,0,
87,2.13248,0.201383,32.2103,0.258768,0.880639,1.20177,8.1847,0.479453,592.742,2.99821,43.9899,0,
88,2.13248,0.201328,32.2103,0.258756,0.880644,1.20177,8.18473,0.479318,592.742,3.00288,43.9852,0,
89,21.8614,1023.19,8.57115,0.427436,4.9608,21.1327,11.3133,1024.31,2964.67,147.547,686.815,0,
90,32.5212,11.2949,11.4586,50.0816,0.946418,26.8429,11.9183,11.2865,4171.65,135.304,1425.98,0,
91,2.13247,0.20132,32.2103,0.258761,0.880613,1.20175,8.18477,0.479292,592.742,3.00098,43.9871,0,
92,29.3303,50.0151,13.191,68.5751,1.90408,119.607,10.9697,49.8647,3815.42,133.236,717.393,0,
93,2.13247,0.201321,32.2103,0.258711,0.880602,1.20173,8.18482,0.479285,592.742,3.00116,43.9869,0,
94,2.13244,0.201326,32.2102,0.258749,0.880544,1.20166,8.18478,0.479287,592.742,2.997,43.9911,0,
95,2.13241,0.201329,32.2101,0.258835,0.880446,1.20153,8.18464,0.479264,592.742,3.00282,43.9853,0,
96,2.13245,0.201404,32.2102,0.258853,0.880558,1.20169,8.18464,0.479482,592.742,2.99783,43.9903,0,
97,2.13247,0.201376,32.2103,0.258724,0.880621,1.20175,8.18478,0.479426,592.742,3.00417,43.9839,0,
98,2.13249,0.201303,32.2103,0.258635,0.880665,1.20179,8.18489,0.47926,592.742,2.99879,43.9893,0,
99,19.5764,999.551,8.7222,10.1245,6.28241,90.854,8.54955,1001.49,2710.02,14.9267,729.582,0,
