Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,2in Heave.front.coil_over_length_l,2in Heave.front.p_rod_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,
0,0.0106813,27.5264,2.86105,14.1059,0.256539,0.0283779,654.075,4.39824,45.1156,0,2.57476,1.13173,
1,0.010935,27.524,2.86065,14.0975,0.251948,0.0341096,654.084,4.50344,45.0238,0,2.57457,1.12019,
2,0.0340754,27.5227,2.86042,14.0931,0.25516,0.0250382,654.091,4.50329,45.0159,0,2.5709,1.11586,
3,0.0116141,27.5238,2.86029,14.102,0.252767,0.0302995,654.106,4.46784,45.0477,0,2.56347,1.12216,
4,0.0299272,27.5274,2.86087,14.1002,0.250374,0.0243652,654.088,4.50793,45.0161,0,2.56505,1.11819,
5,0.00694578,27.5281,2.86073,14.1024,0.264063,0.0219287,654.102,4.45959,45.0632,0,2.55515,1.12501,
6,0.020195,27.5271,2.86082,14.1038,0.258785,0.0219721,654.092,4.448,45.0682,0,2.56145,1.12762,
7,0.00882567,27.526,2.86067,14.0991,0.263584,0.029276,654.094,4.50022,45.024,0,2.56067,1.12304,
8,0.010418,27.5249,2.86032,14.0978,0.255118,0.0269505,654.109,4.46662,45.0555,0,2.56462,1.12005,
9,0.00680839,27.5271,2.86056,14.1052,0.248223,0.0244707,654.107,4.43871,45.0874,0,2.5646,1.12222,
10,0.0226084,27.5261,2.86088,14.0994,0.272425,0.0269187,654.082,4.64749,44.8829,0,2.54954,1.12364,
11,0.0107734,27.5273,2.86038,14.0966,0.266444,0.0206658,654.118,4.48901,45.0346,0,2.55003,1.11963,
12,0.0081027,27.5279,2.86107,14.1069,0.257034,0.0298641,654.081,4.39524,45.1237,0,2.57033,1.13232,
13,0.0324808,27.5254,2.86084,14.1022,0.258589,0.0288799,654.081,4.42946,45.0851,0,2.56603,1.12575,
14,0.0276581,27.5283,2.86141,14.1106,0.264778,0.0243695,654.063,4.47447,45.0484,0,2.55713,1.13639,
15,0.0187083,27.5266,2.86056,14.1005,0.259998,0.0201536,654.104,4.46566,45.0573,0,2.56064,1.12356,
16,0.0189073,27.526,2.86167,14.1218,0.246255,0.0321221,654.037,4.54214,44.9762,0,2.59091,1.14581,
17,0.0363185,27.5265,2.86087,14.0916,0.257986,0.0293679,654.084,4.26782,45.2536,0,2.57452,1.11736,
18,0.0113729,27.5239,2.86072,14.1144,0.247775,0.0311726,654.081,4.50897,45.019,0,2.57554,1.12701,
19,0.00967549,27.5284,2.86044,14.1004,0.260489,0.0210026,654.121,4.44786,45.0791,0,2.55194,1.12108,
20,0.0160009,27.5289,2.86061,14.0979,0.26185,0.0187304,654.113,4.48353,45.0353,0,2.56352,1.12217,
21,0.00696387,27.526,2.86025,14.1017,0.26203,0.0197997,654.12,4.45334,45.0622,0,2.5637,1.12627,
22,0.0101169,27.5244,2.86054,14.1016,0.256954,0.033298,654.094,4.45463,45.0786,0,2.5655,1.12441,
23,0.0332251,27.5255,2.86092,14.0994,0.252813,0.03069,654.076,4.44327,45.0805,0,2.57955,1.12309,
24,0.00669488,27.528,2.86091,14.1055,0.248986,0.0278096,654.091,4.48358,45.05,0,2.57711,1.12643,
25,0.0313788,27.5265,2.86109,14.1078,0.25636,0.030256,654.072,4.46617,45.0477,0,2.57338,1.1333,
26,0.0396335,27.526,2.86099,14.101,0.269632,0.0355559,654.075,4.5505,44.9736,0,2.55034,1.1247,
27,0.0385167,27.5269,2.86095,14.0993,0.266947,0.032821,654.081,4.48774,45.0397,0,2.55015,1.12211,
28,0.00746121,27.5281,2.86037,14.0983,0.262404,0.0265416,654.124,4.50886,45.0083,0,2.56197,1.12155,
29,0.00625075,27.5275,2.86025,14.0964,0.267315,0.0226131,654.128,4.43983,45.0828,0,2.55681,1.12058,
