Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.motion_ratio_heave_l,2in Heave.front.coil_over_length_l,2in Heave.front.p_rod_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.roll_center_gnd.z,
0,0.18946,32.4579,4.81444,15.2234,1.43006,0.449473,1.45035,46.2966,0,2.17082,2.11283,57.3492,
1,0.190633,32.4596,4.81454,15.2234,1.43642,0.453265,1.49012,46.2526,0,2.1694,2.11431,57.3448,
2,0.187739,32.455,4.81436,15.2198,1.45701,0.439636,1.45912,46.2842,0,2.17115,2.11271,57.3531,
3,0.188997,32.4601,4.81456,15.2263,1.44532,0.449845,1.47745,46.2668,0,2.16223,2.1203,57.3442,
4,0.188945,32.4587,4.81427,15.2211,1.44507,0.451066,1.49137,46.2512,0,2.16412,2.11401,57.3575,
5,0.188839,32.46,4.81459,15.2274,1.45139,0.449046,1.47306,46.2666,0,2.1612,2.12248,57.3432,
6,0.188484,32.4564,4.81417,15.2185,1.44476,0.45006,1.49279,46.2514,0,2.17251,2.10891,57.3618,
7,0.189109,32.457,4.81445,15.2264,1.44935,0.44496,1.44077,46.3017,0,2.16689,2.1202,57.3495,
8,0.187553,32.4579,4.81454,15.227,1.45167,0.447178,1.43927,46.3002,0,2.17123,2.11931,57.3446,
9,0.185294,32.458,4.81504,15.2368,1.45122,0.442355,1.50869,46.239,0,2.17065,2.13247,57.3216,
10,0.188858,32.4546,4.81374,15.2116,1.44565,0.44381,1.55222,46.2046,0,2.16486,2.10108,57.3819,
11,0.190558,32.4526,4.81416,15.2217,1.45928,0.436467,1.43302,46.3074,0,2.17494,2.11501,57.3625,
12,0.184983,32.4588,4.81542,15.2445,1.46077,0.441571,1.44141,46.2992,0,2.17764,2.14214,57.304,
13,0.193546,32.4637,4.8147,15.225,1.44407,0.462295,1.47621,46.2686,0,2.16877,2.1164,57.3375,
14,0.190219,32.4617,4.81482,15.2273,1.45645,0.454409,1.4841,46.2568,0,2.17345,2.121,57.3317,
15,0.19055,32.4636,4.81567,15.2473,1.45307,0.455083,1.45534,46.2838,0,2.17323,2.1431,57.2922,
16,0.187394,32.4579,4.8148,15.2302,1.45999,0.44559,1.4477,46.2998,0,2.17224,2.12567,57.3329,
17,0.190868,32.4594,4.81436,15.221,1.45482,0.454671,1.46076,46.2796,0,2.17278,2.11303,57.3533,
