Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,2in Heave.front.motion_ratio_heave_l,2in Heave.front.coil_over_length_l,2in Heave.front.p_rod_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,
0,0.370675,30.9598,4.21297,16.511,0.436545,3.53703,45.4289,0,3.88902,0.960136,0.88296,88.2343,
1,0.370674,30.9598,4.21297,16.511,0.436544,3.53707,45.4289,0,3.88902,0.960136,0.88296,88.2343,
2,0.370674,30.9598,4.21297,16.511,0.436545,3.53715,45.4288,0,3.88902,0.960136,0.88296,88.2343,
3,0.370674,30.9598,4.21297,16.511,0.436545,3.53713,45.4288,0,3.88902,0.960136,0.88296,88.2343,
4,0.370674,30.9598,4.21297,16.511,0.436545,3.53717,45.4288,0,3.88902,0.960136,0.88296,88.2343,
5,0.370674,30.9598,4.21297,16.511,0.436544,3.53716,45.4288,0,3.88902,0.960136,0.882959,88.2343,
6,0.370674,30.9598,4.21297,16.511,0.436545,3.53718,45.4288,0,3.88902,0.960136,0.88296,88.2343,
7,0.370674,30.9598,4.21297,16.511,0.436544,3.53699,45.429,0,3.88902,0.960136,0.88296,88.2343,
8,0.370673,30.9598,4.21297,16.511,0.436542,3.53714,45.4288,0,3.88902,0.960134,0.882957,88.2343,
9,0.370675,30.9598,4.21297,16.511,0.436545,3.53712,45.4288,0,3.88902,0.960136,0.88296,88.2343,
10,0.370673,30.9598,4.21297,16.511,0.436541,3.53718,45.4288,0,3.88902,0.960133,0.882957,88.2343,
11,0.370675,30.9598,4.21297,16.511,0.436545,3.53714,45.4288,0,3.88902,0.960136,0.88296,88.2343,
12,0.370675,30.9598,4.21297,16.511,0.436545,3.53716,45.4288,0,3.88902,0.960136,0.88296,88.2343,
13,0.370673,30.9598,4.21297,16.511,0.436542,3.53716,45.4288,0,3.88902,0.960134,0.882957,88.2343,
14,0.370674,30.9598,4.21297,16.511,0.436543,3.53716,45.4288,0,3.88902,0.960135,0.882958,88.2343,
15,0.370674,30.9598,4.21297,16.511,0.436545,3.53717,45.4288,0,3.88902,0.960136,0.88296,88.2343,
16,0.370675,30.9598,4.21297,16.511,0.436545,3.53716,45.4288,0,3.88902,0.960136,0.88296,88.2343,
17,0.370675,30.9598,4.21297,16.511,0.436545,3.53718,45.4288,0,3.88902,0.960136,0.88296,88.2343,
18,0.370675,30.9598,4.21297,16.511,0.436545,3.53712,45.4288,0,3.88902,0.960136,0.882961,88.2343,
19,0.370674,30.9598,4.21297,16.511,0.436545,3.53717,45.4288,0,3.88902,0.960136,0.88296,88.2343,
20,0.370674,30.9598,4.21297,16.511,0.436545,3.53716,45.4288,0,3.88902,0.960136,0.88296,88.2343,
21,0.370675,30.9598,4.21297,16.511,0.436546,3.53718,45.4288,0,3.88902,0.960137,0.882961,88.2343,
22,0.370674,30.9598,4.21297,16.511,0.436544,3.53718,45.4288,0,3.88902,0.960135,0.882959,88.2343,
23,0.370675,30.9598,4.21297,16.511,0.436545,3.53718,45.4288,0,3.88902,0.960136,0.88296,88.2343,
24,0.370675,30.9598,4.21297,16.511,0.436545,3.53718,45.4288,0,3.88902,0.960136,0.88296,88.2343,
25,0.370675,30.9598,4.21297,16.511,0.436545,3.53718,45.4288,0,3.88902,0.960137,0.882961,88.2343,
26,0.370675,30.9598,4.21297,16.511,0.436547,3.53716,45.4288,0,3.88902,0.960138,0.882962,88.2343,
27,0.370675,30.9598,4.21297,16.511,0.436545,3.53717,45.4288,0,3.88902,0.960136,0.88296,88.2343,
28,0.370675,30.9598,4.21297,16.511,0.436545,3.53716,45.4288,0,3.88902,0.960136,0.88296,88.2343,
29,0.370674,30.9598,4.21297,16.511,0.436544,3.53718,45.4288,0,3.88902,0.960135,0.882959,88.2343,
30,0.370675,30.9598,4.21297,16.511,0.436545,3.53717,45.4288,0,3.88902,0.960136,0.88296,88.2343,
31,0.370675,30.9598,4.21297,16.511,0.436545,3.53717,45.4288,0,3.88902,0.960136,0.882961,88.2343,
32,0.370675,30.9598,4.21297,16.511,0.436544,3.53719,45.4288,0,3.88902,0.960136,0.88296,88.2343,
33,0.370674,30.9598,4.21297,16.511,0.436544,3.53716,45.4288,0,3.88902,0.960136,0.88296,88.2343,
34,0.370675,30.9598,4.21297,16.511,0.436545,3.53715,45.4288,0,3.88902,0.960136,0.88296,88.2343,
35,0.370675,30.9598,4.21297,16.511,0.436545,3.53715,45.4288,0,3.88902,0.960136,0.88296,88.2343,
36,0.370674,30.9598,4.21297,16.511,0.436544,3.53718,45.4288,0,3.88902,0.960135,0.882959,88.2343,
37,0.370675,30.9598,4.21297,16.511,0.436546,3.53717,45.4288,0,3.88902,0.960137,0.882961,88.2343,
38,0.370673,30.9598,4.21297,16.511,0.436541,3.53716,45.4288,0,3.88902,0.960133,0.882957,88.2343,
39,0.370674,30.9598,4.21297,16.511,0.436544,3.53717,45.4288,0,3.88902,0.960136,0.88296,88.2343,
40,0.370674,30.9598,4.21297,16.511,0.436545,3.53718,45.4288,0,3.88902,0.960136,0.88296,88.2343,
41,0.370675,30.9598,4.21297,16.511,0.436545,3.53718,45.4288,0,3.88902,0.960136,0.882961,88.2343,
42,0.370675,30.9598,4.21297,16.511,0.436545,3.53715,45.4288,0,3.88902,0.960136,0.88296,88.2343,
43,0.370674,30.9598,4.21297,16.511,0.436542,3.53717,45.4288,0,3.88902,0.960134,0.882958,88.2343,
44,0.370675,30.9598,4.21297,16.511,0.436545,3.53717,45.4288,0,3.88902,0.960136,0.882961,88.2343,
