Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,2in Heave.front.motion_ratio_heave_l,2in Heave.front.coil_over_length_l,2in Heave.front.p_rod_length_l,2in Heave.front.toe_angle_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,
0,0.00562741,34.71,5.57412,0.460849,14.1411,2.96444,11.0368,42.5757,0,1.30269,2.56591,0.0315753,31.3894,
1,0.00670254,34.7099,5.57416,0.463483,14.1417,2.96317,11.0566,42.5563,0,1.30242,2.56462,0.0305972,31.3891,
2,0.00537911,34.7097,5.5741,0.462955,14.1409,2.9633,11.0544,42.5601,0,1.3028,2.56476,0.0318784,31.3896,
3,0.00708282,34.7102,5.57417,0.46415,14.1417,2.96339,11.0597,42.5532,0,1.30237,2.56485,0.0301025,31.3891,
4,0.00554704,34.7097,5.5741,0.464441,14.1409,2.96248,11.0483,42.5671,0,1.30279,2.56394,0.0315844,31.3895,
5,0.00678308,34.71,5.57416,0.46348,14.1419,2.96295,11.0603,42.5545,0,1.30234,2.5644,0.0303752,31.3891,
6,0.00640207,34.7099,5.57415,0.464255,14.1417,2.96319,11.0535,42.5603,0,1.30237,2.56464,0.0308035,31.3891,
7,0.00677137,34.7098,5.57415,0.461808,14.1415,2.96404,11.0656,42.5492,0,1.30247,2.56551,0.0304985,31.3891,
8,0.00698511,34.71,5.57417,0.463,14.142,2.96317,11.0571,42.5582,0,1.3023,2.56462,0.0302337,31.389,
9,0.00645744,34.7101,5.57416,0.466284,14.1419,2.96202,11.06,42.5546,0,1.30233,2.56345,0.0306796,31.3891,
10,0.00630825,34.7099,5.57415,0.463954,14.1416,2.96297,11.0563,42.5589,0,1.3025,2.56442,0.0310915,31.3892,
11,0.00718211,34.7099,5.57416,0.463456,14.1418,2.96276,11.0727,42.5437,0,1.30238,2.56422,0.0300508,31.389,
12,0.00695427,34.71,5.57418,0.464595,14.1421,2.96292,11.0602,42.5547,0,1.30225,2.56436,0.0304098,31.3889,
13,0.00704709,34.7099,5.57418,0.46208,14.142,2.96348,11.0623,42.5546,0,1.30227,2.56495,0.0302119,31.3889,
14,0.00645151,34.7098,5.57413,0.462852,14.1411,2.96348,11.0499,42.5666,0,1.30264,2.56495,0.0306778,31.3893,
15,0.00662258,34.71,5.57419,0.463512,14.1424,2.96283,11.0513,42.5657,0,1.3021,2.56429,0.0306136,31.3888,
16,0.00661882,34.7103,5.57419,0.461439,14.1424,2.96439,11.0591,42.5569,0,1.30209,2.56586,0.0307302,31.3889,
17,0.00733614,34.7097,5.57415,0.462883,14.1413,2.96338,11.0417,42.5762,0,1.30266,2.56484,0.0301227,31.3891,
18,0.00668349,34.7099,5.57416,0.462912,14.142,2.96254,11.0426,42.5767,0,1.30224,2.56401,0.0304656,31.389,
19,0.00633318,34.71,5.57416,0.462127,14.1419,2.9636,11.0633,42.555,0,1.30236,2.56506,0.0307591,31.3891,
20,0.00640319,34.7098,5.57416,0.463148,14.1417,2.96294,11.0646,42.5547,0,1.30242,2.56441,0.0307587,31.3891,
21,0.00740774,34.71,5.57418,0.465537,14.1421,2.96185,11.036,42.5826,0,1.3023,2.56328,0.0299704,31.3889,
22,0.00618822,34.7098,5.57412,0.464152,14.141,2.96272,11.0409,42.578,0,1.30272,2.56418,0.0309517,31.3894,
23,0.00602047,34.7098,5.57412,0.462978,14.1411,2.9636,11.0642,42.5542,0,1.30269,2.56507,0.0310236,31.3894,
24,0.00650375,34.7097,5.57414,0.463878,14.1413,2.96257,11.0678,42.5518,0,1.3026,2.56404,0.0307813,31.3892,
25,0.00705564,34.71,5.57417,0.462558,14.1419,2.96349,11.0826,42.536,0,1.30234,2.56495,0.030262,31.389,
26,0.0069274,34.7102,5.5742,0.462449,14.1425,2.96357,11.0455,42.5727,0,1.30209,2.56502,0.0304323,31.3888,
27,0.00611919,34.71,5.57413,0.463644,14.1413,2.96344,11.0687,42.5495,0,1.30259,2.5649,0.0309416,31.3893,
28,0.00726132,34.7099,5.57412,0.4641,14.1402,2.96261,11.0864,42.5335,0,1.3031,2.56407,0.0299418,31.3894,
29,0.00588195,34.7094,5.5741,0.461844,14.1407,2.96322,11.0551,42.566,0,1.30288,2.5647,0.0315272,31.3895,
30,0.00530073,34.7101,5.57408,0.467286,14.1405,2.96093,11.0596,42.56,0,1.303,2.56235,0.031956,31.3898,
31,0.00892446,34.7099,5.5742,0.465327,14.1418,2.9619,11.0805,42.539,0,1.30235,2.56336,0.0290144,31.3887,
32,0.00684325,34.71,5.57418,0.46378,14.1424,2.96265,11.0404,42.5793,0,1.30207,2.56411,0.0303969,31.3889,
33,0.00654558,34.71,5.57417,0.46331,14.142,2.96361,11.0524,42.566,0,1.30228,2.56506,0.0306735,31.389,
34,0.00601061,34.71,5.57413,0.464848,14.1411,2.96314,11.0569,42.5613,0,1.30263,2.5646,0.031104,31.3894,
35,0.0065957,34.71,5.57417,0.463567,14.1419,2.96351,11.0433,42.5754,0,1.30233,2.56496,0.0306133,31.389,
36,0.00668078,34.7102,5.57417,0.463808,14.1421,2.96334,11.0689,42.5498,0,1.30222,2.56479,0.0304623,31.389,
37,0.00846516,34.71,5.57417,0.46499,14.1413,2.96213,11.0579,42.5623,0,1.30263,2.56358,0.0292012,31.389,
38,0.00632656,34.7097,5.57411,0.465737,14.1407,2.96194,11.0663,42.5549,0,1.30289,2.5634,0.0308746,31.3894,
39,0.00691953,34.71,5.57417,0.462784,14.142,2.96335,11.0595,42.5612,0,1.3023,2.5648,0.0304141,31.389,
40,0.00573208,34.7098,5.57413,0.46414,14.1414,2.96309,11.0749,42.5453,0,1.30257,2.56454,0.03152,31.3893,
41,0.00579138,34.7096,5.57411,0.463651,14.1409,2.96298,11.0599,42.5615,0,1.30273,2.56446,0.0314618,31.3894,
42,0.00625474,34.7098,5.57414,0.466989,14.1416,2.96117,11.0594,42.562,0,1.30252,2.5626,0.0308691,31.3892,
43,0.00608074,34.7098,5.57412,0.46283,14.1409,2.96348,11.0487,42.5726,0,1.30279,2.56494,0.0309695,31.3894,
44,0.00594449,34.7098,5.57412,0.466134,14.1413,2.96149,11.0546,42.5672,0,1.30263,2.56293,0.031236,31.3894,
