Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.ackerman_angle,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,
0,0.0236161,34.6635,5.54659,0.722833,15.0715,3.16464,0.155146,0.0397673,0,45.9621,2.67724,1.90241,0.0267356,31.646,6.75731,
1,0.0310857,34.6339,5.54254,0.687629,15.0373,3.18661,0.109233,0.0656855,0,46.0365,2.69921,1.92893,0.0556429,31.6858,6.69623,
2,0.0104666,34.6536,5.54261,0.809876,14.9334,3.14509,0.117804,0.0844307,0,45.9132,2.65742,2.01718,0.0346822,31.688,6.8078,
3,0.0304925,34.6579,5.54482,0.762326,15.0018,3.16415,0.128839,0.0361139,0,46.0041,2.67695,1.95106,0.0793499,31.6642,6.71852,
4,0.0294299,34.6646,5.54555,0.661736,15.0105,3.21716,0.113194,0.0927691,0,45.9937,2.73058,1.94767,0.0273671,31.6573,6.73068,
5,0.0226303,34.6349,5.54197,0.777382,14.9049,3.16677,0.124068,0.0872317,0,46.0235,2.679,2.04322,0.0309465,31.6906,6.70643,
6,0.0465094,34.666,5.54701,0.702382,15.0765,3.19547,0.142243,0.0592971,0,45.8644,2.70869,1.88208,0.0497365,31.6421,6.85165,
7,0.090409,34.6423,5.54232,0.774832,14.9874,3.14668,0.113579,0.0155616,0,45.9681,2.65889,1.97112,0.0904277,31.6895,6.74326,
8,0.0509545,34.6571,5.54796,0.672227,15.0334,3.21441,0.116134,0.0402826,0,45.9708,2.72801,1.92534,0.0864444,31.6282,6.77431,
9,0.0559574,34.6532,5.54575,0.697051,15.0333,3.18528,0.117765,0.0712781,0,46.0176,2.69791,1.9325,0.0675955,31.6526,6.71826,
10,0.0159155,34.6686,5.54589,0.687423,14.9978,3.20544,0.164938,0.0773321,0,45.9522,2.71893,1.95453,0.0337573,31.6543,6.76978,
11,0.0267721,34.6476,5.54188,0.725906,14.9291,3.17863,0.156656,0.048626,0,45.9431,2.69167,2.01826,0.0599863,31.6954,6.78578,
12,0.0275297,34.6528,5.54238,0.751312,14.9456,3.18717,0.105097,0.0389429,0,45.9966,2.69958,1.9961,0.0576618,31.6911,6.75944,
13,0.0250118,34.6506,5.5431,0.72466,15.008,3.16939,0.174069,0.0691487,0,46.0015,2.68158,1.96049,0.0267807,31.6826,6.7346,
14,0.0371886,34.6928,5.55652,0.71371,15.2633,3.17419,0.129525,0.0815021,0,45.9537,2.68692,1.75469,0.090975,31.5463,6.77322,
