Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.motion_ratio_heave_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,
0,897.705,2908.5,1380.95,0.308648,6.0282,15.1015,23.9909,55.6094,33.2828,7.28482,56.9177,23.9928,2123.71,60.3567,502.227,0,6.33148,17.4468,29.6989,69.7229,87.2826,7.98582,70.1561,28.9061,2377.56,66.5232,532.526,0,0.64672,0.235823,0.173248,0.979495,10.7494,0.138589,2.14922,0.408959,601.118,3.28244,13.0832,0,
1,897.705,2392.37,1063.98,0.375237,5.36941,11.3426,59.6101,53.1046,46.8377,7.1322,51.2581,59.5871,1672.43,59.854,365.841,0,4.02565,8.59852,117.191,40.0794,124.36,4.84895,39.7046,116.574,1052.57,38.5883,289.708,0,0.64672,0.110796,0.36073,0.979495,11.0324,0.0811843,2.14922,0.621686,566.286,4.53018,13.0832,0,
2,897.705,2087.94,841.65,0.429947,5.56656,8.45053,123.173,45.6314,54.7549,7.3469,54.8056,123.127,1315.89,57.6744,291.524,0,3.86342,6.24137,204.386,34.888,127.013,4.06628,39.9199,189.519,728.559,31.4711,241.25,0,0.64672,0.110796,0.36073,0.979495,8.57357,0.0811843,2.14922,0.621686,566.286,4.53018,13.0832,0,
3,897.705,1796.41,582.339,0.499721,5.68642,6.52752,123.425,40.669,48.2538,7.88054,53.4245,123.367,1092.01,56.3742,238.797,0,3.81178,5.12441,154.985,30.4397,86.2181,3.8925,38.415,154.896,581.171,32.0161,186.115,0,0.564268,0.110796,0.36073,0.979495,12.7972,0.0811843,1.09711,0.621686,566.286,4.53018,13.0832,0,
4,897.705,1597.26,384.164,0.562028,5.63152,4.85156,117.971,44.4447,41.7243,7.71872,53.5602,117.911,903.575,54.3757,245.497,0,3.57831,3.93548,146.32,34.7111,48.3722,4.6021,37.2178,146.234,397.754,30.58,187.417,0,0.64672,0.110796,0.36073,1.11912,15.2335,0.0811843,1.09711,0.621686,566.286,4.53018,13.0832,0,
5,897.705,1459.69,317.519,0.614998,5.48863,4.20736,103.2,43.9277,43.8207,7.31053,57.1833,103.155,812.241,59.4741,219.678,0,3.42141,3.27466,110.037,32.4334,43.2057,3.89301,37.7504,110.224,289.565,32.2499,171.498,0,0.761537,0.16588,0.36073,1.11912,16.1907,0.0811843,1.09711,0.621686,569.545,4.53018,13.0832,0,
6,856.685,1442.43,647.5,0.593918,5.5673,3.96402,107.26,43.2629,39.501,7.21687,57.0478,107.228,792.406,62.7013,216.276,0,3.75626,4.61358,107.343,31.8699,21.8738,4.66187,38.1781,107.727,471.874,33.771,223.678,0,0.761537,0.0953472,1.26385,1.83634,11.2136,0.0811843,1.09711,1.52019,569.545,4.53018,13.0832,0,
7,856.685,1302.1,473.08,0.657926,4.96053,3.38413,95.5221,41.8693,38.2544,6.67534,50.7682,95.5159,722.534,64.9341,177.682,0,3.42604,3.14721,122.612,28.7631,15.0869,4.26041,38.3425,122.874,275.928,32.0722,135.315,0,0.72252,0.0953472,0.666673,1.83634,8.25173,0.0811843,1.09711,1.35671,590.354,3.3342,13.0832,0,
8,856.685,1277.5,688.119,0.670593,4.32704,3.63697,79.6671,43.3316,38.2077,6.5747,41.8233,79.6562,737.634,61.7579,180.889,0,3.15885,4.27588,112.855,31.9227,14.6169,4.24108,33.0056,112.629,440.755,30.7056,171.139,0,0.63388,0.0953472,0.666673,2.06117,7.98281,0.0811843,1.09711,1.35671,590.354,3.3342,13.0832,0,
9,811.241,1162.04,262.166,0.698118,4.05422,2.87357,72.9617,40.1228,37.341,6.66018,40.0331,72.9421,672.976,59.5263,152.549,0,3.01709,2.3201,76.9266,29.1433,13.9195,4.16452,30.3591,76.4655,100.738,30.0633,123.846,0,0.63388,0.0953472,0.666673,2.06117,17.2904,0.0811843,1.09711,1.35671,590.354,3.3342,15.3612,0,
