Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,
0,939.52,3072.4,1440.94,0.305793,117.435,47.2072,63.6365,29.7693,113.417,13.6904,47.1979,2105.63,473.927,0,4.75299,55.7346,136.411,60.1667,76.8211,53.3771,124.349,15.8885,60.0697,2266.49,583.577,1.22337e-154,5.4144,62.206,6.93338,1.73466,6.02803,10.7348,12.2208,0.26873,1.93262,598.907,14.6453,0,0.101953,1.78175,
1,939.52,2779.52,1259.52,0.338015,127.16,162.04,66.2984,33.3666,103.403,10.4518,162.038,1700.05,355.92,0,4.41877,54.3805,74.514,334.093,45.3737,48.8512,66.2868,6.87241,334.08,949.772,281.243,0,3.48944,45.5433,6.93338,1.73466,0.927983,10.3988,12.2208,0.26873,1.93262,598.907,14.6453,0,0.101953,1.78175,
2,939.52,2396.68,1044.96,0.392008,131.862,179.384,65.4401,35.8855,104.084,7.96185,179.358,1363.17,277.213,0,4.44513,47.883,73.743,308.298,45.5666,48.1677,66.2301,5.82748,308.298,835.467,206.877,0,3.29758,41.7031,6.93338,1.73466,0.47839,8.40861,11.9101,0.115075,1.93262,545.676,14.6453,0,0.101953,1.78175,
3,939.52,2069.81,638.08,0.453916,129.071,189.589,59.1874,41.1074,103.499,6.31067,189.517,1059.17,241.45,0,3.94607,46.9666,71.5632,233.742,43.148,48.0821,70.9686,4.45126,233.593,578.22,174.754,0,2.804,35.9481,6.93338,2.52769,0.927983,13.1149,11.9101,0.115075,3.04038,592.107,14.6453,0,0.101953,2.60794,
4,939.52,1921.96,517.767,0.488833,127.347,206.7,66.4253,44.9889,96.237,5.72749,206.595,901.345,215.028,0,3.65101,47.9197,71.8086,229.381,44.5373,51.4064,67.0037,3.72257,229.152,378.079,159.75,0,2.6565,38.4066,9.06036,2.52769,6.02803,14.2684,11.9101,0.115075,3.04038,592.107,14.6453,0,0.101953,2.60794,
5,939.52,1817.05,428.74,0.517058,127.467,190.696,69.7222,39.9352,93.1463,5.08514,190.604,858.948,193.039,0,3.70055,44.7076,70.9301,198.243,44.0354,34.2865,59.2893,3.50439,198.059,286.318,144.866,0,2.76152,35.5026,8.3735,2.52769,8.67184,16.1641,11.9101,0.0898443,3.04038,584.401,14.6453,0,0.101953,1.03356,
6,939.52,1859.46,1065.59,0.505264,125.11,215.93,65.8683,42.83,91.6129,5.62328,216.245,836.76,209.333,0,3.89901,46.2534,68.2832,433.163,40.8871,34.8635,56.3039,3.56967,435.382,285.718,203.3,0,2.84547,34.4903,8.3735,2.52769,8.67184,6.11294,11.9101,0.0835888,3.04038,515.745,14.6453,0,0.101953,1.03356,
7,939.52,1714.25,882.223,0.548066,129.127,140.388,64.6278,41.3859,86.5415,5.38668,140.382,843.702,214.806,0,3.74937,44.1503,74.2026,239.288,41.8829,33.6261,55.2566,4.41777,239.42,434.549,215.336,0,2.76489,34.5241,8.3735,0.780013,8.67184,8.42306,11.9101,0.0898443,1.81903,589.252,14.6453,0,0.101953,1.03356,
8,939.52,1613.66,760.792,0.58223,129.497,130.248,63.8842,40.7412,83.8172,4.78062,130.277,776.554,208.064,0,3.81378,41.9806,72.9706,217.756,40.4876,30.12,58.4608,3.91077,217.82,275.856,207.198,0,2.6377,34.6968,8.3735,0.780013,8.67184,8.58721,11.9101,0.0898443,1.81903,592.107,14.6453,0,0.108132,1.03356,
9,939.52,1485.58,265.53,0.632428,125.462,107.136,64.0978,42.8428,77.8002,4.0756,107.163,740.559,172.499,0,3.73898,40.2022,66.0709,105.139,42.4989,54.7155,55.4855,3.49179,104.984,138.698,139.678,0,2.73683,33.605,9.06036,0.780013,2.62187,20.5207,11.9101,0.0921872,1.81903,592.107,14.6453,0,0.108132,2.10844,
