Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
0,442.803,2060.32,917.527,0.21492,125.859,60.9964,79.1023,23.7198,126.166,13.7611,61.0043,502.645,0,5.17297,72.8095,989.082,134.308,70.8401,89.8606,31.5014,146.974,16.1321,70.5439,602.438,8.07388e-155,5.70144,84.7895,1140.41,9.06036,0.70657,7.57969,10.585,16.3611,0.9216,1.24701,14.1947,0,0.0651604,1.31272,31.8473,
1,442.803,1886.16,1017.76,0.234765,126.554,184.334,77.4503,26.8179,117.386,9.65144,184.62,368.861,0,5.11077,58.8797,726.492,75.1515,433.745,41.911,25.4026,76.9104,7.17148,435.923,271.685,0,3.7197,39.8269,581.69,9.06036,0.70657,19.357,11.0513,11.8888,0.116069,1.24701,14.1947,0,0.0651604,1.31272,31.8473,
2,442.803,1794.06,950.621,0.246816,137.946,210.455,75.3833,30.6126,122.2,8.37819,210.462,330.458,0,5.31253,59.7885,603.061,84.8968,366.92,37.8839,27.6545,75.4444,5.0818,366.993,243.683,0,3.96462,39.1475,420.879,9.06036,0.70657,10.3778,8.04244,16.9856,0.893088,1.24701,14.1947,0,0.0651604,1.31272,30.9835,
3,442.803,1620.28,869.606,0.273288,131.093,202.367,72.373,32.6066,114.714,7.57873,202.378,289.674,0,4.76891,58.6313,504.097,82.4216,370.665,39.6922,26.3773,71.7961,4.85704,370.845,200.948,0,3.50765,38.4966,422.49,9.06036,0.70657,10.3778,1.52641,13.6397,0.176097,1.24701,14.1947,0,0.0651604,3.09235,30.9835,
4,442.803,1406.04,570.78,0.314929,126.642,170.512,66.5667,34.5238,107.581,5.81738,170.563,266.355,0,4.98238,56.0393,396.457,81.8656,244.464,36.9958,28.5276,69.9036,4.12785,245.07,195.048,0,3.60982,39.7371,307.769,9.06036,0.70657,10.0214,11.9562,13.6397,0.176097,1.24701,14.1947,0,0.0651604,1.90955,30.9835,
5,442.803,1348.64,460.16,0.328334,127.267,186.203,66.1578,37.9115,101.602,5.90342,186.152,237.052,0,4.47404,50.2452,345.668,81.3461,218.606,36.0954,30.1042,65.131,3.57748,218.505,164.55,0,3.46803,34.1663,267.356,9.06036,0.70657,10.3778,13.2834,13.6397,0.476864,1.24701,14.1947,0,0.0651604,1.90955,30.9835,
6,442.803,1263.04,614.994,0.350587,119.032,145.91,65.8317,77.2381,106.29,6.29043,145.897,247.683,0,4.19621,51.8164,292.85,79.1034,154.624,37.2901,333.559,69.1649,3.68411,154.468,155.156,0,3.29964,36.8945,224.864,7.63902,0.70657,10.3778,13.2834,13.6397,0.318653,1.24701,14.1947,0,0.0651604,1.90955,30.9835,
7,442.803,1263.11,657.895,0.350565,123.446,189.594,66.0036,40.4901,101.764,5.60685,189.715,233.356,0,4.08696,48.8539,260.197,71.5394,310.319,36.4451,46.5483,65.6913,3.35177,312.428,148.626,0,3.19039,33.3707,207.115,7.63902,1.06924,10.3778,10.5823,13.6397,0.476864,1.24701,14.1947,0,0.0651604,1.90955,30.9835,
8,442.803,1206.3,612.525,0.367075,120.616,167.174,64.3923,40.9645,92.2106,5.92051,167.151,245.749,0,4.01608,43.7333,254.374,70.0844,254.726,36.2649,28.2066,64.6185,3.49341,255.377,161.921,0,3.30179,30.4997,232.687,7.63902,1.06924,18.574,8.59335,13.6397,0.476864,1.24701,14.1947,0,0.0651604,1.90955,30.4126,
9,442.803,1189.62,643.519,0.372223,118.75,183.381,60.3275,43.1706,87.4211,6.01561,183.328,228.439,0,3.26984,43.3227,232.192,68.395,279.586,37.0689,30.1845,61.2366,3.48327,280.147,192.884,0,3.14694,31.1514,215.246,7.63902,1.06924,8.45451,8.36909,13.0541,0.487149,1.24701,14.1947,0,0.0651604,1.90955,30.9835,
10,442.803,1135.38,945.683,0.390006,121.803,171.559,57.9717,38.5796,89.3429,5.7146,171.843,235.023,0,3.44969,43.4623,196.627,68.7897,379.185,33.8792,16.1804,58.8059,3.13632,381.682,180.858,0,3.31476,31.0975,205.837,7.63902,1.06924,15.4698,7.91284,13.0541,0.487149,1.24701,14.1947,0,0.0651604,1.90955,30.9318,
11,442.803,928.14,199.742,0.477087,123.789,107.354,53.8185,39.2278,91.2326,5.43837,107.343,205.5,0,3.1543,42.1848,149.097,66.3313,110.629,32.1163,14.2334,56.8005,2.79322,111.016,142.172,0,2.93828,29.5217,121.143,7.63902,1.06924,18.574,16.7999,13.0541,0.487149,1.24701,14.1947,0,0.0651604,1.90955,30.9318,
12,442.803,1014.97,684.24,0.436272,128.93,146.441,55.8845,37.4371,91.1498,5.37388,146.486,205.398,0,2.92326,43.8344,151.113,68.207,245.271,32.5519,12.321,61.8657,2.88038,244.506,161.689,0,2.4128,34.9504,172.947,7.63902,1.06924,18.574,8.38762,13.0541,0.423848,1.24701,14.1947,0,0.0651604,1.90955,30.9835,
13,442.803,928.854,441.618,0.47672,128.701,105.722,56.1023,37.9273,82.3919,5.02312,105.788,219.9,0,2.98781,39.5525,144.758,68.6799,142.516,31.6849,15.8096,63.9674,2.67624,143.136,195.54,0,2.45826,38.9383,101.962,7.63902,1.06924,18.574,17.4073,12.7258,0.487149,1.24701,14.1947,0,0.00747389,1.90955,30.9835,
14,442.803,862.345,294.534,0.513487,127.828,86.892,55.4238,35.933,83.1719,5.02514,86.9236,180.318,0,3.52109,39.393,157.916,71.024,76.1419,33.5849,10.8925,62.8525,3.65909,76.0315,147.432,0,3.00516,33.3975,218.193,2.93575,0.452682,18.574,11.2066,12.9993,0.324948,0.361136,14.1947,0,0.00747389,0.721543,30.9835,
