Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
0,476.164,1986.44,872.575,0.239708,111.356,54.5071,129.869,33.9229,134.814,12.731,0,455.025,5.79159,64.5294,54.4985,929.393,127.419,65.9619,156.249,105.45,108.793,15.1009,2.03475e-79,546.956,6.66982,72.7857,63.8534,1000.53,9.06036,0.830849,2.25185,10.918,12.9843,0.0616867,0,22.5121,0.024921,1.39277,1.87716,34.6084,
1,476.164,1666.81,627.497,0.285675,106.959,108.701,131.046,27.8407,130.595,8.46787,0,327.551,5.50002,62.8189,108.68,648.648,63.2048,189.396,85.5943,23.0882,84.0079,7.4656,0,236.974,3.64793,45.421,185.396,552.566,8.90046,0.830849,6.37646,11.46,12.9843,0.0616867,0,22.5121,0.024921,1.39277,1.87716,34.6084,
2,476.164,1535.34,762.933,0.310137,101.614,163.464,133.738,32.9628,126.363,6.80379,0,270.316,5.54557,63.6802,163.453,467.397,65.7405,279.148,89.022,23.2482,84.7077,4.4358,0,170.547,3.44154,46.9964,278.973,394.259,8.90046,0.830849,6.37646,10.8487,11.5692,0.0616867,0,22.5121,0.024921,1.39277,1.87716,34.6084,
3,476.164,1434.87,507.42,0.331851,116.498,166.363,128.608,35.561,110.979,6.12077,0,254.198,5.09839,56.9468,166.339,388.163,72.8156,232.532,83.5045,23.9607,73.6288,3.75344,0,160.399,3.51998,43.853,231.745,298.229,8.90046,0.830849,6.37646,13.4477,11.5692,0.0616867,0,22.5121,0.024921,1.39277,1.87716,34.6084,
4,476.164,1339.92,502.008,0.355367,110.064,154.939,119.652,34.1154,108.506,5.62539,0,226.547,5.22319,51.7405,154.896,368.613,65.3825,202.976,81.9861,22.8447,71.3317,3.50609,0,147.664,3.76818,41.3467,203.893,276.348,8.90046,0.830849,6.37646,13.4477,11.5692,0.0616867,0,22.5121,0.024921,1.39277,1.87716,34.6084,
5,476.164,1335.09,644.502,0.356653,110.205,164.708,112.311,34.0775,107.535,5.18898,0,235.928,5.04584,51.823,164.697,343.572,63.9425,250.33,75.961,22.4123,76.002,3.65896,0,160.23,3.61845,43.7328,248.687,266.575,8.90046,0.830849,6.37646,8.15695,11.5692,0.0619661,0,22.5121,0.024921,0.680701,1.87716,34.6084,
6,476.164,1273.39,539.517,0.373934,105.185,162.875,111.256,33.9457,101.387,5.20429,0,213.736,4.87755,47.8523,162.868,324.203,59.5086,245.48,73.2997,22.0127,71.7035,3.14399,0,144.79,3.63562,39.4005,245.495,243.588,8.90046,0.830849,6.37646,14.2529,11.5692,0.0619661,0,22.5121,0.024921,0.680701,1.87716,34.6084,
7,476.164,1240.33,912.148,0.3839,100.561,166.545,104.949,35.1726,95.5905,5.0248,0,217.23,5.21244,46.0004,166.904,297.143,61.6144,390.496,75.2677,22.3839,72.4617,3.5698,0,144.223,4.2514,39.874,392.516,247.487,7.14315,0.830849,6.37646,6.18965,11.5692,0.0619661,0,22.5121,0.024921,1.54206,1.84855,34.6084,
8,476.164,1114.57,732.733,0.427218,95.1347,133.214,105.516,34.8395,82.8922,4.55544,0,214.006,4.56654,40.787,133.505,265.555,63.7739,326.573,74.1201,21.3376,64.5238,3.41027,0,179.016,3.49521,34.3538,332.332,203.579,8.90046,0.830849,6.37646,10.0554,11.5692,0.076637,0,26.4886,0.024921,1.54206,1.63815,34.6084,
9,476.164,1123.9,786.021,0.423672,95.5238,162.221,100.589,46.6381,77.3944,4.88359,0,195.012,4.61932,39.6114,162.3,235.107,66.505,301.875,72.9071,111.927,62.177,3.61327,0,130.379,4.21819,34.2293,302.15,223.435,8.90046,0.830849,6.37646,6.85758,11.5692,0.122174,0,26.4886,0.024921,1.54206,1.63815,34.6084,
