Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
0,477.438,2257.53,925.984,0.211487,99.657,58.5017,128.247,27.05,6.56944,124.381,14.5484,632.793,0,69.1921,6.27417,58.5239,1031.8,99.562,72.0069,159.985,41.6663,7.90355,154.743,16.8871,748.3,3.07188e-05,53.6303,6.9784,62.7375,1090.6,3.28479,1.91561,4.28245,10.8879,0.905892,12.7384,0.59469,39.4879,0,3.09235,0.165143,2.63371,83.2417,
1,477.438,2019.72,856.025,0.236389,99.9494,139.15,113.626,32.3053,5.83849,112.363,11.0146,532.372,0,60.144,5.45364,139.107,768.393,90.8506,243.206,93.1237,34.5352,3.64809,84.0901,7.73799,367.197,0,47.1302,3.83137,222.868,580.658,3.28479,1.91561,4.12259,10.8879,0.905892,12.7384,0.59469,27.7546,0,2.37276,0.165143,2.63371,31.7831,
2,477.438,1763.57,610.359,0.270722,94.1957,161.651,107.248,36.0489,5.50767,111.3,8.53615,440.561,0,58.8084,5.09833,161.632,572.985,62.3071,235.873,85.0407,33.8105,3.50697,87.7328,6.25779,326.698,0,47.633,3.67226,230.753,475.831,3.28479,1.91561,4.12259,11.8002,0.905892,11.7497,0.59469,27.7546,0,2.37276,0.165143,2.63371,31.7831,
3,477.438,1647.23,709.688,0.289843,96.8107,177.101,109.742,41.3229,5.69142,109.983,7.30843,384.199,0,56.7781,5.32329,177.299,475.669,62.6454,258.946,83.1161,44.8404,3.73294,90.1136,5.00092,269.333,0,51.6722,4.00183,257.794,359.47,2.45947,0.432603,3.31143,11.8002,0.977977,11.7497,0.193238,27.7546,0,2.66973,0.165143,0.660377,30.6923,
4,477.438,1517.8,517.488,0.314559,101.447,188.067,106.374,40.4446,5.93128,97.9212,6.28872,337.866,0,47.769,5.5745,188.014,392.105,62.3454,225.46,83.9928,40.1715,4.53431,78.6986,4.20949,293.527,0,40.1589,4.85001,222.831,288.219,2.45947,0.432603,4.28245,12.6159,0.714461,11.7497,0.193238,23.1048,0,3.08567,0.0144854,0.660377,30.6923,
5,477.438,1305.54,374.875,0.365701,97.3337,145.071,106.16,39.1121,5.90522,91.2642,5.5353,278.747,0,44.6427,5.57024,145.026,341.173,61.037,156.499,83.4206,38.5742,4.78191,73.7878,3.96146,216.855,0,38.1092,5.07333,159.882,262.954,8.23279,0.432603,4.28245,12.6159,0.714461,11.7497,0.193238,23.1048,0,3.09235,0.0144854,0.660377,30.6923,
6,477.438,1281.75,501.232,0.372489,91.3563,162.021,101.154,35.4745,5.88152,83.2664,4.9233,270.362,0,38.5404,5.56778,161.95,321.255,57.8459,175.923,83.5576,33.9571,5.36111,65.8306,4.45478,213.96,0,27.8977,5.65806,174.399,283.203,8.23279,0.432603,4.28245,11.2382,0.714461,11.7497,0.131599,23.1048,0,3.09235,0.132988,0.660377,30.6923,
7,477.438,1170.89,363.46,0.407755,82.2323,157.049,88.2961,35.485,5.34852,77.9353,4.85611,260.202,0,36.4001,4.92289,156.999,261.168,54.1712,156.204,72.8398,21.0378,4.54718,55.5557,3.37256,216.914,0,26.0268,4.79974,156.482,210.84,8.23279,0.432603,4.28245,15.0529,0.714461,12.7384,0.165081,20.1506,0,2.42122,0.132988,0.660377,30.6923,
8,477.438,1132.67,590.665,0.421516,84.2593,169.492,82.9497,32.5894,5.81186,79.3024,4.047,230.076,0,37.2346,5.42979,169.456,232.02,52.3445,237.632,71.9361,16.1604,4.53799,51.7373,3.28163,179.382,0,26.3421,4.76839,237.998,193.702,8.23279,1.67533,4.28245,8.69939,0.714461,12.2194,0.143077,20.1506,0,1.59621,0.132988,3.04038,31.664,
9,406.891,988.598,241.601,0.411584,75.9658,140.68,75.7957,32.6051,5.11075,79.8611,3.79703,201.094,0,35.8789,4.64765,140.634,192.528,49.9972,122.302,61.3525,13.5612,3.54417,49.5615,2.66101,150.921,0,25.3604,3.72105,124.979,132.832,8.23279,1.67533,4.28245,18.1712,0.714461,10.7727,0.165081,20.1506,0,1.59621,0.132988,3.04038,31.4886,
