Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.rocker_coil_over_angle_l.avg,2in Heave.front.rocker_p_rod_angle_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.rocker_coil_over_angle_l.std_dev,2in Heave.front.rocker_p_rod_angle_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.best,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.rocker_coil_over_angle_l.best,2in Heave.front.rocker_p_rod_angle_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,
0,477.439,3345.31,2654.38,0.142719,118.68,57.5432,139.544,33.2442,6.0388,131.563,13.6176,499.949,536.398,0,679.482,5.78364,68.9147,57.5496,997.006,198.884,71.736,166.39,88.233,7.48191,162.092,16.1394,954.088,1749.7,2.02975e-05,652.869,6.98597,70.2332,65.3981,938.979,2.97714,0.890408,1.12755,10.6837,1.09937,12.7125,0.242081,0.000377273,0.000434748,0,28.9641,0.0732994,2.1083,2.12166,31.8725,
1,477.439,2937.65,1396.63,0.162524,120.646,170.198,137.833,32.6763,5.45739,140.375,10.3866,353.203,419.27,0,518.033,5.17878,63.3069,170.161,790.929,90.1821,322.385,86.2006,70.6436,3.66963,101.076,7.84394,348.698,620.98,0,367.649,3.90781,46.5582,289.516,588.709,2.97714,0.890408,1.12755,10.2667,0.90432,12.6819,0.242081,0.000377273,0.000434748,0,28.9641,0.0732994,2.1083,2.12166,31.8725,
2,477.439,2974.82,1519.74,0.160493,129.33,160.993,139.749,30.2434,5.05267,129.368,8.77848,356.564,547.632,0,532.469,4.68799,62.0539,160.951,706.948,163.206,289.981,82.8303,63.3512,3.59968,101.374,6.88614,321.683,837.518,0,356.07,3.77323,48.3154,291.492,469.431,2.97714,0.890408,1.12755,7.58292,1.09937,12.6819,0.092218,0.000377273,0.000434748,0,28.9641,0.0732994,1.68005,2.12166,31.8725,
3,477.439,2805.33,1455.21,0.17019,113.98,172.527,137.597,30.6458,5.38399,117.569,7.90448,328.814,496.556,0,504.179,5.00728,58.2888,172.474,654.401,70.9336,270.599,81.0001,63.182,3.5617,90.6867,6.00485,360.961,845.563,0,324.527,3.73698,45.6675,267.144,434.189,2.97714,0.890408,1.12755,10.8656,1.09937,12.6819,0.242081,0.000377273,0.000434748,0,28.9641,0.0732994,1.68005,2.12166,31.8725,
4,477.439,2792.11,1346.12,0.170996,141.884,162.937,135.963,32.998,5.00023,126.406,7.43341,363.344,513.348,0,478.441,4.63649,59.9815,162.906,596.827,264.022,236.175,81.2052,64.1131,3.23124,93.9414,5.29043,386.78,610.492,0,303.974,3.52881,45.9479,238.207,405.925,2.97714,0.890408,1.12755,11.3762,1.03813,12.6819,0.242081,0.000377273,0.000434748,0,28.9641,0.0732994,1.68005,2.12166,31.2994,
5,477.439,2959.35,1919.03,0.161332,122.451,237.465,127.162,33.5766,4.99705,120.828,7.31449,369.678,579.546,0,474.062,4.65172,57.9617,237.521,582.138,128.022,380.3,82.1993,64.8809,3.36158,89.3347,5.3936,472.127,1092.45,0,332.754,3.55746,46.0004,356.12,401.968,2.97714,0.890408,1.12755,10.637,0.993702,12.6819,0.0177236,0.000377273,0.000434748,0,28.9641,0.0732994,1.68005,2.12166,31.8725,
6,477.439,2795.45,1455.36,0.170791,117.59,179.128,135.117,36.3204,4.9083,123.288,6.95321,373.333,561.843,0,475.108,4.56876,58.6482,179.118,539.53,70.3676,266.669,79.4048,65.8977,3.21922,90.1402,5.15451,367.987,794.913,0,298.029,3.41455,48.1211,275.662,387.069,2.97714,0.890408,1.12755,11.3762,1.09937,12.5259,0.17707,0.000377273,0.000434748,0,28.9641,0.0732994,1.68005,2.12166,31.8725,
7,477.439,2750.61,1543.36,0.173576,155.952,184.927,127.797,36.8923,4.86556,118.534,6.69999,347.542,597.26,0,410.546,4.56665,55.8934,184.909,514.225,320.362,267.365,78.4044,65.8746,3.12714,88.254,5.22085,339.204,898.328,0,281.223,3.28337,45.2841,265.643,380.927,2.97714,0.890408,1.12755,11.3762,0.891066,12.6819,0.164105,0.000377273,0.000434748,0,28.9641,0.0732994,1.68005,2.12166,31.8725,
8,477.439,2763.18,1676.54,0.172786,139.935,190.802,131.335,37.3749,4.82386,111.553,6.52445,353.96,643.948,0,417.022,4.47459,58.4871,190.928,472.012,140.804,307.781,83.7795,64.78,3.24,85.5215,4.90421,387.191,1104.82,0,269.407,3.47286,46.6102,307.545,377.686,2.97714,0.890408,1.12755,0.927218,0.891066,12.406,0.133939,0.000377273,0.000434748,0,20.2886,0.0732994,2.1083,2.12166,31.8725,
9,477.439,2802.6,2509.23,0.170356,253.592,194.312,125.825,38.6453,5.02707,118.969,5.7929,351.356,611.421,0,406.825,4.64869,60.2236,194.313,431.652,1300.51,277.758,79.7676,65.2663,3.17567,87.0641,4.57849,364.244,922.948,0,263.949,3.3514,48.4792,277.248,331.087,2.97714,0.890408,20.9866,11.3762,0.891066,12.6819,0.0613735,0.000377273,0.000434748,0,20.2886,0.0732994,2.1083,2.12166,31.8725,
