Individual,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,2in Heave.rear.toe_angle_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.p_rod_length_l,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,
0,9.8424,0.106202,17.2168,0.0141149,881.266,0,15.0356,0.116333,20.1796,
1,9.84362,0.0932717,17.2204,0.0131936,881.27,0,15.038,0.117589,20.1802,
2,9.84336,0.106192,17.2136,0.0128458,881.27,0,15.0429,0.116362,20.173,
3,9.84344,0.0979188,17.2165,0.0166592,881.269,0,15.0338,0.11691,20.1838,
4,9.84328,0.124899,17.1939,0.0128357,881.268,0,15.031,0.117251,20.1876,
5,9.84352,0.0986719,17.2163,0.013629,881.269,0,15.0489,0.116826,20.1718,
6,9.84396,0.093739,17.2195,0.0142448,881.272,0,15.0529,0.117566,20.1662,
7,9.84331,0.0942489,17.2225,0.0132161,881.269,0,15.0447,0.117373,20.1761,
8,9.84347,0.0924578,17.2219,0.0142994,881.27,0,15.0389,0.117731,20.1815,
9,9.84338,0.100603,17.2147,0.0130576,881.269,0,15.0472,0.116658,20.1757,
10,9.84373,0.0944294,17.2199,0.0124952,881.271,0,15.0413,0.117354,20.1804,
11,9.84387,0.104019,17.2078,0.0148743,881.271,0,15.0402,0.11647,20.1828,
12,9.84301,0.0958388,17.2272,0.0156625,881.268,0,15.0393,0.117385,20.1748,
13,9.8432,0.106341,17.2139,0.0132579,881.269,0,15.0436,0.116335,20.1761,
14,9.84419,0.112875,17.1999,0.0144161,881.273,0,15.0446,0.116398,20.1768,
15,9.84321,0.101511,17.2203,0.0136676,881.268,0,15.0455,0.116963,20.1729,
16,9.84378,0.111516,17.205,0.0127576,881.271,0,15.0003,0.116482,20.2216,
17,9.84321,0.0920746,17.2258,0.014458,881.268,0,15.0408,0.117799,20.1797,
18,9.8436,0.0960179,17.2198,0.0163145,881.27,0,15.0024,0.117174,20.2169,
19,9.84352,0.0897184,17.2256,0.0140337,881.27,0,15.0454,0.118037,20.1766,
20,9.84325,0.120424,17.2016,0.0130763,881.269,0,15.0447,0.116954,20.1747,
21,9.84353,0.0963117,17.2206,0.0138151,881.27,0,15.0427,0.117219,20.1803,
22,9.84358,0.104711,17.2142,0.0147923,881.27,0,15.0046,0.116394,20.2167,
23,9.8432,0.1053,17.2161,0.0148544,881.269,0,15.0306,0.116352,20.1895,
24,9.84346,0.100633,17.2147,0.0159781,881.269,0,15.0445,0.116769,20.1795,
25,9.84291,0.103959,17.2177,0.0127759,881.267,0,15.0426,0.116405,20.1823,
26,9.84293,0.10396,17.2165,0.0165011,881.267,0,15.051,0.116466,20.1711,
27,9.84337,0.101475,17.2213,0.0145484,881.27,0,15.0378,0.116711,20.181,
28,9.84349,0.0894911,17.2275,0.0140033,881.27,0,15.0428,0.118173,20.1804,
29,9.84245,0.0989786,17.2249,0.0129688,881.266,0,15.0513,0.116845,20.1724,
30,9.84317,0.0994133,17.2233,0.0159745,881.268,0,15.0075,0.116807,20.2125,
31,9.84352,0.106577,17.2111,0.012754,881.27,0,15.0436,0.11631,20.1823,
32,9.84299,0.10436,17.2191,0.0158727,881.267,0,15.0072,0.116503,20.2133,
33,9.84293,0.0957958,17.2232,0.0129462,881.268,0,15.0286,0.117334,20.1978,
34,9.84282,0.116978,17.2051,0.0153197,881.266,0,15.0482,0.116454,20.1756,
35,9.84342,0.0950456,17.2209,0.0154077,881.27,0,15.029,0.117337,20.1962,
36,9.84299,0.119714,17.2026,0.0142011,881.268,0,15.0163,0.11697,20.2067,
37,9.84322,0.0952937,17.226,0.0152989,881.269,0,15.0157,0.117303,20.2052,
38,9.84352,0.0943712,17.2221,0.0134614,881.271,0,15.0188,0.117594,20.2071,
39,9.84384,0.0869312,17.2251,0.0128934,881.271,0,15.0389,0.118882,20.1898,
40,9.84286,0.103995,17.2191,0.0135943,881.267,0,15.0304,0.116408,20.1947,
41,9.84248,0.105962,17.2172,0.0136665,881.265,0,15.0341,0.116533,20.1929,
42,9.8431,0.106775,17.2162,0.0135558,881.269,0,15.0102,0.116374,20.2135,
43,9.8435,0.0967631,17.2237,0.0146287,881.27,0,15.0425,0.117035,20.1802,
44,9.84293,0.114563,17.2075,0.0146929,881.267,0,15.0367,0.116687,20.1886,
45,9.84256,0.117203,17.2081,0.0147512,881.266,0,15.0222,0.116604,20.2014,
46,9.84355,0.103662,17.2148,0.0129895,881.27,0,15.0383,0.116439,20.1891,
47,9.84375,0.0925337,17.2251,0.0157177,881.272,0,15.04,0.117689,20.183,
48,9.84279,0.115718,17.208,0.0160661,881.267,0,15.0532,0.116606,20.1709,
49,9.84365,0.103241,17.2148,0.0143228,881.271,0,15.0421,0.11647,20.1847,
50,9.84321,0.110729,17.209,0.0146074,881.269,0,15.0345,0.116259,20.1931,
51,9.8435,0.0928406,17.2216,0.0176308,881.27,0,15.0588,0.117712,20.1678,
52,9.8434,0.0949338,17.2217,0.0140393,881.269,0,15.0425,0.117431,20.1868,
53,9.84339,0.0955611,17.2252,0.0142921,881.27,0,15.0178,0.117345,20.2071,
54,9.84297,0.103226,17.2192,0.0174616,881.267,0,15.0419,0.116474,20.1825,
55,9.8433,0.11176,17.2093,0.0128018,881.269,0,15.042,0.116475,20.1859,
56,9.84293,0.100373,17.2201,0.0129327,881.267,0,15.0466,0.116692,20.1841,
57,9.84309,0.104231,17.2181,0.0149982,881.268,0,15.0443,0.116494,20.1811,
58,9.84423,0.090809,17.2205,0.0132168,881.273,0,15.0526,0.117931,20.1784,
59,9.84499,0.0954409,17.2127,0.0145768,881.276,0,15.0345,0.11718,20.1954,
60,9.84348,0.0929896,17.2253,0.0144744,881.27,0,15.0337,0.117863,20.1939,
61,9.84246,0.127542,17.1956,0.0130768,881.265,0,15.0431,0.117633,20.1867,
62,9.84345,0.0946354,17.222,0.0123454,881.27,0,15.0495,0.117267,20.1823,
63,9.84368,0.111448,17.2042,0.0130628,881.27,0,15.038,0.116318,20.1947,
64,9.84293,0.104841,17.2163,0.012958,881.267,0,15.0321,0.11725,20.1984,
65,9.84345,0.0902764,17.2294,0.012562,881.27,0,15.0324,0.118034,20.1953,
66,9.84439,0.090961,17.219,0.0128116,881.274,0,15.0486,0.117893,20.1839,
67,9.84317,0.104572,17.2157,0.0143756,881.269,0,15.016,0.116392,20.2126,
68,9.84356,0.116654,17.202,0.0130507,881.27,0,15.0285,0.116489,20.2017,
69,9.84362,0.110399,17.2056,0.0131251,881.27,0,15.0549,0.11643,20.1776,
70,9.84345,0.101619,17.2188,0.0150877,881.27,0,15.0404,0.116725,20.186,
71,9.84294,0.110513,17.213,0.0128674,881.268,0,15.0223,0.116192,20.2059,
72,9.84309,0.111564,17.2076,0.0176427,881.267,0,15.0467,0.11628,20.1819,
73,9.84397,0.105207,17.2131,0.017489,881.272,0,15.013,0.116287,20.2111,
74,9.84293,0.0944396,17.2269,0.0154344,881.268,0,15.0499,0.117419,20.1767,
75,9.84264,0.0967022,17.2254,0.0173253,881.267,0,15.0489,0.1173,20.177,
76,9.84284,0.112183,17.2109,0.0132837,881.267,0,15.0093,0.116272,20.2199,
77,9.84358,0.087789,17.231,0.0135784,881.271,0,15.0189,0.118912,20.2077,
78,9.8436,0.0948703,17.2239,0.0152234,881.27,0,15.0403,0.117489,20.1863,
79,9.84366,0.0939493,17.2241,0.0160237,881.271,0,15.0419,0.117408,20.1844,
80,79.7425,787.06,11.8814,0.959556,3150.62,0,2280.34,786.833,39.927,
81,29.1716,1101.95,241.502,1.3934,1222.9,0,7832.46,1101.39,813.507,
82,32.2705,1409.42,623.927,5.89555,1442.92,0,1608.66,1410.36,164.396,
83,9.84324,0.0858754,17.2308,0.0158951,881.269,0,15.0126,0.119244,20.2155,
84,28.6045,1096.27,237.212,1.98406,1205.94,0,2059.1,1095.75,707.246,
85,79.5612,1350.9,662.394,4.96765,3231.71,0,2768.03,1359.13,611.702,
86,9.84315,0.120263,17.199,0.01372,881.268,0,15.0279,0.116741,20.1898,
87,123.836,0.628056,5.00044,2.33756,5080.97,0,7939.95,0.83738,114.065,
88,5.76343,746.249,703.323,5.41503,1343.05,0,2062.5,748.22,431.337,
89,9.84348,0.100258,17.2182,0.0145554,881.27,0,15.0253,0.116703,20.2048,
90,79.8835,804.005,10.2052,8.37531,3155.75,0,5660.46,803.706,363.601,
91,9.84345,0.107686,17.2106,0.0139601,881.269,0,15.0623,0.116382,20.1635,
92,126.134,1373.7,1540.42,11.6854,5409.74,0,7991.13,1393.96,381.907,
93,9.84356,0.116436,17.1957,0.0126947,881.269,0,15.0459,0.116466,20.178,
94,9.84344,0.115118,17.204,0.0123206,881.269,0,15.0432,0.116394,20.1817,
95,9.84327,0.103799,17.2142,0.0137612,881.269,0,15.0526,0.11645,20.1702,
96,9.84337,0.0965752,17.222,0.0163657,881.269,0,15.044,0.117071,20.1777,
97,9.84324,0.103702,17.2149,0.0125308,881.268,0,15.0352,0.116491,20.1858,
98,9.84305,0.104967,17.2126,0.0136265,881.268,0,15.0321,0.116379,20.1989,
99,9.84344,0.101044,17.2183,0.0137536,881.27,0,15.0419,0.11662,20.1799,
