Individual,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,2in Heave.rear.toe_angle_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.motion_ratio_heave_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.coil_over_length_l,2in Heave.rear.p_rod_length_l,
0,7.89773,0.0131484,0.0182659,3.96362e-05,874.522,0.881254,0.0795803,46.759,0,
1,7.89772,0.0133683,0.0182875,0.000141236,874.522,0.887964,0.0793355,46.7527,0,
2,7.89754,0.0141344,0.0181763,0.000672682,874.523,0.876692,0.0785218,46.7628,0,
3,7.89785,0.0120905,0.0182145,0.000701441,874.522,0.878583,0.080739,46.7616,0,
4,7.89766,0.0143653,0.0185085,0.00017727,874.522,0.877154,0.0783475,46.7634,0,
5,7.89741,0.0139985,0.0185017,0.000243588,874.523,0.890153,0.0792029,46.75,0,
6,7.8977,0.0134937,0.0183381,9.49757e-05,874.522,0.876136,0.0791897,46.7648,0,
7,7.89771,0.0146278,0.0185541,0.000141493,874.522,0.885074,0.0782601,46.7556,0,
8,7.89776,0.013869,0.0185743,0.000320489,874.522,0.884214,0.0791972,46.7563,0,
9,7.89774,0.0120551,0.0182229,9.14815e-05,874.522,0.887411,0.0808878,46.7537,0,
10,7.89771,0.015333,0.0188493,0.00024302,874.522,0.878541,0.0777714,46.7616,0,
11,7.89769,0.0114517,0.0182934,0.000154565,874.522,0.881355,0.0817877,46.7594,0,
12,7.8979,0.0118859,0.0182728,0.000323583,874.523,0.884274,0.0811097,46.7555,0,
13,7.89775,0.0134982,0.0183166,0.000189002,874.522,0.884404,0.0793141,46.7568,0,
14,7.89776,0.0150616,0.0187059,0.000411741,874.522,0.888618,0.0778144,46.7522,0,
15,7.89791,0.0122707,0.0183329,0.000318401,874.522,0.875638,0.0804915,46.7657,0,
16,7.89775,0.0144659,0.0185437,0.00014907,874.522,0.887263,0.0782804,46.7544,0,
17,7.89758,0.0146631,0.0185659,0.000157521,874.523,0.884327,0.0783945,46.7563,0,
18,7.89801,0.0137851,0.0182792,0.000153147,874.522,0.880933,0.0790286,46.7605,0,
19,7.89768,0.0124199,0.0184716,0.000324703,874.523,0.880553,0.0807495,46.7603,0,
20,7.89764,0.0146716,0.0182479,0.000218756,874.522,0.895494,0.0782856,46.7461,0,
21,7.89763,0.0142501,0.0186879,8.84267e-05,874.523,0.872631,0.0786322,46.7684,0,
22,7.89769,0.0117325,0.0183771,0.000186237,874.523,0.885208,0.0814372,46.7559,0,
23,7.89781,0.0154993,0.0184544,2.1705e-05,874.522,0.887323,0.0775221,46.7545,0,
24,7.89758,0.0147322,0.0184803,2.11919e-05,874.523,0.880819,0.0780764,46.7602,0,
25,7.89745,0.0108428,0.0183464,0.000928843,874.524,0.876166,0.082787,46.763,0,
26,7.89789,0.0142786,0.018584,3.18548e-05,874.522,0.880365,0.0790676,46.761,0,
27,7.89774,0.0155206,0.0188615,6.33101e-05,874.522,0.872265,0.0774723,46.769,0,
28,7.89758,0.0134857,0.0184214,2.24002e-05,874.523,0.880347,0.0795605,46.7609,0,
29,7.89789,0.0130856,0.0182258,0.000137544,874.522,0.88246,0.0796762,46.7596,0,
30,7.89778,0.016254,0.018981,0.000180299,874.522,0.882552,0.0770146,46.7585,0,
31,7.89782,0.0137425,0.0184133,3.47697e-05,874.523,0.893501,0.0790509,46.7476,0,
32,7.89797,0.0122897,0.0185183,0.000544734,874.522,0.891451,0.0805061,46.7503,0,
33,7.89792,0.0168481,0.0190072,0.000460909,874.522,0.881464,0.076331,46.7595,0,
34,7.89772,0.0117837,0.0182596,0.000512613,874.522,0.875381,0.0812041,46.7665,0,
35,7.89773,0.0115165,0.0183251,7.23853e-05,874.522,0.884352,0.0816658,46.7579,0,
36,7.89764,0.0146913,0.0188914,0.000243028,874.522,0.880174,0.0783014,46.7615,0,
37,7.89772,0.011958,0.0183771,0.000361031,874.522,0.876956,0.0811611,46.765,0,
38,7.89771,0.0148716,0.0190457,0.000453627,874.522,0.890237,0.0778624,46.7513,0,
39,7.89795,0.016141,0.0183445,0.000275075,874.523,0.883174,0.0769236,46.7585,0,
40,7.8977,0.012366,0.0181824,0.000541846,874.523,0.897901,0.0804065,46.7443,0,
41,7.89775,0.0119666,0.0182698,0.000600555,874.523,0.875291,0.0810124,46.7665,0,
42,7.89747,0.0153848,0.0185476,0.000293849,874.523,0.893348,0.0776474,46.7482,0,
43,7.89768,0.0133339,0.0183011,0.000375854,874.524,0.894764,0.0794396,46.7462,0,
44,7.89769,0.010985,0.0182993,2.44025e-05,874.522,0.896345,0.0825082,46.7458,0,
45,7.89778,0.0126696,0.0185171,0.00041874,874.522,0.88463,0.0805415,46.757,0,
46,7.8976,0.0116635,0.0182772,0.000178786,874.523,0.880672,0.0814415,46.7614,0,
47,7.89759,0.0107799,0.0187717,0.000370147,874.523,0.887014,0.0835369,46.7534,0,
48,7.89822,0.0166742,0.0183758,0.000509168,874.522,0.881006,0.0768451,46.7603,0,
49,7.89767,0.0132795,0.0183962,5.32464e-05,874.522,0.887447,0.0795846,46.7552,0,
