Individual,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,2in Heave.rear.toe_angle_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.coil_over_length_l,2in Heave.rear.p_rod_length_l,2in Heave.rear.motion_ratio_heave_l,
0,21.3811,2.84602,1.71095,4.07411,866.869,3.08914,47.1378,0,2.11206,
1,21.1989,1.20928,8.47432,1.78754,865.968,1.9168,46.5788,0,2.41276,
2,21.8867,1.32932,2.65311,0.0775882,867.326,2.6747,49.1248,0,4.80333,
3,21.7028,2.12142,2.18217,3.89685,865.775,2.48299,47.6199,0,4.48322,
4,21.6584,1.47439,0.529364,3.29521,866.254,1.48811,46.1619,0,12.1289,
5,19.6575,0.879449,4.55382,0.799928,870.616,2.15296,49.7202,0,4.85437,
6,21.0815,0.374359,2.42757,1.89004,866.882,0.929773,53.8097,0,6.22618,
7,21.7233,3.09247,2.13322,2.79912,866.537,4.2453,48.595,0,5.493,
8,22.3257,2.30315,11.0728,0.627388,867.015,2.71914,47.3581,0,1.75032,
9,21.4331,0.876055,7.91461,1.37729,866.057,1.75055,46.3406,0,10.3531,
10,21.6642,1.88835,2.10199,1.84731,868.7,3.42061,50.8019,0,5.89325,
11,20.2941,5.37375,0.956024,4.66788,868.3,5.30895,46.5827,0,5.72473,
12,20.905,1.21526,6.78668,5.92156,866.052,2.5669,49.6841,0,4.69806,
13,22.0232,2.79259,2.50798,1.18379,866.454,3.05219,50.7181,0,9.11401,
14,22.1761,2.8944,2.44027,3.21564,866.164,3.28933,44.803,0,13.5418,
15,21.0505,4.75658,5.6131,5.45094,866.559,4.90317,47.6216,0,3.73599,
16,22.8606,5.66934,4.74716,3.06385,867.651,5.6949,47.5521,0,2.83683,
17,20.9621,1.87451,10.1567,4.67066,865.894,1.98722,45.1931,0,10.1345,
18,19.945,3.90717,1.30222,4.83832,869.245,3.99521,47.5861,0,10.1431,
19,20.3231,2.65876,8.29549,0.18582,868.88,3.35135,51.3529,0,6.40836,
20,21.961,3.92944,1.94784,2.19956,867.884,4.22824,46.0805,0,14.2482,
21,22.832,0.950516,6.80093,3.82829,868.094,2.3234,46.1517,0,12.1318,
22,23.0667,4.64879,2.10299,0.174736,869.501,4.58181,52.9902,0,6.07387,
23,20.7233,2.76149,10.5333,6.32109,865.599,2.74107,47.1979,0,7.33474,
24,23.5215,1.93146,3.8151,0.176851,869.875,1.92302,50.3535,0,12.0113,
25,21.3986,1.59819,3.11647,3.04529,866.014,3.12075,62.1928,0,3.19883,
26,20.2952,1.10709,3.59629,0.707957,868.447,1.39026,63.4192,0,4.7885,
27,20.7245,0.511619,2.712,2.3783,866.621,0.838811,56.7178,0,13.5838,
28,21.6447,3.9871,4.89852,4.88814,865.999,3.92302,52.5662,0,6.99918,
29,21.3178,5.92119,5.91786,2.78557,868.922,6.06604,45.3069,0,9.05094,
30,22.7469,3.995,1.46126,0.670787,868.86,4.30492,55.6228,0,8.38036,
31,20.4703,0.683743,9.52434,5.5258,868.963,1.63828,42.6818,0,16.7048,
32,20.9961,5.03707,1.72831,0.792409,865.348,5.36369,48.1844,0,19.3089,
33,23.0825,2.50799,4.96678,1.791,868.477,2.46718,49.6626,0,14.3364,
34,22.6599,7.48241,1.06765,6.33932,868.355,7.43809,49.0603,0,4.97986,
35,22.0314,7.66619,0.798925,2.19096,866.24,7.72747,45.9778,0,14.8095,
36,20.8023,8.19775,2.10663,4.48347,866.881,8.40055,45.0051,0,11.5833,
37,21.0588,6.24508,7.17976,4.15489,866.614,6.29625,45.444,0,10.4984,
38,20.863,8.49833,10.3247,1.97547,866.524,8.54344,47.6462,0,3.44969,
39,20.9238,1.31584,6.77408,3.52618,866.89,1.44826,52.9696,0,14.0924,
40,19.9644,5.65763,7.95231,2.03675,868.977,5.61615,49.8383,0,8.47542,
41,22.5881,5.91763,5.10628,0.195155,869.654,6.00783,56.5176,0,2.8074,
42,22.5245,3.33237,1.69179,1.70947,866.369,3.46385,54.0341,0,15.7469,
43,21.9043,9.74754,2.6747,3.91847,866.369,9.88459,49.1764,0,6.16673,
44,21.5358,2.46813,4.85455,3.47623,867.317,3.80857,42.2239,0,24.303,
45,21.9206,3.78013,8.64284,0.157875,868.064,4.57939,45.2152,0,17.7034,
46,19.9642,10.5345,4.34296,1.70077,870.315,10.5071,48.6315,0,4.07843,
47,21.1586,4.22046,3.61877,4.82828,867.123,4.4202,47.388,0,17.8494,
48,20.8973,7.67226,5.59971,2.09527,865.916,7.61033,50.4527,0,10.5216,
49,22.7345,10.8506,1.09947,6.71237,867.161,10.8,48.0418,0,3.67189,
50,20.3226,7.60229,11.8878,0.658295,866.648,8.62032,49.9523,0,5.85049,
51,22.2425,4.12055,1.06588,2.03502,867.234,4.27651,55.2822,0,15.7782,
52,22.2059,0.897643,10.5252,0.991886,866.087,1.09823,51.7304,0,18.649,
53,22.0037,4.96916,3.3846,1.34698,866.366,4.95057,54.7199,0,15.2533,
54,22.114,0.277788,15.5875,2.50781,867.36,0.692797,46.456,0,18.2985,
55,21.086,12.2157,2.36213,4.19414,866.417,12.1464,50.8106,0,4.14904,
56,20.4499,11.5845,0.842777,3.08899,867.762,11.5594,49.8731,0,8.4366,
57,20.8866,9.83924,1.79004,3.03348,867.492,9.87022,50.4317,0,10.3173,
58,21.0239,11.1105,1.14997,6.32466,865.885,11.1498,51.5335,0,5.52914,
59,20.2161,5.54987,17.9757,1.77968,868.442,5.90475,45.6687,0,8.59812,
60,21.1078,3.93818,15.6222,1.11436,865.974,4.1632,59.6481,0,2.92664,
61,19.7183,3.29282,7.71127,3.52948,869.173,3.31454,53.4226,0,14.4478,
62,22.8782,9.02864,6.27011,2.45207,869.786,9.74275,48.3462,0,6.13165,
63,21.2649,10.8588,1.61869,0.134314,865.818,11.2426,51.658,0,12.4171,
