Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.rear.p_rod_length_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.p_rod_length_l.best,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,
0,1363.26,4625.7,1156.23,0.294713,0,60.0615,341.457,308.797,317.508,7.21135,2704.92,573.203,312.545,2.68308e-05,69.443,271.237,400.791,419.58,5.8373,2704.81,595.81,388.057,0,4.92197,5.51502,15.421,15.6113,0.12358,878.472,19.6079,15.4606,
1,1363.26,4392.57,2420.46,0.310355,0,51.9515,505.761,329.156,319.842,7.06281,2345.18,502.238,331.384,0,29.2842,1991.99,248.804,256.589,3.46728,1001.71,400.71,254.095,0,4.92197,5.51502,33.6371,4.72897,0.50196,878.472,19.4721,33.6199,
2,1363.26,3860.79,864.313,0.353103,0,49.0063,296.994,315.113,293.585,7.42377,2149.48,433.253,315.929,0,24.0908,285.107,207.318,219.288,3.36901,819.983,331.364,208.711,0,4.92197,5.51502,3.16039,0.998823,0.50196,878.472,19.4721,3.24756,
3,1363.26,3588.98,877.817,0.379845,0,44.8984,283.151,295.949,266.127,6.75207,1958.5,437.032,296.572,0,20.1708,196.735,196.875,184.69,3.57865,675.49,355.808,197.669,0,6.55265,5.51502,28.3214,3.35868,0.269406,878.472,19.4721,32.5734,
4,1363.26,3516.75,1874.85,0.387646,0,44.0438,403.967,255.714,232.995,6.61228,1900.94,416.339,256.135,0,20.2459,1385.06,168.129,153.95,3.51578,708.868,342.933,168.446,0,6.55265,5.51502,0.420329,3.35868,0.269406,878.472,18.1169,0.663877,
5,1363.26,3116.67,921.897,0.437408,0,40.5998,252.355,232.029,219.934,6.26604,1771.05,362.05,232.386,0,19.5139,195.368,149.667,153.588,3.43039,674.85,331.783,148.332,0,6.55265,5.51502,17.8953,3.35868,0.269406,878.472,15.3798,18.178,
6,1363.26,2928.78,1108.72,0.465469,0,35.0266,253.755,243.26,222.089,6.40165,1588.54,335.923,243.782,0,16.094,159.537,238.15,212.22,3.23944,519.851,300.573,238.504,0,2.90085,5.51502,17.8953,3.35868,0.158505,878.472,15.3798,18.178,
7,1363.26,2731.01,833.238,0.499176,0,32.7883,245.554,209.939,186.321,6.19851,1502.21,337.77,210.228,0,14.1846,150.868,168.402,161.32,3.20679,431.918,276.065,173.033,0,2.90085,5.51502,10.7214,3.35868,0.158505,878.472,15.3798,10.8633,
8,1363.26,2732.59,1271.36,0.498887,0,32.2046,235.458,220.251,167.71,5.69056,1496.03,354.501,220.742,0,18.0956,150.499,252.233,145.541,3.41938,592.723,358.944,251.591,0,2.65166,5.51502,6.73171,3.35868,0.158505,878.472,15.3798,7.83258,
9,1363.26,2559.42,1091.68,0.532642,0,31.8589,225.551,177.128,166.207,5.6713,1481.2,295.018,176.792,0,17.839,162.216,160.745,186.066,3.28282,622.79,298.138,165.694,0,2.65166,8.57158,5.94929,2.33772,0.158505,878.472,15.3798,6.05324,
