Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.motion_ratio_heave_l.best,
0,1395.34,4282.51,1284.72,0.325822,62.2389,0,290.445,299.313,7.43483,2440.22,568.684,294.14,320.038,71.891,3.06557e-05,393.523,412.456,6.67527,2640.32,593.885,355.961,339.989,2.7483,0,2.05452,7.14931,0.067711,891.643,25.6067,2.09182,18.984,
1,1395.34,4020.79,1056.72,0.34703,60.9356,0,278.815,269.14,7.09939,2288.63,517.83,279.78,318.559,33.9234,0,225.229,216.258,3.86095,1024.17,374.138,227.155,199.005,2.7483,0,9.25223,8.94217,0.067711,878.347,20.3695,9.28087,18.984,
2,1395.34,3782.61,1019.22,0.368881,55.9152,0,275.49,266.097,7.13813,2093.51,502.562,276.289,305.616,32.6777,0,200.42,197.361,3.64228,978.381,362.402,201.753,204.377,2.7483,0,14.1543,18.6027,0.067711,853.2,20.3695,14.8144,16.6947,
3,1395.34,3558.95,883.099,0.392064,52.0428,0,272.111,258.444,6.73992,1911.17,479.966,272.683,305.791,29.1495,0,193.013,178.98,3.76677,865.999,355.919,193.633,194.161,2.7483,0,3.50805,18.6027,0.067711,830.725,20.3695,3.66121,16.6947,
4,1395.34,3427.99,812.212,0.407042,49.9727,0,271.437,258.209,6.44132,1806.91,457.532,271.818,305.67,26.5708,0,180.017,171.588,3.65513,757.66,336.087,180.594,189.775,2.7483,0,3.50805,18.6027,0.067711,853.2,20.3695,3.66121,16.6947,
5,1385.01,3314.99,912.05,0.417802,46.5923,0,281.624,258.319,6.33779,1690.78,451.675,282.103,297.554,24.2518,0,198.105,178.643,3.66663,685.284,354.482,197.251,196.681,2.7483,0,3.50805,7.34991,0.067711,853.2,20.3695,3.66121,16.6947,
6,1385.01,3059.04,702.438,0.452759,44.3922,0,255.186,234.458,6.30022,1568.1,413.155,255.464,281.984,22.3027,0,158.261,148.359,3.62964,613.287,331.776,160.049,195.924,2.7483,0,3.50805,5.71209,0.067711,853.2,20.3695,3.66121,14.8065,
7,1385.01,2997.27,1092.25,0.46209,42.2458,0,249.681,225.414,6.223,1492.89,410.269,249.915,320.626,21.6635,0,162.133,146.213,3.64564,593.168,332.775,162.51,559.55,2.7483,0,3.50805,5.71209,0.190597,853.2,20.3695,3.66121,14.8065,
8,1216.36,2809.73,676.193,0.432912,39.8578,0,241.889,221.975,6.09478,1396.31,391.969,242.362,269.266,18.9436,0,158.798,147.896,3.56463,500.608,311.953,159.836,188.15,2.7483,0,3.30022,5.69895,0.190597,853.2,20.3695,3.66121,14.8065,
9,1216.36,2656.62,578.581,0.457861,38.1958,0,227.882,203.475,5.96505,1313.63,374.76,228.042,264.67,16.7713,0,140.606,140.848,3.51686,417.504,286.181,142.242,175.52,2.85894,0,3.30022,2.89596,0.190597,853.2,20.3695,3.66121,14.8065,
