Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,
0,1143.64,3908.6,1015.68,0.292595,61.1589,0,282.729,290.358,7.19951,2063.25,285.636,571.315,346.953,71.8363,1.29507e-05,380.999,395.453,6.68031,2267.68,386.93,596.631,364.27,2.7483,0,12.3686,12.7507,0.067711,658.854,12.3893,21.1813,11.3788,
1,1143.64,3790.74,1157.03,0.301692,60.9138,0,306.067,296.027,7.09628,2015.34,307.28,486.642,311.373,34.4203,0,263.335,268.516,3.94127,884.982,261.337,307.226,202.228,2.7483,0,12.3686,12.7507,0.067711,658.854,12.3893,21.1813,11.3788,
2,1143.64,3402.74,758.094,0.336093,53.0558,0,275.334,271.023,6.77637,1751.87,276.222,450.138,318.325,30.4853,0,208.63,195.341,3.74069,776.836,211.187,291.272,198.357,2.7483,0,32.2227,33.671,0.067711,658.854,32.2108,20.8577,16.2041,
3,1143.64,3265.71,1105.35,0.350195,48.772,0,276.701,275.625,6.22208,1622.69,278.022,441.059,316.627,28.5389,0,230.508,261.083,3.55685,757.998,235.801,294.637,203.342,2.7483,0,0.362023,3.62481,0.067711,658.854,0.509001,26.7606,16.2041,
4,1143.64,3088.52,1716.47,0.370286,42.4796,0,249.5,239.529,5.76384,1443.62,250.036,418.404,439.187,25.1318,0,170.717,163.929,3.26676,613.091,173.517,303.174,1428.57,2.7483,0,28.9844,15.5879,0.288915,658.854,29.6532,26.7606,37.2858,
5,1143.64,2747.35,631.803,0.416269,37.2984,0,244.522,231.272,5.35975,1291.24,244.749,418.032,274.875,22.0947,0,165.678,146.081,2.9841,521.029,166.582,290.275,213.239,2.7483,0,28.9844,10.1253,0.288915,658.854,29.6532,26.7606,30.5755,
6,1094.65,2532.69,540.166,0.432207,31.916,0,227.266,210.197,5.14074,1150.49,227.515,422.496,257.677,19.2201,0,142.287,139.49,2.88772,421.648,142.144,290.117,150.406,2.7483,0,7.53541,10.1253,0.288915,658.854,8.90743,26.7606,18.5253,
7,1094.65,2455.5,642.342,0.445794,30.0772,0,230.271,181.322,5.04546,1090.13,230.446,454.933,233.274,17.8951,0,178.526,134.796,2.80584,393.839,177.96,311.982,145.783,2.7483,0,0.788927,8.62418,0.211329,658.854,1.72171,26.7606,18.5253,
8,1094.65,2480.5,2147.2,0.441301,26.2678,0,203.034,176.274,4.99967,1019.73,203.554,442.022,404.624,18.8065,0,145.897,135.953,3.36699,438.642,147.357,322.663,1730.43,2.7483,0,0.788927,7.01896,0.211329,658.854,1.72171,26.7606,6.88401,
9,1094.65,2222.28,1045.56,0.49258,25.2531,0,185.195,152.101,5.02155,979.543,185.609,419.984,269.569,19.9354,0,151.094,128.41,3.10078,497.701,151.495,321.032,413.469,2.7483,0,0.788927,7.01896,0.211329,658.854,1.72171,21.8027,6.88401,
