Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.p_rod_length_l,Heave.rear.roll_center_gnd.z,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.motion_ratio_heave_l,Heave.rear.toe_angle_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
0,0.256178,0.0137756,0,1208.59,1.45405,0.738001,0.346825,0.0850384,11.0123,
1,0.246516,0.0403007,0,1208.55,1.53509,0.781661,0.390669,0.0458236,11.0007,
2,0.23723,0.246688,0,1208.58,1.4562,0.644975,0.416087,0.0440271,11.0219,
3,0.329774,0.0626242,0,1208.68,1.45872,0.581229,0.476406,0.0907276,11.0169,
4,0.377454,0.0752595,0,1208.59,1.47649,0.751392,0.316876,0.121226,11.0227,
5,0.358202,0.104684,0,1208.65,1.46092,0.782555,0.431362,0.0867421,11.028,
6,0.268754,0.387954,0,1208.63,1.51427,0.691486,0.349043,0.0620337,11.015,
7,0.274487,0.0847667,0,1208.75,1.50021,1.08857,0.199983,0.0662915,10.9813,
8,0.382636,0.250085,0,1208.7,1.45367,0.619949,0.355867,0.168974,11.019,
9,0.266674,0.267597,0,1208.62,1.53394,0.689275,0.499224,0.0607851,11.0281,
10,0.419028,0.106768,0,1208.73,1.57807,0.608579,0.33113,0.159102,11.0354,
11,0.3825,0.0928353,0,1208.54,1.49327,0.712084,0.626987,0.150232,11.003,
12,0.276824,0.280898,0,1208.73,1.49903,0.663991,0.477606,0.0628392,11.0397,
13,0.430771,0.000271065,0,1208.72,1.46134,0.682415,0.599074,0.139871,11.0073,
14,0.244437,0.21206,0,1208.58,1.55816,0.782373,0.535965,0.108365,11.0211,
15,0.409486,0.0853677,0,1208.6,1.46987,1.01394,0.303808,0.181611,10.9963,
16,0.527334,0.0677748,0,1208.41,1.59156,0.725178,0.679057,0.157756,10.9581,
17,0.212249,0.137549,0,1208.45,1.5504,0.734971,1.01441,0.0519268,10.969,
18,0.489883,0.128345,0,1208.6,1.53059,0.759593,0.451248,0.149891,11.0169,
19,0.589028,0.0590652,0,1208.67,1.45017,0.729042,0.186003,0.429399,11.0256,
20,0.394691,0.490778,0,1208.58,1.45672,0.768634,0.272763,0.193026,10.9915,
21,0.405622,0.046324,0,1208.56,1.5625,0.688816,0.562314,0.332433,10.9974,
22,0.254551,0.108077,0,1208.57,1.60319,0.718671,0.736858,0.170478,11.0156,
23,0.253025,0.582879,0,1208.71,1.45195,0.728371,0.374321,0.0531719,11.0335,
24,0.275643,0.666554,0,1208.6,1.4768,0.773542,0.302328,0.0711351,11.0152,
25,0.339074,0.244352,0,1208.67,1.48731,0.907179,0.453138,0.0832642,11.0332,
26,0.563911,0.138652,0,1208.75,1.45291,0.68663,0.270487,0.351529,11.0085,
27,0.439364,0.126183,0,1208.57,1.60045,0.99307,0.353616,0.13885,11.0004,
28,0.46288,0.20664,0,1208.55,1.45152,0.975526,0.334348,0.262639,10.9971,
29,0.611479,0.0372535,0,1208.62,1.47628,0.74214,0.364783,0.356361,11.0289,
30,0.255886,0.349349,0,1208.55,1.52527,0.718859,0.604725,0.230801,11.0115,
31,0.432284,0.460613,0,1208.61,1.55384,0.726559,0.295445,0.177422,10.9895,
32,0.224155,0.0842328,0,1208.65,1.79176,0.72671,0.586613,0.185363,11.0168,
33,0.456363,0.0844112,0,1208.61,1.5865,0.92862,0.40124,0.162152,11.0383,
34,0.249923,0.333483,0,1208.59,1.45875,1.06395,0.507377,0.0949889,11.0105,
35,0.295396,0.329512,0,1208.43,1.60291,0.827917,0.730098,0.135931,10.9656,
36,0.574243,0.0141231,0,1208.84,1.45426,0.763395,0.258813,0.389429,11.0221,
37,0.290271,0.334288,0,1208.6,1.55543,0.807065,0.590773,0.115914,11.029,
38,0.456123,0.118642,0,1208.67,1.53089,0.950792,0.470048,0.144553,11.0261,
39,0.413791,0.148929,0,1208.65,1.55122,1.18019,0.318069,0.110806,10.9977,
40,0.328037,0.380778,0,1208.61,1.70735,0.677686,0.533213,0.111227,11.0277,
41,0.242867,0.499518,0,1208.56,1.5003,0.99972,0.485523,0.0685782,11.0185,
42,0.232671,0.463743,0,1208.55,1.56935,0.598541,0.787623,0.180197,10.9956,
43,0.375796,0.372108,0,1208.6,1.47063,0.867741,0.584996,0.0928538,11.0209,
44,0.622849,0.260757,0,1208.58,1.49057,0.604746,0.39958,0.406406,11.0193,
45,0.450982,0.48881,0,1208.68,1.46745,0.680329,0.388724,0.194902,11.0432,
46,0.379747,0.424516,0,1208.56,1.53099,1.16264,0.256314,0.0976541,10.9833,
