Individual,Heave.rear.side_view_swing_arm_angle_l,Heave.rear.coil_over_length_l,Heave.rear.p_rod_length_l,Heave.rear.roll_center_gnd.z,Heave.rear.tie_rod_angle_top_view_l,Heave.rear.toe_angle_l,Heave.rear.motion_ratio_heave_l,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,
0,0.182073,0.184585,0,1204.17,0.0250225,0.101112,36.4258,0.0316356,8.38123,
1,0.187217,0.304153,0,1204.28,0.110638,0.0615204,36.3595,0.0407172,8.39175,
2,0.209023,0.593945,0,1204.18,0.111614,0.127247,36.2054,0.0473914,8.37372,
3,0.150353,0.747283,0,1204.18,0.193818,0.0683554,36.1464,0.0204904,8.38386,
4,0.147122,0.506554,0,1204.24,0.183067,0.0974204,36.2745,0.0690246,8.37827,
5,0.193273,0.578122,0,1204.16,0.219134,0.116662,36.2131,0.0383807,8.37996,
6,0.119005,0.534979,0,1204.3,0.105792,0.046913,36.3446,0.0801993,8.37952,
7,0.162339,0.473794,0,1204.28,0.235945,0.0970652,36.2774,0.0503372,8.37422,
8,0.173046,0.427418,0,1204.22,0.121255,0.130965,36.4135,0.0900854,8.38882,
9,0.248288,0.727951,0,1204.21,0.0671826,0.136674,36.1311,0.0816808,8.37086,
10,0.132938,0.683874,0,1204.18,0.178942,0.0502594,36.324,0.0509861,8.3843,
11,0.205864,0.642133,0,1204.17,0.147455,0.171279,36.2042,0.0739586,8.38329,
12,0.190422,0.65013,0,1204.19,0.120372,0.167632,36.187,0.11188,8.38813,
13,0.150127,0.956366,0,1204.26,0.0385941,0.133933,36.0092,0.0786109,8.37878,
14,0.187888,0.574879,0,1204.31,0.111698,0.144701,36.2167,0.108026,8.36935,
15,0.131962,0.779295,0,1204.19,0.245425,0.101779,36.1097,0.0875903,8.37592,
16,0.122726,0.680064,0,1204.25,0.208748,0.0645337,36.1925,0.12603,8.38055,
17,0.203224,0.506397,0,1204.23,0.159057,0.170626,36.2694,0.110212,8.37797,
18,0.223076,0.337896,0,1204.31,0.246219,0.145195,36.3633,0.0526463,8.3592,
19,0.23683,0.68882,0,1204.25,0.111621,0.122475,36.1629,0.0744725,8.38657,
20,0.216969,0.748213,0,1204.18,0.207827,0.12527,36.1327,0.0559225,8.37542,
21,0.119432,0.680723,0,1204.17,0.224534,0.0835887,36.2672,0.113902,8.37781,
22,0.211853,0.533222,0,1204.19,0.264663,0.179957,36.2376,0.0473493,8.37519,
23,0.244324,0.550229,0,1204.2,0.224438,0.106605,36.2533,0.0961861,8.37261,
24,0.124502,0.565836,0,1204.28,0.236029,0.169263,36.2198,0.0787488,8.37728,
25,0.18146,0.664588,0,1204.16,0.172967,0.172433,36.1753,0.137884,8.38674,
26,0.237124,0.746364,0,1204.23,0.196772,0.0534652,36.1254,0.0939773,8.37142,
27,0.176109,0.825013,0,1204.19,0.147317,0.133187,36.1334,0.0753946,8.3773,
28,0.204105,0.60671,0,1204.23,0.17135,0.204783,36.2124,0.0461586,8.38057,
29,0.160268,0.908346,0,1204.18,0.153169,0.201577,36.0387,0.0422976,8.37777,
30,0.147889,0.688524,0,1204.18,0.224216,0.0862904,36.1542,0.19445,8.38633,
31,0.135499,0.821133,0,1204.24,0.212521,0.0977462,36.127,0.0640216,8.3727,
32,0.196528,0.817475,0,1204.32,0.111683,0.114694,36.0979,0.0438821,8.36539,
33,0.1967,0.793368,0,1204.21,0.153366,0.162882,36.0952,0.0815498,8.37764,
34,0.26478,0.41924,0,1204.17,0.0747836,0.236379,36.4122,0.124891,8.37713,
35,0.199549,0.740364,0,1204.22,0.0473221,0.167261,36.1254,0.214064,8.36935,
36,0.187097,0.821171,0,1204.18,0.121434,0.171986,36.1797,0.0352426,8.38667,
37,0.284369,0.573079,0,1204.26,0.111552,0.129506,36.2205,0.124592,8.38855,
38,0.174514,0.776357,0,1204.29,0.124736,0.106036,36.1893,0.0616898,8.36791,
39,0.217593,0.33121,0,1204.16,0.162291,0.141915,36.4154,0.291829,8.37539,
40,0.213666,0.701532,0,1204.22,0.134067,0.197426,36.1773,0.0714962,8.3789,
41,0.204607,0.816715,0,1204.16,0.101234,0.0586563,36.3258,0.0594619,8.38565,
42,0.24819,0.675048,0,1204.25,0.147414,0.169913,36.1646,0.0637803,8.38947,
43,0.15262,0.776842,0,1204.29,0.207717,0.112681,36.1061,0.100766,8.37718,
44,0.143771,0.709041,0,1204.3,0.21474,0.165374,36.143,0.071608,8.37594,
45,0.163448,0.729662,0,1204.15,0.393747,0.117555,36.1426,0.0347495,8.39478,
46,0.129693,0.679129,0,1204.28,0.130833,0.0735733,36.3109,0.153926,8.38172,
47,0.151056,0.822978,0,1204.32,0.126218,0.0737825,36.2738,0.014842,8.36399,
48,0.130016,0.645231,0,1204.34,0.219238,0.0562116,36.3214,0.0560192,8.379,
49,0.123438,0.752388,0,1204.18,0.254831,0.0861105,36.242,0.12071,8.38883,
50,0.146706,0.433685,0,1204.26,0.251269,0.220365,36.3405,0.138328,8.36989,
51,0.177112,0.973367,0,1204.28,0.196924,0.0783512,36.0449,0.0285075,8.38379,
52,0.154092,0.870008,0,1204.23,0.187487,0.185429,36.1479,0.0280633,8.37896,
53,0.24092,0.217194,0,1204.18,0.161249,0.247623,36.4309,0.327067,8.37908,
54,0.160427,0.515579,0,1204.25,0.193562,0.250664,36.2582,0.190087,8.37698,
55,0.164327,0.710658,0,1204.19,0.17674,0.104454,36.2619,0.195347,8.38819,
56,0.162805,0.808357,0,1204.19,0.124962,0.232547,36.1791,0.13368,8.36801,
57,0.217691,0.506458,0,1204.31,0.260185,0.191535,36.2986,0.0513708,8.36666,
58,0.183255,0.762805,0,1204.23,0.234532,0.148799,36.1298,0.135871,8.38023,
59,0.153632,1.08728,0,1204.32,0.111973,0.0939183,36.0013,0.0646115,8.37928,
60,0.221766,0.641659,0,1204.25,0.125009,0.135542,36.1794,0.271794,8.38671,
61,0.133998,0.946419,0,1204.24,0.24495,0.0910903,36.0766,0.109903,8.37716,
62,0.196251,0.757958,0,1204.26,0.153243,0.186415,36.1502,0.144846,8.3686,
63,0.166274,0.774459,0,1204.28,0.217129,0.126079,36.1336,0.143896,8.37952,
64,0.260103,0.727307,0,1204.3,0.1342,0.16682,36.1578,0.077881,8.39607,
65,0.306194,0.93027,0,1204.18,0.13862,0.1087,36.0247,0.16392,8.36985,
66,0.206116,0.460412,0,1204.29,0.0860203,0.333025,36.4124,0.0509935,8.38862,
67,0.156347,0.787247,0,1204.21,0.221068,0.180698,36.1367,0.153755,8.38319,
68,0.117403,1.11991,0,1204.18,0.23282,0.0852905,35.9853,0.118888,8.38599,
69,0.227613,0.7073,0,1204.32,0.168599,0.100429,36.2464,0.0856793,8.3728,
70,0.21792,0.828958,0,1204.17,0.164657,0.194323,36.082,0.193771,8.38907,
71,0.182631,0.597098,0,1204.19,0.147522,0.277756,36.3118,0.162436,8.38271,
72,0.196709,0.652321,0,1204.22,0.198916,0.223054,36.1733,0.239507,8.3749,
73,0.199804,0.69083,0,1204.27,0.450154,0.089551,36.1774,0.0307703,8.37458,
74,0.197477,0.822919,0,1204.19,0.170941,0.228567,36.2079,0.0788119,8.38035,
75,0.194416,0.889355,0,1204.29,0.265992,0.155265,36.0475,0.0424443,8.39913,
76,0.152683,1.00069,0,1204.27,0.245844,0.096428,36.0739,0.077236,8.37305,
77,0.200944,0.955894,0,1204.22,0.260949,0.200072,36.0247,0.0592763,8.37019,
78,0.278336,0.562594,0,1204.19,0.23561,0.187804,36.334,0.125514,8.37952,
79,0.221461,0.689849,0,1204.29,0.349242,0.165147,36.1582,0.0554992,8.3766,
80,0.20874,0.574162,0,1204.18,0.186189,0.164284,36.2294,0.0462127,8.38201,
81,0.262458,0.689959,0,1204.16,0.260425,0.193241,36.2089,0.116873,8.38541,
82,0.19063,0.644996,0,1204.18,0.11654,0.14749,36.3199,0.0678487,8.3803,
83,1299.97,5842.55,0,3421.2,2.49252,798.241,182.688,1291.13,81.6323,
84,686.144,6647.04,0,5316.63,1.13953,967.766,680.581,681.465,124.415,
85,0.243026,0.817883,0,1204.31,0.219101,0.171101,36.1235,0.0984851,8.36581,
86,819.368,588.326,0,3226.71,12.4317,23.4288,484.736,819.437,80.3516,
87,231.715,2636.17,0,2472.45,1.31346,322.23,198.185,229.63,41.279,
88,173.457,4255.63,0,2448,13.0894,1517.04,2400.73,144.642,26.1097,
89,0.258222,1.11147,0,1204.16,0.100018,0.131402,36.2861,0.119197,8.37635,
90,0.274048,0.612107,0,1204.23,0.0976548,0.281991,36.2032,0.0993361,8.38813,
91,0.306983,0.867379,0,1204.18,0.140754,0.299809,36.0941,0.170454,8.38066,
92,20.3429,5542.22,0,5141.5,4.17671,23.1235,982.957,20.2522,124.083,
93,126.648,2838.21,0,2441.6,5.21262,176.631,999.608,124.2,41.1361,
94,296.988,2845.56,0,1680.61,1.58056,868.544,1004.38,292.974,27.3824,
95,0.121245,1.44976,0,1204.17,0.239515,0.0570741,35.9976,0.11271,8.39023,
96,665.921,3711.05,0,5214.73,1.01334,952.768,355.009,665.123,123.798,
97,791.862,891.27,0,3191.89,1.7362,17.5552,623.126,791.573,79.4221,
98,0.166108,0.720829,0,1204.18,0.231228,0.166081,36.1418,0.0314449,8.38324,
99,0.148163,0.617444,0,1204.18,0.053352,0.10811,36.2002,0.0620676,8.37832,
