Individual,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,2in Heave.rear.toe_angle_l,2in Heave.rear.p_rod_length_l,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.tie_rod_angle_top_view_l,
0,6.69817,0.0136191,0.0208123,0,46.7328,0.0892041,0.636516,657.084,3.51681,
1,6.69961,0.0127254,0.0222691,0,46.7722,0.0900826,0.598031,657.079,3.52146,
2,6.70077,0.0271473,0.0212928,0,46.7521,0.0786634,0.619103,657.078,3.51901,
3,6.6995,0.0168409,0.0209914,0,46.7645,0.0855317,0.606978,657.077,3.52419,
4,6.69943,0.0183223,0.0209986,0,46.7731,0.0843767,0.597929,657.078,3.5242,
5,6.70101,0.0146083,0.0201147,0,46.7782,0.0875615,0.59812,657.072,3.52586,
6,6.70104,0.035527,0.0202536,0,46.7762,0.0746822,0.591474,657.076,3.52253,
7,6.69973,0.0249829,0.0238549,0,46.7726,0.0803391,0.596981,657.075,3.52422,
8,6.69963,0.0148237,0.0286661,0,46.7311,0.0877809,0.636532,657.079,3.52157,
9,6.69986,0.0198401,0.0211627,0,46.7532,0.0838105,0.618778,657.08,3.52287,
10,6.69918,0.0121151,0.0210682,0,46.7525,0.0953108,0.617129,657.076,3.52688,
11,6.70003,0.0283412,0.0223007,0,46.7345,0.0780779,0.634551,657.081,3.52201,
12,6.70074,0.0222918,0.0217602,0,46.7552,0.0823014,0.617498,657.076,3.52537,
13,6.70061,0.0374327,0.0215127,0,46.7455,0.0739061,0.619747,657.08,3.52293,
14,6.69954,0.0197891,0.0231811,0,46.7631,0.0844516,0.611681,657.075,3.52455,
15,6.69977,0.0304765,0.0217278,0,46.7392,0.0773443,0.630753,657.082,3.52025,
16,6.69948,0.0369841,0.02194,0,46.748,0.0737784,0.620208,657.078,3.52389,
17,6.69994,0.0323896,0.0205215,0,46.7469,0.0759343,0.623222,657.078,3.5252,
18,6.70099,0.0138571,0.0227859,0,46.7636,0.0945819,0.609134,657.069,3.5287,
19,6.69999,0.0156574,0.0294363,0,46.7614,0.0878332,0.604805,657.082,3.52113,
20,6.6995,0.0131599,0.0233131,0,46.7399,0.0889793,0.628757,657.09,3.51955,
21,6.69913,0.0113375,0.0230447,0,46.7485,0.0936896,0.620556,657.083,3.52403,
22,6.69951,0.0195922,0.0204152,0,46.7659,0.0833766,0.606574,657.085,3.52324,
23,6.70051,0.0223836,0.0229096,0,46.7538,0.0815767,0.62562,657.077,3.52076,
24,6.70054,0.0186708,0.0228447,0,46.764,0.0837776,0.600658,657.087,3.52724,
25,6.69991,0.0204525,0.020805,0,46.7601,0.0828315,0.608317,657.085,3.52749,
26,6.69969,0.0124098,0.0240268,0,46.7574,0.093023,0.615116,657.082,3.52162,
27,6.69967,0.0128464,0.0250323,0,46.7813,0.0913447,0.591868,657.082,3.52164,
28,6.7013,0.0158467,0.0295498,0,46.7446,0.0952062,0.620634,657.072,3.52651,
