Individual,Roll.rear.camber_angle_gain_roll_l,Roll.rear.side_view_swing_arm_angle_l,2in Heave.rear.p_rod_length_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,2in Heave.rear.toe_angle_l,
0,7.62781,0.881501,0,3.99983,655.931,46.7428,2.14795,0.432389,1.43871,
1,7.62859,0.880197,0,3.9994,655.929,46.7418,2.14892,0.434373,1.43988,
2,7.63013,0.881302,0,4.00055,655.928,46.7459,2.14883,0.429699,1.43797,
3,7.63018,0.8799,0,4.00066,655.928,46.7418,2.1487,0.434006,1.43905,
4,7.62958,0.88106,0,4.00257,655.929,46.7392,2.1476,0.436479,1.43716,
5,7.63062,0.879672,0,4.00054,655.928,46.7417,2.14871,0.433697,1.43907,
6,7.63014,0.880106,0,4.00111,655.928,46.7422,2.14829,0.43349,1.4386,
7,7.63019,0.879038,0,3.99924,655.928,46.7458,2.14963,0.429937,1.44079,
8,7.63059,0.879853,0,3.99923,655.928,46.7431,2.14938,0.43248,1.43958,
9,7.63008,0.879648,0,4.00055,655.929,46.7408,2.14867,0.435208,1.43891,
10,7.63042,0.879518,0,3.99973,655.928,46.7494,2.14931,0.426654,1.43994,
11,7.62957,0.881155,0,4.00051,655.928,46.7424,2.14859,0.433681,1.43817,
12,7.62988,0.879319,0,3.99871,655.928,46.7382,2.14982,0.437847,1.44063,
13,7.62953,0.880356,0,4.00142,655.929,46.7433,2.14834,0.43243,1.43833,
14,7.63043,0.879379,0,4.00179,655.928,46.7446,2.14858,0.431308,1.43885,
15,7.63022,0.880999,0,4.00205,655.928,46.745,2.14788,0.430559,1.4373,
16,7.63149,0.880517,0,4.00058,655.927,46.7459,2.14905,0.429677,1.43803,
17,7.62969,0.880142,0,4.00201,655.929,46.7394,2.14796,0.43654,1.43812,
18,7.6299,0.880773,0,4.00199,655.929,46.7441,2.14774,0.431633,1.4376,
19,7.62936,0.881646,0,4.001,655.929,46.7402,2.14823,0.435702,1.43739,
20,7.63003,0.87937,0,4.00001,655.928,46.7427,2.14904,0.433013,1.44012,
21,7.63083,0.879972,0,4.00109,655.928,46.7467,2.14871,0.42902,1.43814,
22,7.6305,0.878728,0,4.00207,655.928,46.7429,2.14841,0.432849,1.43888,
23,7.6312,0.879436,0,4.0008,655.927,46.7433,2.14917,0.432619,1.43882,
24,7.62944,0.880225,0,3.99999,655.929,46.7441,2.14865,0.431809,1.43921,
25,7.62937,0.880238,0,4.00085,655.929,46.7384,2.14816,0.436993,1.43914,
26,7.63041,0.879562,0,4.00163,655.928,46.7432,2.14821,0.432543,1.4388,
27,7.62982,0.880301,0,4.00073,655.928,46.74,2.14853,0.43584,1.43903,
28,7.63056,0.881407,0,3.99613,655.928,46.7441,2.15101,0.431416,1.43997,
29,7.62873,0.881503,0,4.0007,655.93,46.7382,2.1478,0.437509,1.43825,
30,7.63061,0.879171,0,3.99856,655.928,46.7443,2.1498,0.43122,1.44065,
31,7.62911,0.881413,0,4.00168,655.93,46.7401,2.14767,0.435628,1.43753,
32,7.62981,0.879668,0,4.00162,655.929,46.7465,2.14795,0.429697,1.43843,
33,7.62959,0.881242,0,3.9994,655.929,46.7414,2.14889,0.434667,1.43851,
34,7.62973,0.880472,0,3.99772,655.929,46.7424,2.14982,0.433619,1.44008,
35,7.63102,0.879226,0,4.00294,655.928,46.7432,2.14797,0.432786,1.43793,
36,7.6299,0.879252,0,3.99835,655.929,46.7394,2.14992,0.436371,1.44065,
37,7.63055,0.880511,0,3.99942,655.928,46.7438,2.14962,0.432086,1.43883,
38,7.63002,0.879611,0,3.99851,655.929,46.7443,2.14959,0.43136,1.44063,
39,7.63013,0.879066,0,3.99984,655.928,46.7493,2.1491,0.426433,1.44033,
40,7.62988,0.879189,0,4.00028,655.929,46.7433,2.14875,0.432343,1.44021,
41,7.63001,0.880273,0,4.00148,655.929,46.7444,2.14804,0.431365,1.43837,
42,7.63034,0.879114,0,4.00057,655.929,46.7427,2.14872,0.433112,1.43965,
43,7.63006,0.880585,0,3.99936,655.929,46.742,2.14912,0.43374,1.43875,
44,7.62999,0.88039,0,4.0011,655.929,46.7446,2.14808,0.431258,1.4385,
45,7.62971,0.881093,0,4.00121,655.929,46.7474,2.14816,0.428242,1.43801,
46,7.63107,0.878752,0,3.99993,655.927,46.7411,2.14956,0.43471,1.44033,
47,7.62915,0.881223,0,3.99922,655.93,46.7447,2.14843,0.431125,1.43915,
48,7.62898,0.880445,0,3.99942,655.93,46.742,2.14859,0.433916,1.43954,
49,7.63034,0.878616,0,3.99987,655.928,46.7385,2.14947,0.43702,1.44047,
50,7.62943,0.881119,0,4.00048,655.929,46.7415,2.1486,0.434353,1.43816,
51,7.62935,0.880736,0,3.9988,655.93,46.7418,2.14892,0.433917,1.43953,
52,7.63056,0.8799,0,3.99986,655.928,46.7438,2.14913,0.43218,1.43927,
53,7.63082,0.879692,0,4.00241,655.928,46.74,2.14807,0.435884,1.43818,
54,7.63031,0.879618,0,3.99857,655.928,46.7437,2.14958,0.432125,1.44045,
55,7.62976,0.879841,0,4.00205,655.929,46.7421,2.14768,0.433747,1.43844,
56,7.63043,0.880641,0,4.00134,655.928,46.7435,2.14818,0.432251,1.43796,
57,7.63011,0.879433,0,4.00095,655.928,46.7442,2.14871,0.43151,1.43964,
58,7.63016,0.879572,0,3.99873,655.929,46.7445,2.1495,0.431337,1.44041,
59,7.62983,0.880383,0,3.99951,655.929,46.7454,2.14905,0.430532,1.43911,
60,7.62861,0.881115,0,3.99883,655.93,46.7415,2.14878,0.434489,1.43915,
61,7.63018,0.880276,0,4.00272,655.928,46.7463,2.14806,0.429538,1.4381,
62,7.63033,0.879254,0,3.9989,655.928,46.7426,2.14955,0.433229,1.44051,
63,7.63034,0.879126,0,4.0023,655.928,46.7418,2.14792,0.434123,1.43888,
64,7.62993,0.880199,0,3.99951,655.929,46.7454,2.14905,0.430439,1.43961,
65,7.62959,0.879936,0,3.9983,655.929,46.7439,2.14951,0.432121,1.44032,
66,7.63095,0.87905,0,4.00045,655.928,46.7441,2.14904,0.431814,1.43944,
