Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
0,1880.73,5275.02,1338.82,0.356535,328.357,0,1261.8,6.67978,391.201,2656.16,261.702,322.172,46.9562,405.179,1.22339e-05,1479.53,3.19187,482.184,2368.64,186.223,393.599,56.9767,19.019,0,238.76,0.940389,28.2404,1210.8,15.7849,18.9271,3.21171,
1,1880.73,4929.94,1313.6,0.381491,325.561,0,1057.46,6.28503,331.742,2590.9,246.271,324.473,47.2551,259.052,0,675.837,2.6023,216.389,1027.91,138.717,256.208,29.6324,33.6683,0,122.965,1.09268,7.72386,1210.8,15.7849,33.6371,3.21171,
2,1880.73,4183.17,846.789,0.449594,264.239,0,1147.86,5.49561,257.595,1968.68,244.343,263.868,31.0969,147.606,0,688.21,3.05719,180.069,746.647,142.565,147.36,25.4202,33.6683,0,121.399,0.283634,7.72386,1203.4,15.7849,33.6371,3.21171,
3,1880.73,4198.17,1624.3,0.447988,273.469,0,1205.67,4.63181,230.157,1931.76,249.72,273.018,29.7432,222.431,0,817.792,2.95884,155.345,854.428,154.334,221.741,24.981,16.5629,0,121.399,0.189676,7.72386,1203.4,15.7849,16.4776,3.21171,
4,1880.73,3745.68,1346.38,0.502106,228.541,0,969.128,5.41138,260.127,1753.86,265.076,239.266,24.2756,151.571,0,691.138,3.18909,366.298,667.012,121.978,180.096,19.5244,2.3065,0,73.9079,0.474741,6.95693,1203.4,15.7849,1.01534,3.21171,
5,1880.73,3292.72,695.596,0.571178,198.54,0,795.795,4.39992,235.826,1583.97,256.708,197.914,19.57,129.444,0,511.386,2.59685,161.473,364.038,95.5041,132.911,12.1827,12.9256,0,73.9079,0.474741,15.6738,1188.49,77.3631,13.4718,2.88658,
6,1850.34,3365.91,1581.56,0.549728,241.577,0,790.586,4.68179,208.128,1572.43,288.744,240.943,18.828,242.867,0,827.094,3.31811,238.658,424.92,176.009,240.509,13.3982,12.9256,0,73.9079,0.134349,0.954585,1188.49,77.3631,13.4718,2.88658,
7,1540.15,3484.59,1920.8,0.44199,236.962,0,762.031,4.8257,188.872,1773.74,258.16,235.723,24.2757,281.466,0,688.719,2.998,246.443,907.804,105.678,279.287,25.9019,5.26508,0,54.0054,0.134349,0.954585,1203.4,102.79,5.08408,3.08518,
8,1540.15,2561.85,460.682,0.601189,130.959,0,540.342,3.92976,141.201,1393.79,207.615,130.634,13.3799,103.004,0,398.442,3.33735,117.657,221.156,66.8228,103.114,13.6749,1.25905,0,50.1938,0.106653,0.954585,1202.59,102.79,0.62143,2.46168,
9,1540.15,3187.1,2054.33,0.483246,204.341,0,603.943,4.31915,178.332,1743.21,226.176,203.937,22.8442,256.084,0,681.759,3.30222,183.456,960.273,142.999,235.074,26.0669,1.25905,0,50.1938,0.106653,0.954585,1178.47,100.712,0.62143,2.46168,
