Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.p_rod_length_l.avg,Heave.rear.coil_over_length_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.p_rod_length_l.std_dev,Heave.rear.coil_over_length_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.p_rod_length_l.best,Heave.rear.coil_over_length_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,
0,1511.72,4495.29,982.637,0.336291,307.75,0,212.298,2871.43,426.579,7.11078,310.216,300.95,58.9544,383.011,3.05474e-05,265.428,1113.69,507.256,6.20537,293.342,377.433,69.7161,15.4317,0,10.4515,1210.8,21.8119,0.501,15.5238,15.3887,3.18211,
1,1511.72,4034.53,808.065,0.374697,306.771,0,164.719,2500.34,419.183,7.03075,281.053,304.088,51.3409,195.954,0,128.336,958.653,257.087,2.84623,168.055,192.289,30.7591,3.93816,0,5.86102,1210.8,44.2224,0.501,25.1772,3.3892,3.18211,
2,1511.72,3921.58,1302.75,0.385489,318.516,0,181.224,2320.26,459.105,6.8325,275.329,315.015,45.2922,223.192,0,141.846,921.622,321.128,2.91022,179.198,215.256,28.7789,3.93816,0,10.4515,1210.8,25.1725,0.411092,25.1772,3.3892,3.18211,
3,1511.72,3500.5,746.952,0.43186,314.379,0,172.431,1940.76,444.65,6.81485,275.09,311.793,34.5751,182.113,0,124.798,688.958,233.699,2.8014,182.685,180.294,24.9354,3.93816,0,0.437877,1209.32,25.1725,0.411092,25.1772,3.3892,3.18211,
4,1511.72,3259.75,728.037,0.463755,296.488,0,187.385,1773.32,422.925,6.80117,248.22,294.444,30.1643,170.76,0,131.759,442.123,236.044,2.71765,160.138,168.824,17.5841,2.90291,0,0.437877,1209.32,12.5856,0.411092,27.2079,2.00081,3.18211,
5,1511.72,3319.78,1617.45,0.455369,274.645,0,215.032,1765.93,365.602,6.33525,388.84,272.399,30.9864,184.71,0,163.162,486.128,245.638,2.73359,866.513,181.348,18.1226,2.90291,0,0.437877,1209.32,11.6768,0.411092,27.2079,2.00081,2.70674,
6,1511.72,2939.76,794.176,0.514234,248.014,0,203.122,1616.67,315.946,6.36857,275.751,246.708,27.1839,241.383,0,144.16,315.877,235.572,2.51424,251.59,239.764,14.5711,2.90291,0,0.437877,1209.32,12.5856,0.501,24.1883,2.00081,2.70674,
7,1511.72,3142.52,2877.38,0.481055,226.079,0,210.108,1626.36,292.729,6.34544,530.713,223.478,26.707,212.717,0,156.631,522.144,258.399,2.59599,2155.66,206.663,16.8602,2.90291,0,0.437877,1209.32,5.77976,0.501,24.1883,2.00081,2.70674,
8,1511.72,2591.74,776.026,0.583284,184.845,0,192.462,1521.08,231.903,6.23733,246.953,183.808,24.4555,171.17,0,150.912,450.78,227.481,2.54379,352.095,170.44,14.8243,2.90291,0,0.130124,1209.32,5.77976,0.501,22.3824,2.00081,2.70674,
9,1511.72,3220.53,4676.05,0.469402,232.74,0,211.668,1585.62,251.426,6.37854,677.654,230.009,25.0333,302.214,0,184.429,750.072,312.821,2.56862,3665.39,296.341,21.1777,2.90291,0,0.130124,1201.9,5.77976,0.501,24.1883,2.00081,2.70674,
10,1511.72,2427.55,980.456,0.622736,170.463,0,171.941,1479.79,168.25,5.66141,238.041,170.008,23.3994,214.639,0,145.614,391.54,170.582,2.48673,430.07,213.705,14.5842,2.90291,0,0.130124,1201.9,5.77976,0.501,21.7052,2.00081,2.70674,
11,1511.72,2832.94,2996.94,0.533623,208.722,0,162.066,1632.29,193.268,5.72116,405.39,201.155,24.3309,331.776,0,147.977,1314.93,301.799,2.51342,1535.45,308.463,15.2545,2.90291,0,0.130124,1127.95,2.86847,0.804917,21.7052,2.00081,2.81921,
12,1511.72,2467.41,3014.6,0.612677,139.429,0,136.318,1445.74,143.681,5.57808,435.252,139.02,22.3876,200.346,0,135.642,482.585,187.227,2.18571,2440.29,197.265,13.435,2.90291,0,0.130124,1201.9,2.86847,1.23527,21.7052,2.00081,2.81921,
13,1511.72,2261.2,1073.28,0.668551,140.37,0,159.44,1447.46,146.275,5.07901,201.127,139.046,22.3957,225.472,0,146.287,484.403,194.007,2.28258,247.516,223.961,14.4641,2.90291,0,0.130124,1201.9,2.86847,0.606673,21.7052,2.00081,2.81921,
14,1511.72,2366.87,1400.87,0.638703,127.273,0,151.008,1559.74,140.742,5.34929,231.974,126.227,24.5502,207.258,0,137.312,732.709,243.711,2.7338,238.574,205.692,22.0263,2.90291,0,0.130124,1201.9,2.86847,0.0902834,21.7052,2.00081,2.81921,
15,1360.22,2393.98,1996.41,0.568183,140.268,0,154.744,1460.51,172.914,5.23831,301.06,138.199,21.0459,231.446,0,165.142,593.017,312.343,2.48917,839.682,225.391,15.6142,2.90291,0,0.130124,1201.9,2.86847,1.23527,21.7052,2.00081,2.81921,
16,1360.22,2347.85,2359.78,0.579347,131.282,0,136.835,1434.98,145.614,5.00827,343.844,129.599,20.6861,229.553,0,139.392,469.409,218.829,2.31612,1570.18,224.902,13.4286,2.90291,0,0.130124,1201.9,2.30107,0.242773,21.7052,2.00081,2.81921,
17,1360.22,2115.06,1913.89,0.643114,83.9842,0,131.503,1351.35,114.036,5.15381,327.678,83.3748,17.979,103.602,0,121.634,356.859,151.249,2.24192,1474.88,101.09,11.5853,3.93603,0,0.130124,1201.9,2.30107,1.23527,21.7052,3.8397,2.81921,
