Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.toe_angle_l.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,
0,1143.64,5253.31,3000.82,0.217699,64.3459,0,327.539,559.88,625.257,573.207,561.228,18.21,2523.64,73.8165,0,393.698,757.021,916.909,780.782,675.149,18.2406,3023,3.16289,0,27.1901,11.5564,12.4062,11.58,9.00812,3.93858,658.854,
1,1143.64,4481.67,1376.57,0.255181,62.5553,0,331.658,437.693,463.918,443.597,572.745,18.6496,2150.85,35.5732,0,216.724,370.328,424.208,396.573,376.306,7.93204,977.515,3.16289,0,32.0016,5.30585,12.4062,5.61782,9.00812,3.93858,658.854,
2,1143.64,4265.71,1146.86,0.2681,64.4022,0,331.527,388.509,394.66,391.501,546.562,18.3341,2130.21,34.1913,0,209.819,301.634,324.949,309.487,375.901,8.60739,886.376,3.16289,0,32.0016,5.30585,12.4062,5.61782,9.00812,3.2568,658.854,
3,1143.64,4015.28,1026.33,0.284821,60.7883,0,330.475,347.735,358.839,349.95,538.938,18.4787,2010.08,33.8383,0,207.337,256.628,281.011,259.612,381.095,9.00324,887.381,3.05154,0,32.0016,5.30585,12.4062,5.61782,9.00812,3.2568,649.96,
4,1143.64,3875.96,1066.51,0.295059,55.5592,0,336.006,370.512,362.555,372.733,495.565,17.587,1865.44,32.5856,0,205.457,273.795,287.047,276.269,359.549,8.80911,858.983,2.65047,0,32.0016,5.30585,17.103,5.61782,9.00812,3.2568,649.004,
5,1032.46,3617.8,969.542,0.285384,52.6515,0,318.972,334.78,325.447,336.56,473.257,17.3268,1758.8,31.7295,0,207.412,239.338,244.464,241,360.266,8.87839,835.592,2.65047,0,32.0016,1.45265,8.04501,1.71377,9.00812,3.93858,649.004,
6,1032.46,3455.52,910.339,0.298786,48.7303,0,316.286,330.223,318.483,331.946,457.945,17.6163,1634.29,29.1963,0,212.154,230.815,227.345,232.911,352.597,9.18125,765.85,2.65047,0,32.0016,1.45265,8.04501,1.71377,9.00812,3.21432,649.004,
7,1032.46,3339.85,969.597,0.309134,46.1441,0,335.082,315.156,308.239,317.531,448.203,16.9797,1552.51,26.864,0,352.765,211.799,226.318,217.563,353.102,9.43823,710.753,2.65047,0,32.0016,1.45265,8.04501,1.71377,9.00812,2.6557,649.004,
8,1032.46,3174.53,810.838,0.325233,43.1419,0,315.83,293.873,297.97,294.813,456.878,16.1113,1455.91,24.0691,0,219.113,193.742,290.872,194.704,367.852,9.37158,613.436,2.65047,0,32.0016,5.30585,13.3121,5.61782,9.00812,2.6557,649.004,
9,1032.46,3163.08,976.904,0.32641,41.4825,0,308.478,314.838,306.417,317.331,435.333,16.4426,1422.76,21.5915,0,225.754,242.087,261.818,240.499,339.691,9.5719,572.09,2.65047,0,32.0016,5.30585,13.3121,5.61782,9.00812,2.6557,649.004,
