Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.toe_angle_l.best,
0,1143.64,6410.53,4880.3,0.1784,66.4569,0,370.798,726.269,19.3113,2991.31,728.557,616.421,891.406,75.7546,3.84993e-162,408.016,971.43,18.2714,4016.76,874.941,644.69,1406.22,4.6821,0,11.768,17.2525,4.45704,658.854,17.3143,7.12288,12.638,
1,1143.64,5167.62,2524.71,0.221308,65.7069,0,471.138,546.578,18.7435,2333.45,549.058,600.162,582.788,35.4838,0,1678.33,493.642,7.47502,1118.3,489.274,369.358,606.412,4.6821,0,11.768,6.47031,4.45704,658.854,6.53567,7.12288,5.61302,
2,1143.64,4628.35,1556.33,0.247094,65.0078,0,339.099,456.81,18.4685,2219.64,458.37,600.977,469.977,34.7905,0,250.367,390.192,8.04598,962.511,406.05,384.427,444.986,4.6821,0,11.768,16.5318,3.83912,658.854,17.0291,7.12288,3.56988,
3,1143.64,4371.67,1443.83,0.261602,66.3925,0,317.112,405.9,18.0781,2192.6,407.345,559.321,404.916,33.3419,0,205.475,328.516,8.23289,989.296,335.652,379.816,366.149,4.6821,0,11.768,6.42113,3.83912,658.854,8.28205,7.12288,3.56988,
4,1143.64,4241.65,2330.56,0.269621,66.516,0,324.066,347.799,18.2922,2221.41,344.696,534.76,384.107,32.0726,0,204.228,286.566,8.6333,1480.01,267.882,381.392,753.228,4.6821,0,11.768,6.42113,3.83912,658.854,8.28205,7.12288,3.56988,
5,1143.64,3983.79,1201.48,0.287073,63.6474,0,331.428,331.339,17.8564,2067.03,332.839,510.287,329.363,31.8858,0,352.617,253.541,9.09015,877.171,256.011,367.364,294.902,4.6821,0,5.4314,4.7916,3.67429,658.854,8.28205,7.12288,3.56988,
6,1143.64,3776.85,1076.33,0.302802,59.8011,0,303.451,324.484,17.7058,1942.08,325.056,493.022,311.245,29.1384,0,203.37,259.709,9.27538,775.071,260.421,368.921,261.829,4.6821,0,5.4314,4.7916,3.67429,658.854,8.28205,7.12288,3.56988,
7,1143.64,3537.67,897.361,0.323274,56.182,0,281.698,298.536,18.1091,1816.12,299.113,477.212,290.702,27.7709,0,194.47,210.506,9.54983,733.102,209.798,363.099,212.033,3.05361,0,5.4314,4.7916,3.67429,658.854,8.28205,7.12288,6.45733,
8,1143.64,3438.69,971.524,0.33258,51.8817,0,273.836,317.494,18.63,1705.23,318.225,446.611,306.781,25.946,0,187.948,241.005,9.61356,670.89,238.802,346.36,243.091,3.05361,0,5.4314,4.7916,3.67429,646.191,8.28205,7.12288,6.45733,
9,1143.64,3252.49,834.041,0.351619,47.8659,0,275.865,302.237,18.7687,1583.62,302.846,427.145,294.14,24.4985,0,205.06,203.073,9.77941,620.174,203.866,339.44,204.043,3.05361,0,5.4314,3.78832,3.67429,646.191,5.22248,7.12288,6.45733,
10,1143.64,3129.92,937.18,0.365389,45.1592,0,264.928,292.636,18.8248,1511.93,293.212,415.163,288.064,23.0098,0,200.202,218.684,9.72609,577.123,218.892,344.252,226.949,3.05361,0,5.4314,3.78832,3.67429,646.191,5.8274,7.12288,4.15782,
