Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.tie_rod_angle_top_view_l,Steering.front.ackerman_angle,2in Heave.front.rocker_p_rod_angle_l,2in Heave.front.rocker_coil_over_angle_l,2in Heave.front.p_rod_length_l,2in Heave.front.coil_over_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,
0,0.52106,35.0615,5.69124,14.8675,2.5001,0.00298608,0.171131,0.0330342,0,46.2839,1.99874,3.77273,1.23181,31.1636,4.05796,
1,0.520828,35.0614,5.69123,14.8664,2.50143,2.81973e-05,0.17151,0.0340364,0,46.3008,2.00008,3.774,1.23219,31.1636,4.04062,
2,0.521976,35.0612,5.69121,14.8732,2.49999,0.00137355,0.170291,0.034577,0,46.3075,1.9986,3.76607,1.23182,31.1634,4.03753,
3,0.521875,35.0609,5.69111,14.8669,2.50048,0.000649446,0.169522,0.0361928,0,46.3157,1.99912,3.77402,1.23173,31.163,4.02785,
4,0.520601,35.0614,5.69121,14.8675,2.50026,0.00196274,0.173619,0.0327225,0,46.3242,1.9989,3.77277,1.23197,31.1635,4.01869,
5,0.521096,35.0613,5.69116,14.8677,2.49934,0.00557619,0.169732,0.0362131,0,46.2849,1.99794,3.77242,1.2316,31.1633,4.05744,
6,0.519052,35.0619,5.69136,14.8691,2.49976,0.0039407,0.172949,0.0323533,0,46.3146,1.99838,3.77081,1.23142,31.1642,4.0299,
7,0.521553,35.061,5.69114,14.8682,2.50094,0.000572454,0.170315,0.0355623,0,46.3141,1.99959,3.77165,1.2323,31.1631,4.0299,
8,0.519183,35.0622,5.69146,14.8716,2.49962,0.00296368,0.170814,0.0354222,0,46.3094,1.99823,3.76792,1.23171,31.1646,4.0348,
9,0.519323,35.0619,5.69141,14.8722,2.49956,0.00295182,0.172328,0.0333983,0,46.2958,1.99817,3.76719,1.23155,31.1644,4.04984,
10,0.519147,35.0617,5.69131,14.8683,2.50024,0.00152839,0.17177,0.0352024,0,46.3219,1.99889,3.77183,1.2315,31.1639,4.02284,
11,0.522978,35.061,5.69115,14.8712,2.50035,0.000632172,0.171535,0.0325569,0,46.315,1.99898,3.76821,1.2321,31.1631,4.03127,
12,0.519528,35.0619,5.69138,14.8676,2.50005,0.00209396,0.172109,0.0328322,0,46.2932,1.99869,3.77292,1.23232,31.1643,4.05131,
13,0.519024,35.0622,5.69145,14.8689,2.49899,0.00473474,0.171802,0.0328009,0,46.3026,1.9976,3.77173,1.23137,31.1646,4.04261,
14,0.522431,35.0607,5.69106,14.8662,2.49998,0.00273691,0.17023,0.0355685,0,46.2957,1.99861,3.77449,1.2322,31.1628,4.04768,
15,0.522342,35.0606,5.69104,14.8694,2.5001,0.00202218,0.169524,0.0360467,0,46.2784,1.99874,3.76984,1.23268,31.1627,4.06705,
16,0.522228,35.061,5.69111,14.8699,2.50012,0.00192856,0.17005,0.0358362,0,46.3141,1.99875,3.76964,1.23171,31.163,4.03127,
17,0.520961,35.0604,5.691,14.8645,2.50035,0.00176642,0.173136,0.0330264,0,46.2959,1.99898,3.77683,1.23228,31.1625,4.04903,
18,0.522154,35.0614,5.69126,14.8728,2.5003,0.00167923,0.170113,0.0349692,0,46.3119,1.99893,3.76617,1.23204,31.1636,4.0334,
19,0.521729,35.0608,5.69114,14.8704,2.5005,0.000509384,0.173169,0.0324429,0,46.3264,1.99914,3.76901,1.23312,31.1631,4.01942,
20,0.522331,35.0611,5.69117,14.8707,2.50041,0.00105349,0.170644,0.0349958,0,46.3203,1.99903,3.76888,1.23216,31.1632,4.025,
21,0.521684,35.0615,5.69123,14.8679,2.50066,0.000606446,0.171578,0.0339692,0,46.2945,1.99932,3.77212,1.23143,31.1636,4.05104,
22,0.521003,35.0614,5.69124,14.8678,2.50111,0.000766647,0.169304,0.0359511,0,46.2969,1.99976,3.77262,1.23156,31.1636,4.04815,
23,0.518489,35.0621,5.69144,14.8682,2.50012,0.00193615,0.172148,0.0342738,0,46.3129,1.99875,3.77265,1.23165,31.1646,4.03208,
24,0.52142,35.0619,5.69139,14.8698,2.50056,0.00132227,0.170574,0.0349901,0,46.3153,1.9992,3.77005,1.23234,31.1643,4.02812,
25,0.52215,35.0614,5.69125,14.8697,2.5007,4.75424e-05,0.171809,0.0331908,0,46.3045,1.99935,3.77026,1.23177,31.1636,4.04158,
26,0.522262,35.0606,5.69101,14.87,2.5005,0.000845941,0.171253,0.0356077,0,46.313,1.99914,3.76917,1.2324,31.1625,4.03304,
27,0.52251,35.0597,5.69076,14.86,2.49996,0.00415539,0.17082,0.0355261,0,46.3025,1.99862,3.78144,1.23283,31.1614,4.04152,
28,0.519161,35.062,5.69141,14.8668,2.50062,0.00103377,0.170685,0.0349213,0,46.3034,1.99927,3.77404,1.23154,31.1644,4.04245,
29,0.522474,35.061,5.69113,14.869,2.50035,0.000805058,0.171352,0.0334524,0,46.3385,1.99899,3.77088,1.23203,31.1631,4.00878,
30,0.525222,35.0585,5.69041,14.8556,2.50033,0.00274972,0.1724,0.033052,0,46.327,1.99897,3.78767,1.23298,31.1598,4.01715,
31,0.523694,35.0603,5.69093,14.866,2.50056,0.0014959,0.170593,0.034805,0,46.3009,1.99921,3.77411,1.2331,31.1622,4.04408,
32,0.521062,35.0615,5.69127,14.8696,2.50093,6.26039e-05,0.170817,0.0349649,0,46.3012,1.99957,3.7702,1.23185,31.1637,4.04512,
33,0.519141,35.0623,5.69149,14.8719,2.50027,0.00112449,0.169338,0.0377804,0,46.3162,1.9989,3.76781,1.23171,31.1648,4.02928,
34,0.523909,35.0602,5.69091,14.8695,2.50008,0.00216851,0.168956,0.0370857,0,46.3038,1.9987,3.76989,1.23317,31.162,4.04166,
35,0.51913,35.0617,5.69135,14.8657,2.49966,0.0040053,0.170521,0.0359787,0,46.3061,1.99828,3.77548,1.23244,31.1641,4.03756,
36,0.522509,35.0607,5.69103,14.8675,2.49951,0.00392043,0.173769,0.0319442,0,46.3025,1.99813,3.77262,1.23199,31.1626,4.04326,
37,0.520195,35.0614,5.69127,14.8666,2.50072,0.00147699,0.173098,0.0330352,0,46.3256,1.99936,3.77393,1.23198,31.1637,4.01972,
38,0.520856,35.0613,5.69124,14.8708,2.50026,0.00151425,0.168631,0.0389539,0,46.3001,1.99889,3.7686,1.23193,31.1636,4.0454,
39,0.519029,35.0614,5.69127,14.8667,2.5001,0.00271594,0.171097,0.0343905,0,46.3052,1.99873,3.77417,1.23156,31.1638,4.04197,
40,0.518988,35.0629,5.69172,14.8729,2.50074,0.000825897,0.171199,0.0349907,0,46.3088,1.99937,3.76752,1.23169,31.1658,4.03474,
41,0.52256,35.0612,5.69119,14.87,2.50052,0.00121704,0.171237,0.0337227,0,46.2802,1.99915,3.77039,1.23182,31.1634,4.0657,
42,0.525595,35.059,5.69053,14.8572,2.50008,0.00418365,0.171525,0.0339965,0,46.3027,1.99874,3.78482,1.23323,31.1604,4.04036,
43,0.523435,35.0604,5.691,14.868,2.50062,0.00142764,0.170794,0.0346114,0,46.3031,1.99926,3.77158,1.2336,31.1625,4.04203,
44,0.521679,35.0611,5.69116,14.8676,2.50089,5.5308e-05,0.171028,0.0345207,0,46.3131,1.99953,3.77272,1.23192,31.1632,4.03383,
45,0.519491,35.0617,5.69132,14.8652,2.5001,0.00244485,0.173275,0.0326735,0,46.3242,1.99874,3.77598,1.23123,31.164,4.02205,
46,0.520232,35.062,5.69137,14.8665,2.50065,0.00126381,0.170354,0.0357512,0,46.3213,1.99929,3.77435,1.23171,31.1643,4.02334,
47,0.526518,35.06,5.69081,14.8682,2.50002,0.00275563,0.170207,0.0353119,0,46.2855,1.99865,3.7711,1.23352,31.1616,4.05827,
