Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Roll.front.side_view_swing_arm_angle_l.avg,Steering.front.ackerman_angle.avg,Roll.front.roll_center.y.avg,Steering.front.tie_rod_angle_top_view_l.avg,Steering.front.tie_rod_angle_front_view_l.avg,Roll.front.camber_angle_gain_roll_l.avg,2in Heave.front.rocker_coil_over_angle_l.avg,2in Heave.front.rocker_p_rod_angle_l.avg,2in Heave.front.p_rod_length_l.avg,2in Heave.front.coil_over_length_l.avg,2in Heave.front.tie_rod_angle_top_view_l.avg,2in Heave.front.toe_angle_l.avg,2in Heave.front.side_view_swing_arm_angle_l.avg,2in Heave.front.roll_center_gnd.z.avg,2in Heave.front.motion_ratio_heave_l.avg,Roll.front.side_view_swing_arm_angle_l.std_dev,Steering.front.ackerman_angle.std_dev,Roll.front.roll_center.y.std_dev,Steering.front.tie_rod_angle_top_view_l.std_dev,Steering.front.tie_rod_angle_front_view_l.std_dev,Roll.front.camber_angle_gain_roll_l.std_dev,2in Heave.front.rocker_coil_over_angle_l.std_dev,2in Heave.front.rocker_p_rod_angle_l.std_dev,2in Heave.front.p_rod_length_l.std_dev,2in Heave.front.coil_over_length_l.std_dev,2in Heave.front.tie_rod_angle_top_view_l.std_dev,2in Heave.front.toe_angle_l.std_dev,2in Heave.front.side_view_swing_arm_angle_l.std_dev,2in Heave.front.roll_center_gnd.z.std_dev,2in Heave.front.motion_ratio_heave_l.std_dev,Roll.front.side_view_swing_arm_angle_l.best,Steering.front.ackerman_angle.best,Roll.front.roll_center.y.best,Steering.front.tie_rod_angle_top_view_l.best,Steering.front.tie_rod_angle_front_view_l.best,Roll.front.camber_angle_gain_roll_l.best,2in Heave.front.rocker_coil_over_angle_l.best,2in Heave.front.rocker_p_rod_angle_l.best,2in Heave.front.p_rod_length_l.best,2in Heave.front.coil_over_length_l.best,2in Heave.front.tie_rod_angle_top_view_l.best,2in Heave.front.toe_angle_l.best,2in Heave.front.side_view_swing_arm_angle_l.best,2in Heave.front.roll_center_gnd.z.best,2in Heave.front.motion_ratio_heave_l.best,
0,227.939,2685.49,1948.8,0.0848782,51.3009,124.597,98.6445,4.54283,124.573,6.69694,583.042,501.379,0,437.822,3.88863,61.3494,51.3071,417.579,218.763,67.1115,149.917,648.15,5.44411,152.692,8.09331,877.809,1133.82,2.43404e-159,297.903,5.01007,80.1951,59.5725,472.254,444.927,0.60029,1.22517,12.0127,0.642335,12.054,0.0702944,0.000185425,0.00018945,0,17.1057,0.0472571,0.934079,1.17852,31.7631,6.17187,
1,227.939,2410.95,1029.47,0.0945432,68.7583,124.028,54.8045,4.56833,122.894,6.58832,497.539,358.386,0,430.078,3.91542,61.6234,68.7525,408.711,200.306,119.882,83.5528,198.174,3.01682,88.5855,4.47155,482.187,384.944,0,285.684,3.16914,52.4458,117.444,328.835,313.663,0.60029,1.22517,12.0127,0.752123,12.054,0.0702944,0.000185425,0.00018945,0,17.1057,0.0472571,0.934079,1.17852,31.7631,6.17187,
2,227.939,2349.95,1015.4,0.0969973,71.6455,124.258,47.7629,4.54414,122.504,6.44637,471.452,370.402,0,426.242,3.8911,62.1049,71.6405,391.411,175.65,109.929,84.0415,101.924,3.01388,86.5087,4.40447,435.35,453.781,0,286.786,3.16883,51.4033,109.433,323.699,189.753,0.60029,1.22517,12.0127,0.752123,12.2749,0.042634,0.000185425,0.00018945,0,17.1057,0.0472571,0.934079,1.17852,31.7631,6.17187,
3,227.939,2350.92,1202.78,0.0969573,87.0076,123.019,48.1904,4.52016,119.474,6.3483,460.792,382.14,0,420.278,3.86721,61.3461,87.0075,379.114,167.819,169.178,83.5881,101.621,3.02065,86.3184,4.31765,450.727,636.507,0,281.219,3.1798,51.0748,166.775,309.428,159.141,0.60029,1.22517,4.16723,0.752123,12.2749,0.042634,0.000185425,0.00018945,0,17.1057,0.0472571,0.934079,1.17852,31.7631,6.17187,
4,227.939,2279.28,867.593,0.100005,85.9997,120.903,48.2159,4.47906,116.83,6.29999,430.293,361.501,0,410.014,3.8379,60.064,85.9963,374.909,169.94,157.51,82.5018,101.514,3.01611,84.9281,4.26401,361.859,362.161,0,277.547,3.16672,50.6509,157.593,303.163,157.382,0.60029,1.22517,8.55554,0.752123,12.2749,0.042634,0.000185425,0.00018945,0,17.1057,0.0472571,0.934079,1.17852,28.4785,6.17187,
5,227.939,2233.2,817.076,0.102068,81.5035,121.645,48.7312,4.48391,115.153,6.27951,421.582,361.239,0,397.014,3.83013,59.9764,81.5001,363.298,166.965,117.204,82.5975,101.441,3.01293,83.7216,4.17716,369.721,376.707,0,276.22,3.1646,50.0773,117.733,294.105,154.316,0.60029,1.22517,12.0633,0.803016,12.2749,0.042634,0.000185425,0.00018945,0,17.1057,0.0472571,0.934079,1.17852,31.7631,6.17187,
6,227.939,2189.02,692.027,0.104129,86.3758,120.502,45.6811,4.49924,113.006,6.13484,402.481,355.485,0,389.684,3.85916,58.9589,86.3752,348.728,167.246,124.474,83.5469,72.7391,3.01027,83.4697,4.14327,308.464,332.255,0,268.723,3.16552,50.1078,123.674,288.479,154.294,0.60029,1.22517,12.0633,0.803016,12.2749,0.042634,0.000185425,0.00018945,0,17.1057,0.0472571,0.934079,1.17852,31.5305,6.17187,
7,227.939,2145.64,632.475,0.106233,94.1888,121.984,45.5856,4.51148,111.891,6.04671,381.46,333.062,0,380.502,3.86076,58.4906,94.1833,346.167,163.712,141.208,82.737,72.683,3.03414,82.5559,4.12668,282.741,277.748,0,266.789,3.18523,48.8071,139.889,281.841,134.456,0.60029,1.22517,12.0633,0.803016,12.2749,0.0214736,0.000185425,0.00018945,0,17.1057,0.0472571,0.934079,1.17852,31.5666,6.17187,
8,227.939,2165.6,978.041,0.105254,90.5794,121.562,42.8007,4.44715,112.403,5.9844,398.921,353.341,0,377.811,3.79438,59.2605,90.5746,337.986,166.137,126.542,82.4513,51.9365,3.00635,82.4955,4.05994,499.499,450.655,0,267.162,3.14902,48.8228,126.415,275.64,134.666,0.60029,1.22517,12.0633,0.803016,12.2749,0.0702944,0.000185425,0.00018945,0,17.1057,0.0472571,0.934079,1.17852,31.5666,6.17187,
9,227.939,2088.99,577.048,0.109114,92.7544,119.664,43.5278,4.43587,110.37,6.01373,364.755,320.935,0,373.2,3.78698,58.4698,92.7454,329.873,168.461,130.312,82.5404,52.0727,3.0049,81.1296,4.01543,278.065,261.828,0,262.347,3.14554,48.3514,130.082,268.15,135.294,0.60029,1.22517,12.0633,0.722799,12.2749,0.0702944,0.000185425,0.00018945,0,17.1057,0.0472571,0.934079,1.17852,31.1401,6.17187,
