Individual,Roll.rear.side_view_swing_arm_angle_l,Roll.rear.camber_angle_gain_roll_l,2in Heave.rear.p_rod_length_l,2in Heave.rear.tie_rod_angle_top_view_l,2in Heave.rear.roll_center_gnd.z,2in Heave.rear.coil_over_length_l,2in Heave.rear.side_view_swing_arm_angle_l,2in Heave.rear.motion_ratio_heave_l,2in Heave.rear.toe_angle_l,
0,0.910957,1.65945,0,3.72672,663.372,46.7659,2.26968,0.506125,1.52527,
1,0.911025,1.65947,0,3.72679,663.372,46.764,2.26964,0.508024,1.52525,
2,0.910971,1.65947,0,3.72678,663.372,46.7641,2.26967,0.508018,1.5252,
3,0.910941,1.65946,0,3.72675,663.372,46.7638,2.26969,0.508212,1.52527,
4,0.911153,1.65945,0,3.72671,663.372,46.7638,2.26967,0.508202,1.52514,
5,0.910907,1.65944,0,3.72675,663.372,46.7647,2.26975,0.507333,1.52523,
6,0.910951,1.65945,0,3.72678,663.372,46.766,2.26961,0.506067,1.52532,
7,0.910818,1.65944,0,3.72677,663.372,46.7635,2.2697,0.508525,1.52533,
8,0.910924,1.65946,0,3.72675,663.372,46.7654,2.26962,0.506691,1.52534,
9,0.910972,1.65947,0,3.72682,663.372,46.7668,2.26964,0.505274,1.52523,
10,0.910303,1.65945,0,3.72672,663.372,46.7666,2.26976,0.505422,1.52587,
11,0.91085,1.65946,0,3.72676,663.372,46.7659,2.26967,0.50618,1.52538,
12,0.91088,1.65945,0,3.72671,663.372,46.7637,2.26973,0.508288,1.52539,
13,0.910826,1.65948,0,3.72682,663.372,46.7642,2.26968,0.507838,1.52545,
14,0.911069,1.65943,0,3.72679,663.372,46.7651,2.26963,0.506907,1.52513,
15,0.910668,1.65944,0,3.72673,663.372,46.7643,2.26963,0.507724,1.52563,
16,0.911104,1.65944,0,3.72669,663.372,46.7665,2.26971,0.505594,1.52514,
17,0.910712,1.65945,0,3.72675,663.372,46.7661,2.26969,0.505896,1.52561,
18,0.911285,1.65947,0,3.72673,663.372,46.766,2.26964,0.506162,1.52506,
19,0.910995,1.65942,0,3.7267,663.373,46.7651,2.26974,0.506948,1.52517,
20,0.910384,1.65943,0,3.72669,663.372,46.7646,2.26979,0.507448,1.52579,
21,0.911276,1.65945,0,3.72676,663.372,46.7647,2.26962,0.507393,1.525,
22,0.911079,1.65945,0,3.72679,663.372,46.7639,2.26968,0.50806,1.52523,
23,0.910736,1.65944,0,3.72681,663.372,46.7645,2.2697,0.507644,1.52539,
24,0.910687,1.65946,0,3.72673,663.372,46.7632,2.26964,0.508926,1.52564,
