Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,2in Heave.rear.motion_ratio_heave_l.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,2in Heave.rear.p_rod_length_l.avg,2in Heave.rear.tie_rod_angle_top_view_l.avg,2in Heave.rear.roll_center_gnd.z.avg,2in Heave.rear.side_view_swing_arm_angle_l.avg,2in Heave.rear.coil_over_length_l.avg,2in Heave.rear.toe_angle_l.avg,2in Heave.rear.motion_ratio_heave_l.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,2in Heave.rear.p_rod_length_l.std_dev,2in Heave.rear.tie_rod_angle_top_view_l.std_dev,2in Heave.rear.roll_center_gnd.z.std_dev,2in Heave.rear.side_view_swing_arm_angle_l.std_dev,2in Heave.rear.coil_over_length_l.std_dev,2in Heave.rear.toe_angle_l.std_dev,2in Heave.rear.motion_ratio_heave_l.best,Roll.rear.side_view_swing_arm_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,2in Heave.rear.p_rod_length_l.best,2in Heave.rear.tie_rod_angle_top_view_l.best,2in Heave.rear.roll_center_gnd.z.best,2in Heave.rear.side_view_swing_arm_angle_l.best,2in Heave.rear.coil_over_length_l.best,2in Heave.rear.toe_angle_l.best,
0,1152.27,6232.28,4649.38,0.184888,353.034,701.652,18.097,0,19.2473,3046.09,709.047,558.099,827.019,415.657,965.302,20.719,1.85371e-156,13.2065,4075.83,978.774,580.331,1256.68,3.0965,17.0034,0.658048,0,3.80307,665.89,17.0631,7.02445,12.2544,
1,1152.27,5050.96,1801.05,0.228129,350.716,555.931,18.578,0,19.0393,2416.69,559.291,548.829,581.89,217.317,489.287,9.95577,0,7.69249,1113.73,533.929,347.48,578.57,3.0965,17.0034,0.658048,0,3.80307,665.89,17.0631,7.02445,11.7716,
2,1152.27,4620.79,1474.09,0.249367,350.653,472.312,18.5187,0,18.7043,2286.34,474.653,525.665,473.942,213.934,401.334,9.687,0,8.26807,946.631,412.941,359.744,430.379,3.0965,9.11812,0.700442,0,3.80307,665.89,9.48699,7.02445,11.7716,
3,1152.27,4245.77,1155.64,0.271393,356.162,388.228,18.0124,0,18.291,2191.33,389.462,502.943,381.338,207.283,322.161,9.52602,0,8.79098,916.946,327.197,336.726,353.581,3.0965,9.11812,0.531283,0,3.29798,665.89,9.48699,17.5921,11.7716,
4,1152.27,4316.77,2838.67,0.266929,371.496,381.401,17.4637,0,18.6103,2260.43,383.588,489.988,393.79,212.72,364.446,9.02524,0,8.97273,1988.84,370.525,351.124,524.982,3.0965,5.58244,0.700442,0,3.16318,665.89,5.23223,17.5921,11.7716,
5,1152.27,3849.52,935.931,0.299328,384.426,334.895,16.5875,0,18.0103,1987.07,335.83,450.275,322.43,206.058,264.176,8.96339,0,9.0351,891.5,265.753,304.075,260.32,3.0965,5.58244,0.700442,0,3.24619,615.112,5.23223,16.2786,11.7716,
6,1152.27,3712.61,922.656,0.310367,390.106,325.061,15.9323,0,18.2823,1898.23,325.655,433.361,305.983,220.936,236.5,8.3845,0,9.29088,824.701,237.315,317.617,217.439,3.0965,3.12925,0.700442,0,3.24619,615.112,4.8362,16.2786,9.65104,
7,1152.27,3552.94,946.143,0.324314,389.437,329.677,14.2302,0,18.6973,1740.4,330.397,410.841,319.263,197.875,249.021,7.57593,0,9.35609,731.373,249.633,298.843,257.333,3.0965,3.12925,0.64903,0,3.29798,615.112,4.8362,14.1192,4.176,
8,1152.27,3406.38,792.422,0.338269,404.315,312.244,13.6122,0,18.4477,1645.5,312.91,392.626,306.725,206.258,219.203,6.61938,0,9.71885,628.035,219.316,302.279,224.309,3.0965,3.12925,0.700442,0,3.2085,615.112,4.8362,14.1192,2.91678,
9,1152.27,3268.82,700.081,0.352504,398.523,303.935,13.0807,0,18.4799,1580.87,304.473,364.463,284.996,199.981,219.056,6.21399,0,9.67615,581.202,219.82,264.82,199.855,3.0965,3.12925,0.953186,0,3.2085,615.112,4.8362,14.1192,2.91678,
10,1152.27,3300.02,1175.05,0.349171,404.368,298.912,13.1604,0,18.7749,1604.98,300.003,377.55,282.276,198.533,234.018,6.16501,0,9.97812,708.404,238.198,291.124,265.336,3.0965,3.12925,0.953186,0,3.16171,615.112,4.8362,14.1192,2.91678,
11,1152.27,3154.83,1186.15,0.36524,405.154,286.722,12.1369,0,18.6941,1499.89,286.019,341.217,304.999,201.084,226.121,5.82899,0,10.2202,576.874,226.252,254.25,576.345,3.0965,3.12925,0.731973,0,3.16171,615.112,4.8362,14.1192,2.91678,
12,1152.27,3175.63,3178.87,0.362848,417.751,276.243,11.2921,0,18.1868,1564.74,276.823,343.911,266.683,305.406,253.551,5.74262,0,10.5109,2401.2,255.728,272.291,432.395,3.0965,3.12925,0.731973,0,3.16171,615.112,4.8362,14.1192,2.91678,
13,1152.27,2901.44,862.893,0.397138,435.243,258.126,10.3748,0,17.9457,1326.75,258.57,354.226,240.205,413.927,199.036,5.51205,0,10.6433,521.666,200.974,289.057,197.253,3.0965,1.11384,0.318715,0,3.16171,615.112,2.20113,14.1192,2.91678,
14,1152.27,2757.14,609.872,0.417923,407.595,239.026,10.0757,0,17.6976,1283.48,239.415,349.886,209.969,200.27,170.15,5.29295,0,10.6509,447.195,170.183,268.878,142.426,47.8443,1.11384,0.318715,0,3.16171,615.112,2.20113,14.1192,2.91678,
